Rank,Name,Games,Plays,Yds,Avg,TDs,Ydspgm,Wins,Losses,Ties,Year,Team Code
92,Iowa St.,13,923,4734,5.13,41,364.15,6,7,0,2012,311
92,Iowa,13,855,4343,5.08,45,334.08,10,3,0,2003,312
101,Iowa,12,813,3752,4.62,33,312.67,10,2,0,2004,312
22,Iowa,12,840,5189,6.18,44,432.42,7,5,0,2005,312
27,Iowa,13,855,4983,5.83,38,383.31,6,7,0,2006,312
109,Iowa,12,814,3796,4.66,28,316.33,6,6,0,2007,312
53,Iowa,13,835,4815,5.77,48,370.38,9,4,0,2008,312
89,Iowa,13,846,4372,5.17,35,336.31,11,2,0,2009,312
57,Iowa,13,806,4978,6.18,48,382.92,8,5,0,2010,312
76,Iowa,13,866,4842,5.59,45,372.46,7,6,0,2011,312
114,Iowa,12,793,3725,4.7,26,310.42,4,8,0,2012,312
17,Kansas St.,15,1059,6615,6.25,73,441,11,4,0,2003,327
68,Kansas St.,11,794,4001,5.04,41,363.73,4,7,0,2004,327
83,Kansas St.,11,750,3737,4.98,36,339.73,5,6,0,2005,327
85,Kansas St.,13,787,4098,5.21,35,315.23,7,6,0,2006,327
40,Kansas St.,12,861,5018,5.83,51,418.17,5,7,0,2007,327
34,Kansas St.,12,833,4825,5.79,56,402.08,5,7,0,2008,327
80,Kansas St.,12,802,4192,5.23,34,349.33,6,6,0,2009,327
62,Kansas St.,13,847,4924,5.81,59,378.77,7,6,0,2010,327
101,Kansas St.,13,896,4381,4.89,52,337,10,3,0,2011,327
59,Kansas St.,13,841,5218,6.2,64,401.38,11,2,0,2012,327
29,Kansas,13,906,5479,6.05,50,421.46,6,7,0,2003,328
100,Kansas,11,798,3459,4.33,32,314.45,4,7,0,2004,328
88,Kansas,12,821,3956,4.82,32,329.67,7,5,0,2005,328
33,Kansas,12,801,4489,5.6,44,374.08,6,6,0,2006,328
8,Kansas,13,988,6237,6.31,72,479.77,12,1,0,2007,328
21,Kansas,13,945,5621,5.95,57,432.38,8,5,0,2008,328
25,Kansas,12,885,5069,5.73,45,422.42,5,7,0,2009,328
113,Kansas,12,823,3557,4.32,26,296.42,3,9,0,2010,328
106,Kansas,12,844,3922,4.65,36,326.83,2,10,0,2011,328
93,Kansas,12,871,4324,4.96,27,360.33,1,11,0,2012,328
62,Kent St.,12,898,4509,5.02,40,375.75,5,7,0,2003,331
55,Kent St.,11,802,4168,5.2,46,378.91,5,6,0,2004,331
110,Kent St.,11,751,3117,4.15,22,283.36,1,10,0,2005,331
75,Kent St.,12,753,3859,5.12,30,321.58,6,6,0,2006,331
82,Kent St.,12,859,4400,5.12,30,366.67,3,9,0,2007,331
36,Kent St.,12,827,4803,5.81,41,400.25,4,8,0,2008,331
96,Kent St.,12,786,3932,5,27,327.67,5,7,0,2009,331
102,Kent St.,12,773,3772,4.88,32,314.33,5,7,0,2010,331
119,Kent St.,12,779,3042,3.91,24,253.5,5,7,0,2011,331
73,Kent St.,14,942,5436,5.77,58,388.29,11,3,0,2012,331
96,Kentucky,12,815,3927,4.82,44,327.25,4,8,0,2003,334
115,Kentucky,11,708,3030,4.28,21,275.45,2,9,0,2004,334
107,Kentucky,11,695,3272,4.71,29,297.45,3,8,0,2005,334
31,Kentucky,13,847,4879,5.76,45,375.31,8,5,0,2006,334
24,Kentucky,13,1013,5764,5.69,62,443.38,8,5,0,2007,334
106,Kentucky,13,859,3891,4.53,36,299.31,7,6,0,2008,334
93,Kentucky,13,877,4310,4.91,44,331.54,7,6,0,2009,334
27,Kentucky,13,910,5562,6.11,53,427.85,6,7,0,2010,334
118,Kentucky,12,764,3117,4.08,22,259.75,5,7,0,2011,334
113,Kentucky,12,790,3780,4.78,27,315,2,10,0,2012,334
31,LSU,14,994,5857,5.89,63,418.36,13,1,0,2003,365
38,LSU,12,825,4747,5.75,43,395.58,9,3,0,2004,365
60,LSU,13,869,4863,5.6,48,374.08,11,2,0,2005,365
11,LSU,13,818,5427,6.63,59,417.46,11,2,0,2006,365
26,LSU,14,1054,6152,5.84,66,439.43,12,2,0,2007,365
55,LSU,13,886,4785,5.4,50,368.08,8,5,0,2008,365
112,LSU,13,771,3959,5.13,39,304.54,9,4,0,2009,365
86,LSU,13,839,4437,5.29,43,341.31,11,2,0,2010,365
86,LSU,14,870,4971,5.71,65,355.07,13,1,0,2011,365
85,LSU,13,883,4865,5.51,46,374.23,10,3,0,2012,365
25,Louisiana Tech,12,842,5173,6.14,35,431.08,5,7,0,2003,366
53,Louisiana Tech,12,790,4560,5.77,40,380,6,6,0,2004,366
63,Louisiana Tech,11,784,4033,5.14,38,366.64,7,4,0,2005,366
60,Louisiana Tech,13,828,4479,5.41,31,344.54,3,10,0,2006,366
86,Louisiana Tech,12,910,4211,4.63,31,350.92,5,7,0,2007,366
75,Louisiana Tech,13,866,4460,5.15,40,343.08,8,5,0,2008,366
64,Louisiana Tech,12,819,4467,5.45,45,372.25,4,8,0,2009,366
49,Louisiana Tech,12,890,4678,5.26,40,389.83,5,7,0,2010,366
51,Louisiana Tech,13,987,5130,5.2,50,394.62,8,5,0,2011,366
1,Louisiana Tech,12,1054,6935,6.58,84,577.92,9,3,0,2012,366
5,Louisville,13,913,6355,6.96,58,488.85,9,4,0,2003,367
1,Louisville,12,893,6468,7.24,80,539,11,1,0,2004,367
9,Louisville,12,848,5785,6.82,69,482.08,9,3,0,2005,367
2,Louisville,13,867,6179,7.13,61,475.31,12,1,0,2006,367
6,Louisville,12,909,5856,6.44,55,488,6,6,0,2007,367
45,Louisville,12,845,4520,5.35,40,376.67,5,7,0,2008,367
91,Louisville,12,789,4009,5.08,26,334.08,4,8,0,2009,367
71,Louisville,13,835,4797,5.74,43,369,7,6,0,2010,367
103,Louisville,13,847,4329,5.11,36,333,7,6,0,2011,367
52,Louisville,13,918,5444,5.93,51,418.77,11,2,0,2012,367
18,Marshall,12,876,5291,6.04,47,440.92,8,4,0,2003,388
97,Marshall,12,828,3855,4.66,36,321.25,6,6,0,2004,388
89,Marshall,11,782,3619,4.63,27,329,4,7,0,2005,388
49,Marshall,12,701,4252,6.07,43,354.33,5,7,0,2006,388
44,Marshall,12,840,4954,5.9,37,412.83,3,9,0,2007,388
86,Marshall,12,774,3965,5.12,31,330.42,4,8,0,2008,388
81,Marshall,13,875,4538,5.19,34,349.08,7,6,0,2009,388
103,Marshall,12,766,3771,4.92,33,314.25,5,7,0,2010,388
102,Marshall,13,853,4334,5.08,35,333.38,7,6,0,2011,388
6,Marshall,12,1087,6411,5.9,65,534.25,5,7,0,2012,388
28,Maryland,13,913,5482,6,48,421.69,10,3,0,2003,392
108,Maryland,11,755,3278,4.34,21,298,5,6,0,2004,392
56,Maryland,11,783,4223,5.39,32,383.91,5,6,0,2005,392
88,Maryland,13,785,4073,5.19,32,313.31,9,4,0,2006,392
92,Maryland,13,878,4431,5.05,37,340.85,6,7,0,2007,392
68,Maryland,13,834,4559,5.47,34,350.69,8,5,0,2008,392
102,Maryland,12,802,3797,4.73,29,316.42,2,10,0,2009,392
80,Maryland,13,822,4587,5.58,54,352.85,9,4,0,2010,392
67,Maryland,12,855,4556,5.33,35,379.67,2,10,0,2011,392
120,Maryland,12,776,3417,4.4,30,284.75,4,8,0,2012,392
16,Memphis,13,1000,5779,5.78,48,444.54,9,4,0,2003,404
9,Memphis,12,903,5524,6.12,53,460.33,8,4,0,2004,404
42,Memphis,12,836,4775,5.71,37,397.92,7,5,0,2005,404
64,Memphis,12,766,4035,5.27,34,336.25,2,10,0,2006,404
23,Memphis,13,1017,5767,5.67,47,443.62,7,6,0,2007,404
26,Memphis,13,977,5424,5.55,45,417.23,6,7,0,2008,404
63,Memphis,12,841,4477,5.32,33,373.08,2,10,0,2009,404
117,Memphis,12,718,3420,4.76,19,285,1,11,0,2010,404
116,Memphis,12,786,3291,4.19,25,274.25,2,10,0,2011,404
110,Memphis,12,772,3820,4.95,39,318.33,4,8,0,2012,404
84,Miami (OH),12,886,4122,4.65,25,343.5,1,11,0,2009,414
81,Miami (OH),14,941,4928,5.24,36,352,10,4,0,2010,414
75,Miami (OH),12,834,4475,5.37,36,372.92,4,8,0,2011,414
75,Miami (OH),12,834,4623,5.54,34,385.25,4,8,0,2012,414
45,Miami (FL),13,879,5199,5.91,50,399.92,9,4,0,2009,415
31,Miami (FL),13,937,5477,5.85,44,421.31,7,6,0,2010,415
70,Miami (FL),12,737,4533,6.15,41,377.75,6,6,0,2011,415
37,Miami (FL),12,818,5282,6.46,45,440.17,7,5,0,2012,415
73,Michigan St.,13,896,4776,5.33,43,367.38,8,5,0,2003,416
10,Michigan St.,12,899,5520,6.14,41,460,5,7,0,2004,416
5,Michigan St.,11,834,5470,6.56,50,497.27,5,6,0,2005,416
48,Michigan St.,12,804,4281,5.32,37,356.75,4,8,0,2006,416
42,Michigan St.,13,973,5418,5.57,55,416.77,7,6,0,2007,416
74,Michigan St.,13,910,4465,4.91,37,343.46,9,4,0,2008,416
38,Michigan St.,13,842,5281,6.27,47,406.23,6,7,0,2009,416
53,Michigan St.,13,817,5051,6.18,49,388.54,11,2,0,2010,416
56,Michigan St.,14,940,5466,5.81,54,390.43,11,3,0,2011,416
95,Michigan St.,13,957,4671,4.88,27,359.31,7,6,0,2012,416
15,Michigan,13,1014,5807,5.73,61,446.69,10,3,0,2003,418
46,Michigan,12,896,4638,5.18,45,386.5,9,3,0,2004,418
55,Michigan,12,908,4611,5.08,41,384.25,7,5,0,2005,418
38,Michigan,13,866,4820,5.57,47,370.77,11,2,0,2006,418
68,Michigan,13,963,5006,5.2,45,385.08,9,4,0,2007,418
109,Michigan,12,791,3489,4.41,31,290.75,3,9,0,2008,418
59,Michigan,12,823,4614,5.61,46,384.5,5,7,0,2009,418
8,Michigan,13,941,6353,6.75,59,488.69,7,6,0,2010,418
42,Michigan,13,844,5261,6.23,56,404.69,11,2,0,2011,418
78,Michigan,13,820,4980,6.07,48,383.08,8,5,0,2012,418
27,Middle Tenn.,13,955,5482,5.74,52,421.69,10,3,0,2009,419
69,Middle Tenn.,13,909,4835,5.32,45,371.92,6,7,0,2010,419
45,Middle Tenn.,12,938,4813,5.13,35,401.08,2,10,0,2011,419
66,Middle Tenn.,12,812,4713,5.8,38,392.75,8,4,0,2012,419
4,Minnesota,13,970,6430,6.63,66,494.62,10,3,0,2003,428
15,Minnesota,12,841,5260,6.25,47,438.33,7,5,0,2004,428
7,Minnesota,12,933,5937,6.36,56,494.75,7,5,0,2005,428
30,Minnesota,13,840,4881,5.81,50,375.46,6,7,0,2006,428
48,Minnesota,12,887,4890,5.51,42,407.5,1,11,0,2007,428
91,Minnesota,13,851,4198,4.93,38,322.92,7,6,0,2008,428
109,Minnesota,13,815,3984,4.89,33,306.46,6,7,0,2009,428
77,Minnesota,12,825,4336,5.26,35,361.33,3,9,0,2010,428
110,Minnesota,12,744,3724,5.01,27,310.33,3,9,0,2011,428
108,Minnesota,13,847,4178,4.93,35,321.38,6,7,0,2012,428
99,Mississippi St.,12,766,3848,5.02,29,320.67,2,10,0,2003,430
107,Mississippi St.,11,692,3335,4.82,22,303.18,3,8,0,2004,430
113,Mississippi St.,11,687,3038,4.42,19,276.18,3,8,0,2005,430
103,Mississippi St.,12,754,3442,4.56,29,286.83,3,9,0,2006,430
113,Mississippi St.,13,880,3863,4.39,36,297.15,8,5,0,2007,430
113,Mississippi St.,12,782,3299,4.22,23,274.92,4,8,0,2008,430
65,Mississippi St.,12,821,4463,5.44,37,371.92,5,7,0,2009,430
42,Mississippi St.,13,907,5217,5.75,48,401.31,9,4,0,2010,430
84,Mississippi St.,13,862,4643,5.39,42,357.15,7,6,0,2011,430
79,Mississippi St.,13,848,4965,5.85,49,381.92,8,5,0,2012,430
22,Mississippi,13,940,5631,5.99,52,433.15,10,3,0,2003,433
77,Mississippi,11,789,3861,4.89,22,351,4,7,0,2004,433
111,Mississippi,11,703,3099,4.41,17,281.73,3,8,0,2005,433
111,Mississippi,12,702,3137,4.47,21,261.42,4,8,0,2006,433
91,Mississippi,12,770,4143,5.38,30,345.25,3,9,0,2007,433
29,Mississippi,13,860,5299,6.16,52,407.62,9,4,0,2008,433
44,Mississippi,13,880,5231,5.94,49,402.38,9,4,0,2009,433
43,Mississippi,12,826,4798,5.81,46,399.83,4,8,0,2010,433
36,Missouri,13,926,5245,5.66,53,403.46,8,5,0,2003,434
60,Missouri,11,834,4098,4.91,32,372.55,5,6,0,2004,434
24,Missouri,12,981,5157,5.26,47,429.75,7,5,0,2005,434
8,Missouri,13,922,5533,6,48,425.62,8,5,0,2006,434
5,Missouri,14,1112,6864,6.17,70,490.29,12,2,0,2007,434
8,Missouri,14,982,6778,6.9,76,484.14,10,4,0,2008,434
32,Missouri,13,911,5362,5.89,42,412.46,8,5,0,2009,434
35,Missouri,13,929,5325,5.73,48,409.62,10,3,0,2010,434
12,Missouri,13,972,6182,6.36,54,475.54,8,5,0,2011,434
96,Missouri,12,867,4277,4.93,39,356.42,5,7,0,2012,434
43,North Carolina,12,816,4732,5.8,40,394.33,2,10,0,2003,457
43,North Carolina,12,775,4688,6.05,40,390.67,6,6,0,2004,457
102,North Carolina,11,759,3473,4.58,23,315.73,5,6,0,2005,457
101,North Carolina,12,715,3516,4.92,27,293,3,9,0,2006,457
105,North Carolina,12,770,3904,5.07,29,325.33,4,8,0,2007,457
92,North Carolina,13,771,4178,5.42,45,321.38,8,5,0,2008,457
108,North Carolina,13,845,4001,4.73,35,307.77,8,5,0,2009,457
51,North Carolina,13,865,5066,5.86,39,389.69,8,5,0,2010,457
53,North Carolina,13,813,5112,6.29,49,393.23,7,6,0,2011,457
14,North Carolina,12,898,5827,6.49,62,485.58,8,4,0,2012,457
83,Nebraska,13,908,4485,4.94,40,345,10,3,0,2003,463
69,Nebraska,11,734,3995,5.44,37,363.18,5,6,0,2004,463
96,Nebraska,12,864,3844,4.45,34,320.33,8,4,0,2005,463
14,Nebraska,14,965,5804,6.01,59,414.57,9,5,0,2006,463
9,Nebraska,12,898,5619,6.26,53,468.25,5,7,0,2007,463
12,Nebraska,13,919,5860,6.38,58,450.77,9,4,0,2008,463
99,Nebraska,14,876,4519,5.16,40,322.79,10,4,0,2009,463
44,Nebraska,14,916,5574,6.09,54,398.14,10,4,0,2010,463
66,Nebraska,13,904,4939,5.46,46,379.92,9,4,0,2011,463
26,Nebraska,14,1040,6451,6.2,61,460.79,10,4,0,2012,463
106,UNLV,12,851,3711,4.36,28,309.25,6,6,0,2003,465
83,UNLV,11,766,3745,4.89,28,340.45,2,9,0,2004,465
91,UNLV,11,760,3577,4.71,25,325.18,2,9,0,2005,465
84,UNLV,12,786,3802,4.84,30,316.83,2,10,0,2006,465
84,UNLV,12,845,4238,5.02,24,353.17,2,10,0,2007,465
73,UNLV,12,789,4140,5.25,39,345,5,7,0,2008,465
78,UNLV,12,806,4215,5.23,39,351.25,5,7,0,2009,465
118,UNLV,13,805,3565,4.43,31,274.23,2,11,0,2010,465
117,UNLV,12,769,3286,4.27,26,273.83,2,10,0,2011,465
88,UNLV,13,920,4783,5.2,36,367.92,2,11,0,2012,465
52,Nevada,12,864,4641,5.37,36,386.75,6,6,0,2003,466
27,Nevada,12,936,5025,5.37,46,418.75,5,7,0,2004,466
14,Nevada,12,942,5392,5.72,54,449.33,9,3,0,2005,466
46,Nevada,13,853,4648,5.45,53,357.54,8,5,0,2006,466
11,Nevada,13,953,6077,6.38,56,467.46,6,7,0,2007,466
5,Nevada,13,1011,6611,6.54,64,508.54,7,6,0,2008,466
2,Nevada,13,900,6573,7.3,69,505.62,8,5,0,2009,466
4,Nevada,14,1044,7268,6.96,77,519.14,13,1,0,2010,466
6,Nevada,13,1037,6587,6.35,53,506.69,7,6,0,2011,466
8,Nevada,13,1080,6693,6.2,66,514.85,7,6,0,2012,466
33,New Mexico St.,12,876,4920,5.62,32,410,3,9,0,2003,472
58,New Mexico St.,11,746,4102,5.5,34,372.91,5,6,0,2004,472
82,New Mexico St.,12,894,4133,4.62,26,344.42,0,12,0,2005,472
3,New Mexico St.,12,930,5702,6.13,53,475.17,4,8,0,2006,472
35,New Mexico St.,13,993,5505,5.54,40,423.46,4,9,0,2007,472
64,New Mexico St.,12,810,4267,5.27,35,355.58,3,9,0,2008,472
120,New Mexico St.,13,772,2981,3.86,18,229.31,3,10,0,2009,472
112,New Mexico St.,12,825,3558,4.31,20,296.5,2,10,0,2010,472
47,New Mexico St.,13,897,5175,5.77,43,398.08,4,9,0,2011,472
102,New Mexico St.,12,791,4024,5.09,31,335.33,1,11,0,2012,472
39,New Mexico,13,923,5207,5.64,49,400.54,8,5,0,2003,473
108,New Mexico,12,785,3576,4.56,30,298,7,5,0,2004,473
43,New Mexico,11,838,4371,5.22,42,397.36,6,5,0,2005,473
83,New Mexico,13,823,4120,5.01,32,316.92,6,7,0,2006,473
76,New Mexico,13,940,4837,5.15,33,372.08,9,4,0,2007,473
81,New Mexico,12,829,4075,4.92,29,339.58,4,8,0,2008,473
103,New Mexico,12,831,3784,4.55,23,315.33,1,11,0,2009,473
120,New Mexico,12,805,3188,3.96,24,265.67,1,11,0,2010,473
113,New Mexico,12,760,3554,4.68,18,296.17,1,11,0,2011,473
87,New Mexico,13,842,4812,5.71,44,370.15,4,9,0,2012,473
13,North Carolina St.,13,888,5891,6.63,65,453.15,8,5,0,2003,490
78,North Carolina St.,11,778,3839,4.93,32,349,5,6,0,2004,490
103,North Carolina St.,12,775,3775,4.87,29,314.58,7,5,0,2005,490
97,North Carolina St.,12,753,3624,4.81,25,302,3,9,0,2006,490
98,North Carolina St.,12,857,4019,4.69,29,334.92,5,7,0,2007,490
88,North Carolina St.,13,834,4279,5.13,37,329.15,6,7,0,2008,490
46,North Carolina St.,12,840,4726,5.63,48,393.83,5,7,0,2009,490
39,North Carolina St.,13,1006,5258,5.23,50,404.46,9,4,0,2010,490
94,North Carolina St.,13,914,4483,4.9,48,344.85,8,5,0,2011,490
48,North Carolina St.,13,1040,5475,5.26,47,421.15,7,6,0,2012,490
95,North Texas,13,786,4257,5.42,46,327.46,9,4,0,2003,497
82,North Texas,12,741,4128,5.57,38,344,7,5,0,2004,497
114,North Texas,11,683,2991,4.38,19,271.91,2,9,0,2005,497
117,North Texas,12,690,2786,4.04,15,232.17,3,9,0,2006,497
47,North Texas,12,934,4901,5.25,40,408.42,2,10,0,2007,497
57,North Texas,12,884,4356,4.93,30,363,1,11,0,2008,497
36,North Texas,12,833,4904,5.89,42,408.67,2,10,0,2009,497
64,North Texas,12,805,4503,5.59,35,375.25,3,9,0,2010,497
96,North Texas,12,827,4101,4.96,39,341.75,5,7,0,2011,497
67,North Texas,12,853,4706,5.52,31,392.17,4,8,0,2012,497
100,La.-Monroe,12,849,3838,4.52,31,319.83,1,11,0,2003,498
75,La.-Monroe,11,777,3883,5,26,353,5,6,0,2004,498
77,La.-Monroe,11,808,3843,4.76,31,349.36,5,6,0,2005,498
55,La.-Monroe,12,758,4174,5.51,32,347.83,4,8,0,2006,498
65,La.-Monroe,12,891,4628,5.19,36,385.67,6,6,0,2007,498
82,La.-Monroe,12,771,4047,5.25,37,337.25,4,8,0,2008,498
48,La.-Monroe,12,817,4708,5.76,39,392.33,6,6,0,2009,498
85,La.-Monroe,12,874,4164,4.76,32,347,5,7,0,2010,498
55,La.-Monroe,12,939,4687,4.99,40,390.58,4,8,0,2011,498
42,La.-Monroe,13,989,5626,5.69,61,432.77,8,5,0,2012,498
60,Northern Ill.,12,858,4547,5.3,46,378.92,10,2,0,2003,503
14,Northern Ill.,12,855,5265,6.16,53,438.75,9,3,0,2004,503
16,Northern Ill.,12,815,5329,6.54,52,444.08,7,5,0,2005,503
43,Northern Ill.,13,829,4722,5.7,39,363.23,7,6,0,2006,503
94,Northern Ill.,12,806,4055,5.03,28,337.92,2,10,0,2007,503
83,Northern Ill.,13,813,4356,5.36,37,335.08,6,7,0,2008,503
83,Northern Ill.,13,805,4487,5.57,45,345.15,7,6,0,2009,503
19,Northern Ill.,14,910,6300,6.92,69,450,11,3,0,2010,503
11,Northern Ill.,14,1003,6664,6.64,68,476,11,3,0,2011,503
20,Northern Ill.,14,1023,6574,6.43,71,469.57,12,2,0,2012,503
63,Northwestern,13,928,4880,5.26,35,375.38,6,7,0,2003,509
29,Northwestern,12,908,4914,5.41,38,409.5,6,6,0,2004,509
4,Northwestern,12,974,6004,6.16,51,500.33,7,5,0,2005,509
92,Northwestern,12,754,3733,4.95,25,311.08,4,8,0,2006,509
32,Northwestern,12,927,5132,5.54,39,427.67,6,6,0,2007,509
61,Northwestern,13,949,4660,4.91,37,358.46,9,4,0,2008,509
40,Northwestern,13,1034,5253,5.08,40,404.08,8,5,0,2009,509
48,Northwestern,13,942,5084,5.4,43,391.08,7,6,0,2010,509
34,Northwestern,13,984,5471,5.56,51,420.85,6,7,0,2011,509
64,Northwestern,13,964,5130,5.32,50,394.62,10,3,0,2012,509
90,Notre Dame,12,883,4036,4.57,26,336.33,5,7,0,2003,513
81,Notre Dame,12,822,4146,5.04,37,345.5,6,6,0,2004,513
10,Notre Dame,12,945,5728,6.06,58,477.33,9,3,0,2005,513
23,Notre Dame,13,894,5067,5.67,55,389.77,10,3,0,2006,513
119,Notre Dame,12,826,2907,3.52,26,242.25,3,9,0,2007,513
65,Notre Dame,13,883,4616,5.23,40,355.08,7,6,0,2008,513
8,Notre Dame,12,848,5421,6.39,44,451.75,6,6,0,2009,513
61,Notre Dame,13,895,4936,5.52,41,379.69,8,5,0,2010,513
35,Notre Dame,13,906,5369,5.93,50,413,8,5,0,2011,513
54,Notre Dame,13,894,5358,5.99,38,412.15,12,1,0,2012,513
93,Ohio St.,13,860,4318,5.02,39,332.15,11,2,0,2003,518
98,Ohio St.,12,751,3850,5.13,31,320.83,8,4,0,2004,518
32,Ohio St.,12,808,5068,6.27,47,422.33,10,2,0,2005,518
26,Ohio St.,13,820,4999,6.1,61,384.54,12,1,0,2006,518
62,Ohio St.,13,883,5118,5.8,51,393.69,11,2,0,2007,518
76,Ohio St.,13,807,4455,5.52,42,342.69,10,3,0,2008,518
68,Ohio St.,13,879,4797,5.46,44,369,11,2,0,2009,518
20,Ohio St.,13,896,5832,6.51,63,448.62,12,1,0,2010,518
107,Ohio St.,13,808,4136,5.12,39,318.15,6,7,0,2011,518
47,Ohio St.,12,837,5085,6.08,60,423.75,12,0,0,2012,518
89,Ohio,12,847,4052,4.78,35,337.67,2,10,0,2003,519
105,Ohio,11,754,3392,4.5,29,308.36,4,7,0,2004,519
108,Ohio,11,691,3218,4.66,26,292.55,4,7,0,2005,519
106,Ohio,14,856,3873,4.52,34,276.64,9,5,0,2006,519
83,Ohio,12,817,4374,5.35,43,364.5,6,6,0,2007,519
58,Ohio,12,778,4337,5.57,36,361.42,4,8,0,2008,519
106,Ohio,14,857,4342,5.07,41,310.14,9,5,0,2009,519
95,Ohio,13,768,4239,5.52,47,326.08,8,5,0,2010,519
23,Ohio,14,1024,6290,6.14,50,449.29,10,4,0,2011,519
33,Ohio,13,998,5782,5.79,49,444.77,9,4,0,2012,519
32,Oklahoma St.,13,872,5392,6.18,60,414.77,9,4,0,2003,521
52,Oklahoma St.,12,795,4566,5.74,51,380.5,7,5,0,2004,521
92,Oklahoma St.,11,754,3573,4.74,27,324.82,4,7,0,2005,521
16,Oklahoma St.,13,843,5327,6.32,61,409.77,7,6,0,2006,521
7,Oklahoma St.,13,978,6322,6.46,60,486.31,7,6,0,2007,521
6,Oklahoma St.,13,908,6340,6.98,69,487.69,9,4,0,2008,521
70,Oklahoma St.,13,891,4774,5.36,47,367.23,9,4,0,2009,521
3,Oklahoma St.,13,982,6763,6.89,71,520.23,11,2,0,2010,521
3,Oklahoma St.,13,987,7096,7.19,81,545.85,12,1,0,2011,521
4,Oklahoma St.,13,1014,7111,7.01,73,547,8,5,0,2012,521
19,Oklahoma,14,1018,6152,6.04,78,439.43,12,2,0,2003,522
8,Oklahoma,13,971,6007,6.19,61,462.08,12,1,0,2004,522
71,Oklahoma,12,862,4261,4.94,40,355.08,8,4,0,2005,522
40,Oklahoma,14,897,5162,5.75,52,368.71,11,3,0,2006,522
19,Oklahoma,14,975,6285,6.45,80,448.93,11,3,0,2007,522
3,Oklahoma,14,1106,7670,6.93,99,547.86,12,2,0,2008,522
23,Oklahoma,13,1004,5510,5.49,50,423.85,8,5,0,2009,522
10,Oklahoma,14,1211,6739,5.56,64,481.36,12,2,0,2010,522
5,Oklahoma,13,1052,6660,6.33,63,512.31,10,3,0,2011,522
12,Oklahoma,13,1005,6472,6.44,64,497.85,10,3,0,2012,522
10,Oregon St.,13,1060,6019,5.68,53,463,8,5,0,2003,528
54,Oregon St.,12,910,4554,5,39,379.5,7,5,0,2004,528
34,Oregon St.,11,874,4609,5.27,32,419,5,6,0,2005,528
45,Oregon St.,14,899,5048,5.62,46,360.57,10,4,0,2006,528
78,Oregon St.,13,979,4831,4.93,43,371.62,9,4,0,2007,528
30,Oregon St.,13,935,5292,5.66,50,407.08,9,4,0,2008,528
34,Oregon St.,13,918,5338,5.81,49,410.62,8,5,0,2009,528
94,Oregon St.,12,759,3918,5.16,39,326.5,5,7,0,2010,528
73,Oregon St.,12,821,4484,5.46,31,373.67,3,9,0,2011,528
43,Oregon St.,13,946,5609,5.93,54,431.46,9,4,0,2012,528
57,Oregon,13,916,5003,5.46,45,384.85,8,5,0,2003,529
37,Oregon,11,817,4367,5.35,37,397,5,6,0,2004,529
18,Oregon,11,909,5266,5.79,49,438.83,10,1,0,2005,529
9,Oregon,13,958,5497,5.74,48,422.85,7,6,0,2006,529
10,Oregon,13,1028,6078,5.91,62,467.54,9,4,0,2007,529
7,Oregon,13,958,6303,6.58,71,484.85,10,3,0,2008,529
33,Oregon,13,885,5356,6.05,60,412,10,3,0,2009,529
1,Oregon,13,1024,6899,6.74,81,530.69,12,1,0,2010,529
4,Oregon,14,1015,7319,7.21,88,522.79,12,2,0,2011,529
5,Oregon,13,1058,6986,6.6,89,537.38,12,1,0,2012,529
103,Penn St.,12,793,3760,4.74,29,313.33,3,9,0,2003,539
104,Penn St.,11,720,3418,4.75,24,310.73,4,7,0,2004,539
33,Penn St.,12,834,5058,6.06,52,421.5,11,1,0,2005,539
53,Penn St.,13,881,4549,5.16,32,349.92,9,4,0,2006,539
55,Penn St.,13,943,5201,5.52,48,400.08,9,4,0,2007,539
14,Penn St.,13,894,5836,6.53,63,448.92,11,2,0,2008,539
37,Penn St.,13,864,5290,6.12,47,406.92,11,2,0,2009,539
68,Penn St.,13,873,4839,5.54,37,372.23,7,6,0,2010,539
95,Penn St.,13,891,4451,5,29,342.38,9,4,0,2011,539
53,Penn St.,12,931,5010,5.38,44,417.5,8,4,0,2012,539
34,Pittsburgh,13,910,5274,5.8,51,405.69,8,5,0,2003,545
72,Pittsburgh,12,862,4294,4.98,39,357.83,8,4,0,2004,545
85,Pittsburgh,11,749,3694,4.93,31,335.82,5,6,0,2005,545
37,Pittsburgh,12,712,4467,6.27,49,372.25,6,6,0,2006,545
108,Pittsburgh,12,811,3834,4.73,31,319.5,5,7,0,2007,545
77,Pittsburgh,13,873,4452,5.1,42,342.46,9,4,0,2008,545
52,Pittsburgh,13,817,5091,6.23,50,391.62,10,3,0,2009,545
72,Pittsburgh,13,830,4770,5.75,41,366.92,8,5,0,2010,545
88,Pittsburgh,13,944,4551,4.82,36,350.08,6,7,0,2011,545
71,Pittsburgh,13,884,5071,5.74,41,390.08,6,7,0,2012,545
65,Purdue,13,971,4848,4.99,39,372.92,9,4,0,2003,559
13,Purdue,12,910,5358,5.89,50,446.5,7,5,0,2004,559
25,Purdue,11,844,4713,5.58,44,428.45,5,6,0,2005,559
13,Purdue,14,941,5820,6.18,48,415.71,8,6,0,2006,559
