Rank,Name,Games,Plays,Yds,Avg,TDs,Ydspgm,Wins,Losses,Ties,Year,Team Code
68,Ball St.,12,859,4553,5.3,37,379.42,6,6,0,2011,47
27,Ball St.,13,1035,5944,5.74,52,457.23,9,4,0,2012,47
114,Baylor,12,822,3377,4.11,24,281.42,3,9,0,2003,51
102,Baylor,11,761,3430,4.51,27,311.82,3,8,0,2004,51
97,Baylor,11,777,3497,4.5,27,317.91,5,6,0,2005,51
86,Baylor,12,745,3782,5.08,36,315.17,4,8,0,2006,51
85,Baylor,12,859,4215,4.91,29,351.25,3,9,0,2007,51
46,Baylor,12,771,4517,5.86,46,376.42,4,8,0,2008,51
85,Baylor,12,777,4115,5.3,32,342.92,4,8,0,2009,51
13,Baylor,13,939,6179,6.58,50,475.31,7,6,0,2010,51
2,Baylor,13,1000,7632,7.63,80,587.08,10,3,0,2011,51
2,Baylor,13,1072,7439,6.94,76,572.23,8,5,0,2012,51
7,Boise St.,14,1061,6809,6.42,77,486.36,13,1,0,2003,66
4,Boise St.,12,951,5912,6.22,74,492.67,11,1,0,2004,66
29,Boise St.,13,950,5524,5.81,64,424.92,9,4,0,2005,66
10,Boise St.,13,857,5468,6.38,68,420.62,13,0,0,2006,66
12,Boise St.,13,978,6076,6.21,72,467.38,10,3,0,2007,66
18,Boise St.,13,887,5731,6.46,63,440.85,12,1,0,2008,66
10,Boise St.,14,966,6303,6.52,76,450.21,14,0,0,2009,66
2,Boise St.,13,910,6777,7.45,77,521.31,12,1,0,2010,66
9,Boise St.,13,969,6257,6.46,81,481.31,12,1,0,2011,66
68,Boise St.,13,872,5087,5.83,50,391.31,11,2,0,2012,66
35,Boston College,13,954,5259,5.51,48,404.54,8,5,0,2003,67
47,Boston College,12,875,4625,5.29,37,385.42,9,3,0,2004,67
51,Boston College,12,865,4653,5.38,40,387.75,9,3,0,2005,67
50,Boston College,13,896,4604,5.14,42,354.15,10,3,0,2006,67
33,Boston College,14,1081,5951,5.51,52,425.07,11,3,0,2007,67
94,Boston College,14,966,4471,4.63,43,319.36,9,5,0,2008,67
98,Boston College,13,823,4211,5.12,40,323.92,8,5,0,2009,67
109,Boston College,13,815,3888,4.77,25,299.08,7,5,0,2010,67
112,Boston College,12,761,3585,4.71,27,298.75,4,8,0,2011,67
99,Boston College,12,818,4198,5.13,26,349.83,2,10,0,2012,67
3,Bowling Green,14,1111,6954,6.26,61,496.71,11,3,0,2003,71
2,Bowling Green,12,904,6076,6.72,69,506.33,9,3,0,2004,71
27,Bowling Green,11,829,4705,5.68,51,427.73,6,5,0,2005,71
56,Bowling Green,12,852,4149,4.87,32,345.75,4,8,0,2006,71
53,Bowling Green,13,940,5232,5.57,49,402.46,8,5,0,2007,71
60,Bowling Green,12,818,4317,5.28,44,359.75,6,6,0,2008,71
43,Bowling Green,13,956,5235,5.48,48,402.69,7,6,0,2009,71
115,Bowling Green,12,820,3533,4.31,35,294.42,1,10,0,2010,71
62,Bowling Green,12,830,4614,5.56,42,384.5,5,7,0,2011,71
91,Bowling Green,13,895,4751,5.31,39,365.46,8,5,0,2012,71
102,BYU,12,846,3775,4.46,21,314.58,4,8,0,2003,77
48,BYU,11,806,4210,5.22,32,382.73,5,6,0,2004,77
13,BYU,12,934,5549,5.94,51,462.42,6,6,0,2005,77
4,BYU,13,889,6051,6.81,63,465.46,11,2,0,2006,77
25,BYU,13,996,5756,5.78,52,442.77,11,2,0,2007,77
16,BYU,13,917,5782,6.31,59,444.77,10,3,0,2008,77
21,BYU,13,889,5553,6.25,62,427.15,11,2,0,2009,77
73,BYU,13,946,4764,5.04,41,366.46,7,6,0,2010,77
41,BYU,13,958,5274,5.51,49,405.69,10,3,0,2011,77
60,BYU,13,1003,5205,5.19,50,400.38,8,5,0,2012,77
112,Buffalo,12,833,3487,4.19,19,290.58,1,11,0,2003,86
116,Buffalo,11,700,2965,4.24,26,269.55,2,9,0,2004,86
112,Buffalo,11,742,3063,4.13,14,278.45,1,10,0,2005,86
109,Buffalo,12,734,3218,4.38,28,268.17,2,10,0,2006,86
89,Buffalo,12,809,4175,5.16,35,347.92,5,7,0,2007,86
54,Buffalo,14,958,5184,5.41,56,370.29,8,6,0,2008,86
39,Buffalo,12,836,4865,5.82,37,405.42,5,7,0,2009,86
111,Buffalo,12,850,3572,4.2,21,297.67,2,10,0,2010,86
80,Buffalo,12,858,4382,5.11,34,365.17,3,9,0,2011,86
83,Buffalo,12,866,4510,5.21,32,375.83,4,8,0,2012,86
77,Fresno St.,14,998,4936,4.95,37,352.57,9,5,0,2003,96
31,Fresno St.,12,804,4854,6.04,65,404.5,9,3,0,2004,96
29,Fresno St.,13,906,5524,6.1,63,424.92,8,5,0,2005,96
63,Fresno St.,12,752,4058,5.4,35,338.17,4,8,0,2006,96
38,Fresno St.,13,907,5454,6.01,54,419.54,9,4,0,2007,96
43,Fresno St.,13,851,5034,5.92,49,387.23,7,6,0,2008,96
17,Fresno St.,13,876,5597,6.39,56,430.54,8,5,0,2009,96
70,Fresno St.,13,858,4818,5.62,45,370.62,8,5,0,2010,96
37,Fresno St.,13,887,5354,6.04,49,411.85,4,9,0,2011,96
16,Fresno St.,13,1006,6208,6.17,66,477.54,9,4,0,2012,96
23,California,14,994,6061,6.1,59,432.93,8,6,0,2003,107
5,California,12,840,5909,7.03,59,492.42,10,2,0,2004,107
26,California,11,804,5135,6.39,53,427.92,7,4,0,2005,107
12,California,13,840,5408,6.44,54,416,10,3,0,2006,107
50,California,13,884,5260,5.95,49,404.62,7,6,0,2007,107
47,California,13,832,4888,5.88,54,376,9,4,0,2008,107
49,California,13,864,5098,5.9,48,392.15,8,5,0,2009,107
90,California,12,760,4008,5.27,40,334,5,7,0,2010,107
44,California,13,924,5219,5.65,45,401.46,7,6,0,2011,107
69,California,12,817,4695,5.75,33,391.25,3,9,0,2012,107
110,UCLA,13,885,3834,4.33,29,294.92,6,7,0,2003,110
28,UCLA,12,824,4920,5.97,45,410,6,6,0,2004,110
23,UCLA,12,825,5172,6.27,62,431,10,2,0,2005,110
71,UCLA,13,836,4291,5.13,31,330.08,7,6,0,2006,110
99,UCLA,13,916,4337,4.73,31,333.62,6,7,0,2007,110
111,UCLA,12,812,3399,4.19,22,283.25,4,8,0,2008,110
88,UCLA,13,857,4386,5.12,28,337.38,7,6,0,2009,110
100,UCLA,12,802,3800,4.74,29,316.67,4,8,0,2010,110
72,UCLA,14,898,5273,5.87,42,376.64,6,8,0,2011,110
24,UCLA,14,1095,6531,5.96,62,466.5,9,5,0,2012,110
101,UCF,12,766,3837,5.01,28,319.75,3,9,0,2003,128
114,UCF,11,729,3080,4.22,21,280,0,11,0,2004,128
40,UCF,13,951,5217,5.49,44,401.31,8,5,0,2005,128
34,UCF,12,823,4478,5.44,26,373.17,4,8,0,2006,128
45,UCF,14,1016,5763,5.67,62,411.64,10,4,0,2007,128
119,UCF,12,761,2754,3.62,25,229.5,4,8,0,2008,128
87,UCF,13,859,4431,5.16,43,340.85,8,5,0,2009,128
65,UCF,14,898,5236,5.83,60,374,11,3,0,2010,128
40,UCF,12,812,4881,6.01,40,406.75,5,7,0,2011,128
57,UCF,14,939,5703,6.07,67,407.36,10,4,0,2012,128
69,Central Mich.,12,884,4448,5.03,38,370.67,3,9,0,2003,129
39,Central Mich.,11,823,4351,5.29,34,395.55,4,7,0,2004,129
35,Central Mich.,11,860,4608,5.36,33,418.91,6,5,0,2005,129
32,Central Mich.,14,869,5254,6.05,55,375.29,10,4,0,2006,129
21,Central Mich.,14,1076,6258,5.82,66,447,8,6,0,2007,129
23,Central Mich.,13,964,5505,5.71,48,423.46,8,5,0,2008,129
24,Central Mich.,14,994,5924,5.96,61,423.14,12,2,0,2009,129
50,Central Mich.,12,860,4677,5.44,38,389.75,3,9,0,2010,129
57,Central Mich.,12,791,4679,5.92,33,389.92,3,9,0,2011,129
63,Central Mich.,13,828,5132,6.2,47,394.77,7,6,0,2012,129
44,Cincinnati,12,956,4721,4.94,35,393.42,5,7,0,2003,140
30,Cincinnati,12,901,4867,5.4,44,405.58,7,5,0,2004,140
93,Cincinnati,11,774,3569,4.61,26,324.45,4,7,0,2005,140
61,Cincinnati,13,858,4426,5.16,31,340.46,8,5,0,2006,140
