,,,,,,
Rk,,From,To,G,Pos,AV
134,Brandon McKinney,2008,2011,41,DT,6
135,Pernell McPhee,2011,2012,28,DE,6
136,Kyle Richardson,1998,2000,48,P,6
137,Deion Sanders,2004,2005,25,DB,6
138,Musa Smith,2004,2007,37,RB,6
139,Bennie Thompson,1996,1999,64,DB,6
140,Courtney Upshaw,2012,2012,16,,6
141,Keith Washington,1997,2000,58,DE,6
142,Terry Allen,2001,2001,11,RB,5
143,Willie Anderson,2008,2008,14,T,5
144,Mike Croel,1996,1996,16,LB,5
145,Billy Cundiff,2010,2011,31,K,5
146,Trent Dilfer,2000,2000,11,QB,5
147,Aubrayo Franklin,2004,2006,35,DT,5
148,Corey Fuller,2003,2004,28,DB,5
149,Jim Harbaugh,1998,1998,14,QB,5
,,,,,,
Rk,,From,To,G,Pos,AV
150,Randy Hymes,2002,2005,37,WR,5
151,Rondell Jones,1997,1997,14,DB,5
152,Matt Katula,2005,2009,80,C,5
153,Marcus Robinson,2003,2003,15,WR,5
154,Gary Stills,2006,2007,32,DE,5
155,Justin Tucker,2012,2012,16,,5
156,Frank Walker,2008,2009,29,DB,5
157,Daniel Wilcox,2004,2006,43,TE,5
158,Josh Wilson,2010,2010,14,DB,5
159,Justin Armour,1999,1999,15,WR,4
160,Obafemi Ayanbadejo,2000,2001,24,RB,4
161,Jason Brookins,2001,2001,12,RB,4
162,Steve Everitt,1996,1996,8,C,4
163,Corey Graham,2012,2012,16,DB,4
164,Nick Greisen,2007,2008,28,LB,4
165,T.J. Houshmandzadeh,2010,2010,16,WR,4
166,Terry Jones,2002,2004,45,TE,4
167,Joe Maese,2001,2004,62,C,4
168,Greg Montgomery,1996,1997,32,P,4
169,Haruki Nakamura,2008,2011,56,DB,4
170,Quentin Neujahr,1996,1997,14,C,4
171,Bernard Pierce,2012,2012,16,,4
172,Anthony Pleasant,1996,1996,12,DE,4
173,Alvin Porter,2001,2002,32,DB,4
174,Jah Reid,2011,2012,25,T,4
175,Ralph Staten,1997,1998,25,DB,4
176,Kelley Washington,2009,2009,15,WR,4
177,Ricky Williams,2011,2011,16,RB,4
178,Sammy Williams,2001,2001,15,T,4
179,Mike Anderson,2006,2007,24,RB,3
,,,,,,
Rk,,From,To,G,Pos,AV
180,James Atkins,1998,1999,11,T,3
181,Antwan Barnes,2007,2009,38,LB,3
182,Prescott Burgess,2007,2010,37,LB,3
183,Mike Caldwell,1996,1996,9,LB,3
184,Morgan Cox,2010,2012,47,LS,3
185,Eugene Daniel,1997,1997,9,DB,3
186,Charles Evans,1999,1999,16,RB,3
187,Dan Footman,1996,1996,10,DE,3
188,Tim Goad,1996,1996,16,NT,3
189,Leo Goeas,1997,1997,11,G,3
190,Keith Goganious,1996,1996,13,LB,3
191,Jay Graham,1997,1998,18,RB,3
192,Roderick Green,2004,2005,25,LB,3
193,Andre Gurode,2011,2011,13,G,3
194,Kevin Johnson,2004,2004,16,WR,3
195,Edgar Jones,2008,2011,32,DE,3
196,Vonta Leach,2011,2012,32,RB,3
197,Tony Moll,2010,2010,16,T,3
198,Ronnie Prude,2006,2007,30,DB,3
199,Chris Redman,2002,2002,6,QB,3
200,Alan Ricard,2002,2004,48,FB,3
201,Brian Rimpf,2005,2005,15,G,3
202,Fernando Smith,1999,1999,15,DE,3
203,Jimmy Smith,2011,2012,24,CB,3
204,Shannon Taylor,2001,2002,27,LB,3
205,Raymond Walls,2003,2004,26,DB,3
206,Bobbie Williams,2012,2012,13,G,3
207,Jerrol Williams,1996,1996,9,LB,3
208,Moe Williams,2001,2001,15,RB,3
209,Herman Arvie,1996,1996,14,T,2
,,,,,,
Rk,,From,To,G,Pos,AV
210,Robert Bailey,2000,2000,16,DB,2
211,Orlando Bobo,2000,2001,19,G,2
212,O.J. Brigance,2000,2000,16,LB,2
213,Josh Bynes,2012,2012,10,LB,2
214,Dale Carter,2005,2005,15,DB,2
215,Randall Cunningham,2001,2001,6,QB,2
216,Devard Darling,2007,2007,16,WR,2
217,Billy Davis,1999,2000,32,WR,2
218,Yamon Figurs,2007,2007,14,WR,2
219,Ramon Harewood,2012,2012,6,T,2
220,James Ihedigbo,2012,2012,16,DB,2
221,Carnell Lake,2001,2001,15,DB,2
222,Derrick Martin,2007,2007,16,DB,2
223,Tyrus McCloud,1997,1998,23,LB,2
224,Clarence Moore,2004,2004,15,WR,2
225,Ovie Mughelli,2006,2006,16,FB,2
226,Evan Oglesby,2006,2008,25,DB,2
227,Riddick Parker,2002,2003,17,DT,2
228,Tyrell Peters,1998,1999,23,LB,2
229,Roosevelt Potts,1998,1998,16,RB,2
230,David Reed,2010,2012,18,WR,2
231,James Roe,1997,1998,22,WR,2
232,B.J. Sams,2004,2004,16,RB,2
233,Frank Sanders,2003,2003,13,WR,2
234,Gerome Sapp,2006,2007,24,DB,2
235,T.J. Slaughter,2004,2004,14,LB,2
236,Troy Smith,2007,2008,10,QB,2
237,Eddie Sutter,1996,1996,16,LB,2
238,Quinn Sypniewski,2007,2007,15,TE,2
239,Deangelo Tyson,2012,2012,10,,2
,,,,,,
Rk,,From,To,G,Pos,AV
240,B.J. Ward,2005,2005,15,DB,2
241,Vashone Adams,1996,1996,16,DB,1
242,Anthony Allen,2012,2012,16,RB,1
243,Issac Booth,1996,1996,11,DB,1
244,Lamont Brightful,2002,2002,12,DB,1
245,Chykie Brown,2012,2012,16,CB,1
246,Omar Brown,2012,2012,3,,1
247,Stoney Case,1999,1999,10,QB,1
248,Ben Coates,2000,2000,16,TE,1
249,Sean Considine,2012,2012,15,DB,1
250,Damion Cook,2004,2004,9,G,1
251,Anthony Davis,2000,2000,14,LB,1
252,Darnell Dinkins,2004,2004,10,TE,1
253,Tandon Doss,2012,2012,14,WR,1
254,Lee Evans,2011,2011,9,WR,1
255,Elliott Fortune,1996,1996,14,DE,1
256,Paul Frase,1998,1998,11,DE,1
257,Carwell Gardner,1996,1996,13,FB,1
258,Sam Gash,2001,2001,16,FB,1
259,Willie Gaston,2007,2007,4,DB,1
260,Danny Gorrer,2011,2011,11,DB,1
261,Gino Gradkowski,2012,2012,15,,1
262,David Hale,2009,2009,12,T,1
263,Dennis Haley,2006,2006,8,LB,1
264,Ken Hamlin,2010,2010,7,DB,1
265,John Hudson,2000,2000,8,G,1
266,Sale Isaia,1996,1996,9,G,1
267,Chris Johnson,2012,2012,4,DB,1
268,Ron Johnson,2002,2002,16,WR,1
269,Tom Knight,2003,2003,10,DB,1
,,,,,,
Rk,,From,To,G,Pos,AV
270,Mark LeVoir,2011,2011,3,T,1
271,Rick Lyle,1996,1996,11,DE,1
272,Bryan Mattison,2011,2011,8,G,1
273,Scott Mitchell,1999,1999,2,QB,1
274,Nick Murphy,2004,2004,3,P,1
275,Lorenzo Neal,2008,2008,16,FB,1
276,David Nugent,2002,2002,9,DE,1
277,Jerry Olsavsky,1998,1998,9,LB,1
278,Jason Phillips,2010,2010,9,LB,1
279,Aaron Pierce,1999,1999,10,TE,1
280,David Pittman,2007,2007,7,DB,1
281,Anthony Poindexter,2000,2000,12,DB,1
282,Mike Smith,2006,2006,8,LB,1
283,Donte Stallworth,2010,2010,8,WR,1
284,Daren Stone,2008,2008,8,DB,1
285,Robert Tate,2002,2002,13,DB,1
286,Tyrod Taylor,2012,2012,6,QB,1
287,Jason Thomas,2002,2002,13,G,1
288,Calvin Williams,1996,1996,7,WR,1
289,John Williams,1998,1998,16,DB,1
290,Jamaine Winborne,2007,2007,16,DB,1
291,Ryan Yarborough,1997,1997,16,WR,1


Provided by <a href="http://www.sports-reference.com/sharing.shtml?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Pro-Football-Reference.com</a>: <a href="http://www.pro-football-reference.com/teams/rav/career-av.htm?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#av">View Original Table</a><br>Generated 10/13/2013.
