,,,,,,
Rk,,From,To,G,Pos,AV
134,Cornelius Bennett,1996,1998,45,LB,20
135,Darion Conner,1990,1993,61,LB,20
136,Wilson Faumuina,1977,1981,74,DT,20
137,Dennis Havig,1972,1975,55,G,20
138,Billy Johnson,1983,1987,54,WR,20
139,Lawyer Milloy,2006,2008,47,DB,20
140,William Moore,2010,2012,40,DB,20
141,Mike Peterson,2009,2012,61,LB,20
142,Kevin Shaffer,2002,2005,53,T,20
143,Jason Snelling,2008,2012,75,RB,20
144,Matt Stewart,2001,2004,63,LB,20
145,Chuck Walker,1972,1975,47,DT,20
146,Floyd Dixon,1986,1991,84,WR,19
147,Clarence Ellis,1972,1974,41,DB,19
148,Norm Johnson,1991,1994,61,K,19
149,John Mallory,1969,1971,41,DB,19
,,,,,,
Rk,,From,To,G,Pos,AV
150,Corey Peters,2010,2012,41,DT,19
151,Dunta Robinson,2010,2012,47,DB,19
152,Sean Weatherspoon,2010,2012,40,LB,19
153,Kroy Biermann,2008,2012,80,LB,18
154,Aundray Bruce,1988,1991,62,LB,18
155,Keion Carpenter,2002,2005,46,DB,18
156,Glen Condren,1969,1972,45,DT,18
157,T.J. Duckett,2002,2005,54,RB,18
158,Paul Flatley,1968,1970,42,WR,18
159,Len Gotshalk,1972,1976,66,T,18
160,Bob Hallen,1998,2001,59,G,18
161,Billy Lothridge,1966,1971,79,DB,18
162,Tony Martin,1998,2001,27,WR,18
163,Eric Metcalf,1995,1996,32,RB,18
164,Robert Moore,1986,1989,60,DB,18
165,John Settle,1987,1989,40,RB,18
166,Mal Snider,1969,1971,41,G,18
167,Harry Douglas,2008,2012,63,WR,17
168,Roberto Garza,2001,2004,52,G,17
169,Dewey McClain,1976,1980,73,LB,17
170,Brett Miller,1983,1988,66,T,17
171,Erric Pegram,1991,1994,61,RB,17
172,David Richards,1994,1996,35,G,17
173,Ken Tippins,1990,1995,94,LB,17
174,Chris Houston,2007,2009,44,DB,16
175,Mike Pitts,1983,1986,62,DT,16
176,Wayne Radloff,1985,1989,65,C,16
177,Eugene Robinson,1998,1999,32,DB,16
178,Bret Clark,1986,1988,28,DB,15
179,Junior Coffey,1966,1969,34,RB,15
,,,,,,
Rk,,From,To,G,Pos,AV
180,Grady Jackson,2006,2008,38,DT,15
181,Shawn Jefferson,2000,2002,45,WR,15
182,Randy Johnson,1966,1970,46,QB,15
183,Gerald McBurrows,1999,2003,74,DB,15
184,Peerless Price,2003,2004,32,WR,15
185,Rudy Redmond,1969,1971,36,DB,15
186,Elbert Shelley,1988,1996,115,DB,15
187,Brent Adams,1975,1977,41,T,14
188,David Archer,1984,1986,29,QB,14
189,Bubba Bean,1976,1979,40,RB,14
190,James Britt,1983,1987,60,DB,14
191,Steve Broussard,1990,1993,50,RB,14
192,Devin Bush,1995,1998,56,DB,14
193,Erik Coleman,2008,2010,44,DB,14
194,Chris Doleman,1994,1995,30,DE,14
195,Dick Enderle,1969,1971,40,G,14
196,Edgar Fields,1977,1980,60,DT,14
197,Pierce Holt,1993,1995,39,DE,14
198,Lincoln Kennedy,1993,1995,48,T,14
199,Junior Miller,1980,1983,56,TE,14
200,Paul Ryczek,1974,1979,88,C,14
201,Bryan Scott,2003,2005,47,DB,14
202,Ron Acks,1968,1971,37,LB,13
203,Matt Bryant,2009,2012,53,K,13
204,Tim Dwight,1998,2000,38,WR,13
205,Brian Jordan,1989,1991,36,DB,13
206,Clay Matthews,1994,1996,46,LB,13
207,William White,1997,1998,32,DB,13
208,Marty Carter,1999,2001,32,DB,12
209,Chris Crocker,2006,2007,30,DB,12
,,,,,,
Rk,,From,To,G,Pos,AV
210,Ron George,1993,1996,60,LB,12
211,Pat Howell,1979,1982,40,G,12
212,Matt Lehr,2005,2006,26,C,12
213,Errol Linden,1966,1968,42,T,12
214,Ron McCartney,1977,1979,45,LB,12
215,Tom McCauley,1969,1971,32,DB,12
216,Tim McKyer,1991,1996,40,DB,12
217,Eric Sanders,1981,1986,75,T,12
218,John Small,1970,1972,33,DT,12
219,Darnell Walker,1993,1996,62,DB,12
220,Jason Webster,2004,2006,33,DB,12
221,Charlie Brown,1985,1987,35,WR,11
222,Shawn Collins,1989,1990,32,WR,11
223,Arthur Cox,1983,1987,76,TE,11
224,Ray Edwards,2011,2012,25,DE,11
225,Tory Epps,1990,1992,48,NT,11
226,Jay Feely,2001,2004,64,K,11
227,Drew Hill,1992,1993,32,WR,11
228,Peria Jerry,2009,2012,48,DT,11
229,Keith L. Jones,1989,1992,50,RB,11
230,Robert Lyles,1990,1991,27,LB,11
231,Kevin Mathis,2002,2006,48,DB,11
232,Nick Mike-Mayer,1973,1976,56,K,11
233,Tom Moriarty,1977,1981,53,DB,11
234,Dan Owens,1996,1997,31,DE,11
235,Kevin Ross,1994,1995,32,DB,11
236,Jerry Shay,1968,1969,28,DT,11
237,Jesse Solomon,1992,1993,32,LB,11
238,Don Talbert,1966,1968,38,T,11
239,Reggie Wilkes,1986,1987,22,LB,11
,,,,,,
Rk,,From,To,G,Pos,AV
240,Dan Benish,1983,1985,47,DT,10
241,Wendell Cason,1985,1987,33,DB,10
242,Rick Donnelly,1985,1988,55,P,10
243,Scott Fulhage,1989,1992,64,P,10
244,Wayne Gandy,2006,2008,28,T,10
245,Tim Gordon,1987,1989,41,DB,10
246,Dan Grimm,1966,1968,30,G,10
247,Roger Harper,1993,1995,42,DB,10
248,Joe Hawley,2010,2012,37,C,10
249,Ralph Heck,1966,1968,41,LB,10
250,D.J. Johnson,1994,1995,29,DB,10
251,Jim Laughlin,1980,1987,44,LB,10
252,Bob Lee,1973,1973,12,QB,10
253,Rosie Manning,1972,1975,14,DT,10
254,Phil McKinnely,1976,1980,62,T,10
255,Andrew Provence,1983,1987,69,DT,10
256,Jacquizz Rodgers,2011,2012,32,RB,10
257,Will Svitek,2009,2011,45,T,10
258,Vance Walker,2009,2012,58,DT,10
259,Lee Calland,1966,1968,35,DB,9
260,David Frye,1983,1985,46,LB,9
261,Justin Griffith,2003,2006,60,FB,9
262,Larron Jackson,1975,1976,28,G,9
263,Gene Lang,1988,1989,31,RB,9
264,Chad Lavalais,2004,2005,30,DT,9
265,Greg Lens,1970,1971,21,DT,9
266,Frank Marchlewski,1966,1968,29,C,9
267,Garrett Reynolds,2011,2012,23,T,9
268,Marion Rushing,1966,1968,35,LB,9
269,O.J. Santiago,1997,1999,41,TE,9
,,,,,,
Rk,,From,To,G,Pos,AV
270,Dan Stryzinski,1995,2000,96,P,9
271,Woody Thompson,1975,1977,35,RB,9
272,Billy Joe Tolliver,1991,1997,29,QB,9
273,Mike Zele,1979,1983,52,NT,9
274,Nick Bebout,1973,1975,40,T,8
275,Juran Bolden,1997,2003,36,DB,8
276,Akeem Dent,2011,2012,32,LB,8
277,Charles Dimry,1988,1990,48,DB,8
278,Mike Freeman,1968,1970,37,DB,8
279,Ted Fritsch,1972,1974,42,C,8
280,Cory Hall,2003,2004,25,DB,8
281,Byron Hanspard,1997,1999,28,RB,8
282,Floyd Hodge,1982,1984,33,WR,8
283,Doug Johnson,2000,2003,20,QB,8
284,Brian Kozlowski,1997,2003,112,TE,8
285,Jim Miller,1971,1974,30,G,8
286,Chris Mohr,2001,2004,64,P,8
287,Quinn Ojinnaka,2006,2009,39,G,8
288,Christopher Owens,2009,2012,58,DB,8
289,Tony Plummer,1971,1973,35,DB,8
290,Eddie Ray,1973,1974,25,RB,8
291,Michael Reid,1987,1992,65,LB,8
292,Mike Rozier,1990,1991,24,RB,8
293,Karl Rubke,1966,1967,22,LB,8
294,Craig Sauer,1996,1999,64,LB,8
295,Jim Simon,1966,1968,41,G,8
296,Sam Williams,1966,1967,28,DE,8
297,Matt Willig,1996,1997,28,T,8
298,Mel Agee,1993,1995,37,DE,7
299,Duane Benson,1972,1973,28,LB,7
,,,,,,
Rk,,From,To,G,Pos,AV
300,John Burrough,1995,1998,64,DE,7
301,Wes Chesson,1971,1972,27,WR,7
302,Vinnie Clark,1993,1994,26,DB,7
303,Antone Davis,1996,1997,19,T,7
304,Greg Davis,1987,1990,41,K,7
305,Reggie Kelly,1999,2002,62,TE,7
306,Michael Koenen,2005,2010,80,P,7
307,Al Lavan,1969,1970,24,DB,7
308,Tim Mazzetti,1978,1980,26,K,7
309,Ken Mitchell,1973,1974,28,LB,7
310,Ray Ogden,1967,1968,25,TE,7
311,Nick Rassas,1966,1968,27,DB,7
312,Chris Redman,2007,2011,18,QB,7
313,Sam Rogers,2002,2003,17,LB,7
314,Mike Ruether,1990,1993,64,G,7
315,Asante Samuel,2012,2012,15,DB,7
316,Ron Smith,1966,1967,27,DB,7
317,George Thomas,1990,1992,30,WR,7
318,Lonnie Warwick,1973,1974,28,LB,7
319,Jim Weatherford,1969,1969,14,DB,7
320,Wade Wilson,1992,1992,9,QB,7
321,Oliver Barnett,1990,1992,46,DE,6
322,Eric Beverly,2004,2006,45,C,6
323,J.J. Birden,1995,1996,22,WR,6
324,Michael Booker,1997,1999,42,DB,6
325,Dave Cahill,1969,1969,11,DT,6
326,Scott Campbell,1987,1990,19,QB,6
327,Johndale Carty,1999,2002,61,DB,6
328,Stan Clayton,1988,1989,15,G,6
329,Gail Cogdill,1969,1970,19,SE,6
,,,,,,
Rk,,From,To,G,Pos,AV
330,Ed Cook,1966,1967,18,T,6
331,Ted Cottrell,1969,1970,24,LB,6
332,David Croudip,1985,1987,38,DB,6
333,Jumpy Geathers,1993,1995,46,DE,6
334,Paul Gipson,1969,1970,23,RB,6
335,Joey Harrington,2007,2007,12,QB,6
336,Alex Hawkins,1966,1966,12,HB,6
337,Scott Hunter,1976,1977,15,QB,6
338,Ellis Johnson,2002,2003,32,DT,6
339,Bob Jones,1975,1976,28,DB,6
340,Earl Jones,1980,1983,57,DB,6
341,Peter Konz,2012,2012,15,,6
342,Randy Marshall,1970,1971,15,DE,6
343,Jim A. Norton,1967,1968,21,DE,6
344,Ken Oxendine,1998,1999,21,RB,6
345,Bobby Richards,1966,1967,28,DE,6
346,Jerry Richardson,1966,1967,27,DB,6
347,Bob Riggle,1966,1967,25,DB,6
348,Allen Rossum,2002,2006,62,DB,6
