,,,,,,
Rk,,From,To,G,Pos,AV
135,Earl Little,1999,2004,86,DB,27
136,Ahtyba Rubin,2008,2012,72,DT,27
137,Ron Snidow,1968,1972,57,DE,27
138,Junior Wren,1956,1959,48,DB,27
139,Bob Dahl,1992,1995,56,G,26
140,Michael Jackson,1991,1995,69,WR,26
141,Jamir Miller,1999,2001,47,LB,26
142,Marion Motley,1950,1953,47,FB,26
143,Derrell Palmer,1950,1953,44,DT,26
144,Gerry Sullivan,1974,1981,119,T,26
145,Josh Cribbs,2005,2012,124,WR,25
146,Art Hunter,1956,1959,44,C,25
147,Pepper Johnson,1993,1995,48,LB,25
148,Alex Mack,2009,2012,64,C,25
149,Bob McKay,1970,1975,67,T,25
,,,,,,
Rk,,From,To,G,Pos,AV
150,Stevon Moore,1992,1995,61,DB,25
151,Floyd Peters,1959,1962,51,DT,25
152,Brodney Pool,2005,2009,71,DB,25
153,Eric Wright,2007,2010,59,DB,25
154,Lyle Alzado,1979,1981,46,DE,24
155,Courtney Brown,2000,2004,47,DE,24
156,Clinton Burrell,1979,1984,67,DB,24
157,Tom Catlin,1953,1958,39,LB,24
158,Eric Steinbach,2007,2010,62,G,24
159,Vinny Testaverde,1993,1995,37,QB,24
160,Jim Copeland,1967,1974,81,C,23
161,Fair Hooker,1970,1974,61,WR,23
162,Carlton Massey,1954,1956,35,DE,23
163,John Brown,1962,1966,67,T,22
164,Sheldon Brown,2010,2012,47,DB,22
165,Corey Fuller,1999,2002,60,DB,22
166,Al Gross,1983,1987,58,DB,22
167,Anthony Henry,2001,2004,61,DB,22
168,Sean Jones,2005,2008,60,DB,22
169,Fred Morrison,1954,1956,36,FB,22
170,Lou Rymkus,1950,1951,23,T,22
171,Matt Bahr,1981,1989,103,K,21
172,Steve Everitt,1993,1995,46,C,21
173,David Grayson,1987,1990,53,LB,21
174,Lin Houston,1950,1953,47,G,21
175,Gerald Irons,1976,1979,58,LB,21
176,Rich Kreitling,1960,1963,53,E,21
177,Jamal Lewis,2007,2009,40,RB,21
178,Dave Wohlabaugh,1999,2002,55,C,21
179,Henry Bradley,1979,1982,43,NT,20
,,,,,,
Rk,,From,To,G,Pos,AV
180,Hank Fraley,2006,2009,63,C,20
181,Robert Griffith,2002,2004,44,DB,20
182,Marshall Harris,1980,1982,40,DE,20
183,Alvin McKinley,2001,2006,75,DE,20
184,Gregg Rakoczy,1987,1990,60,C,20
185,Ross Verba,2001,2004,47,T,20
186,Larry Williams,1986,1988,42,G,20
187,Kellen Winslow Jr.,2006,2008,42,TE,20
188,Derek Anderson,2006,2008,31,QB,19
189,Leigh Bodden,2003,2007,59,DB,19
190,Ricky Feacher,1978,1984,98,WR,19
191,Don Fleming,1960,1962,38,DB,19
192,Hal Herring,1950,1952,34,LB,19
193,Frank Parker,1962,1967,60,DT,19
194,Frank Pitts,1971,1973,40,WR,19
195,Mike Adams,2007,2011,76,DB,18
196,Larry Benz,1963,1965,41,DB,18
197,Orlando Brown,1994,1999,45,T,18
198,Cliff Lewis,1950,1951,23,DB,18
199,Bob Matheson,1967,1970,55,LB,18
200,Quincy Morgan,2001,2004,54,WR,18
201,Tony Peters,1975,1978,58,DB,18
202,Shaun Rogers,2008,2010,42,DT,18
203,Kevin Shaffer,2006,2008,47,T,18
204,Matt Stover,1991,1995,80,K,18
205,Jamel White,2000,2003,59,RB,18
206,Oliver Davis,1977,1980,58,DB,17
207,Herschel Forester,1954,1957,48,G,17
208,Joe Haden,2010,2012,42,DB,17
209,Lawrence Johnson,1979,1984,64,DB,17
,,,,,,
Rk,,From,To,G,Pos,AV
210,Ed King,1991,1993,38,G,17
211,Willie McGinest,2006,2008,41,DE,17
212,Mack Mitchell,1975,1978,56,DE,17
213,Shaun O'Hara,2000,2003,54,G,17
214,Wali Rainer,1999,2001,46,LB,17
215,Jabaal Sheard,2011,2012,32,DE,17
216,Robaire Smith,2007,2010,38,DE,17
217,Chaun Thompson,2003,2007,80,LB,17
218,T.J. Ward,2010,2012,38,DB,17
219,Rickey Bolden,1985,1989,50,T,16
220,David Brandon,1991,1993,38,LB,16
221,Ken Brown,1972,1975,56,RB,16
222,Bob DeMarco,1972,1974,39,C,16
223,Chris Gardocki,1999,2003,80,P,16
224,Calvin Hill,1978,1981,55,RB,16
225,Robert L. Jackson,1978,1981,58,LB,16
226,Dick Modzelewski,1964,1966,42,DT,16
227,Joe Taffoni,1967,1970,55,T,16
228,Carl Banks,1994,1995,32,LB,15
229,Harold Bradley,1954,1956,35,G,15
230,Sam Clancy,1985,1988,59,DE,15
231,Chris Gocong,2010,2011,32,DE,15
232,William Green,2002,2005,46,RB,15
233,Dave Lloyd,1959,1961,38,LB,15
234,Paul McDonald,1981,1984,53,QB,15
235,Tyrone Rogers,2000,2004,68,DE,15
236,Dwayne Rudd,2001,2002,32,LB,15
237,Curtis Weathers,1979,1985,94,LB,15
238,Al Baker,1987,1990,37,DE,14
239,Keith Baldwin,1982,1985,51,DE,14
,,,,,,
Rk,,From,To,G,Pos,AV
240,Maurice Bassett,1954,1956,36,FB,14
241,Walter Beach,1963,1966,30,DB,14
242,Rex Bumgardner,1950,1952,31,HB,14
243,Kenyon Coleman,2009,2010,29,DE,14
244,Reuben Droughns,2005,2006,30,RB,14
245,Earl Edwards,1976,1978,44,DT,14
246,Jeff Faine,2003,2005,36,C,14
247,Dave Graf,1975,1979,65,LB,14
248,Don Griffin,1994,1995,31,DB,14
249,Peyton Hillis,2010,2011,26,RB,14
250,Billy Howton,1959,1959,12,E,14
251,Antonio Langham,1994,1999,45,DB,14
252,Mohamed Massaquoi,2009,2012,54,WR,14
253,Ed Modzelewski,1955,1959,32,FB,14
254,Gern Nagler,1960,1961,25,E,14
255,Vince Newsome,1991,1992,31,DB,14
256,Nick Roman,1972,1974,36,DE,14
257,Mike St. Clair,1976,1979,57,DE,14
258,Barry Stokes,2002,2003,29,T,14
259,Charles White,1980,1984,49,RB,14
260,Alex Agase,1950,1951,22,LB,13
261,Mark Carrier,1993,1994,32,WR,13
262,Andre' Davis,2002,2004,39,WR,13
263,Abram Elam,2009,2010,32,DB,13
264,Thane Gash,1988,1990,48,DB,13
265,Van Green,1973,1976,43,DB,13
266,Steve Heiden,2002,2009,106,TE,13
267,Chick Jagade,1952,1953,24,FB,13
268,Shawn Lauvao,2010,2012,42,G,13
