,,,,,,
Rk,,From,To,G,Pos,AV
135,Ted Albrecht,1977,1981,77,T,29
136,Joe Cain,1993,1996,63,LB,29
137,Craig Clemons,1972,1977,82,DB,29
138,Wendell Davis,1988,1993,81,WR,29
139,Chris Zorich,1991,1995,76,DT,29
140,Ross Brupbacher,1970,1976,56,LB,28
141,Dennis Gentry,1984,1992,135,WR,28
142,Tom Hicks,1976,1980,64,LB,28
143,Emery Moorehead,1982,1988,97,TE,28
144,Tony Parrish,1998,2001,64,DB,28
145,Alonzo Spellman,1992,1997,86,DE,28
146,John Tait,2004,2008,73,T,28
147,Rudy Bukich,1963,1967,46,QB,27
148,Herman Clark,1954,1957,40,G,27
149,Robbie Gould,2005,2012,122,K,27
,,,,,,
Rk,,From,To,G,Pos,AV
150,Warrick Holdman,1999,2003,59,LB,27
151,Jim Purnell,1964,1968,60,LB,27
152,Erich Barnes,1958,1960,36,DB,26
153,Waymond Bryant,1974,1977,53,LB,26
154,Willie Holman,1968,1973,66,DE,26
155,John Johnson,1963,1968,81,DT,26
156,R.W. McQuarters,2000,2004,72,DB,26
157,Bones Weatherly,1950,1954,35,LB,26
158,Tim Jennings,2010,2012,46,DB,25
159,Jay Leeuwenburg,1992,1995,60,G,25
160,Danieal Manning,2006,2010,77,DB,25
161,Carl Simpson,1993,1997,74,DT,25
162,Charlie Sumner,1955,1960,46,DB,25
163,Marty Carter,1995,1998,63,DB,24
164,Jeff Graham,1994,1995,32,WR,24
165,Chris Harris,2005,2011,44,DB,24
166,Thomas Jones,2004,2006,45,RB,24
167,Garry Lyle,1968,1974,71,DB,24
168,Vinson Smith,1993,1996,59,LB,24
169,Bob Thomas,1975,1984,124,K,24
170,Stan Wallace,1954,1958,37,DB,24
171,Roger LeClerc,1960,1966,96,LB,23
172,John Mellekas,1956,1961,62,C,23
173,Mike Rabold,1964,1967,53,G,23
174,Don Rives,1973,1978,72,LB,23
175,Anthony Thomas,2001,2004,51,RB,23
176,John Wojciechowski,1987,1993,92,T,23
177,Vic Zucco,1957,1960,38,DB,23
178,Anthony Adams,2007,2011,63,DT,22
179,Brian Baschnagel,1976,1984,113,WR,22
,,,,,,
Rk,,From,To,G,Pos,AV
180,Kurt Becker,1982,1990,92,G,22
181,Desmond Clark,2003,2009,105,TE,22
182,Rosevelt Colvin,1999,2002,56,LB,22
183,Frank Cornish,1966,1969,55,DT,22
184,Roger Davis,1960,1963,48,G,22
185,Michael Green,2001,2005,74,DB,22
186,Ted Karras,1960,1964,68,G,22
187,Johnny Lujack,1950,1951,24,QB,22
188,Fred Morrison,1950,1953,48,FB,22
189,Ray Gene Smith,1954,1957,36,DB,22
190,Lemuel Stinson,1988,1992,69,DB,22
191,Bulldog Turner,1950,1952,36,C,22
192,Mike Wells,1998,2000,48,DT,22
193,Jack Concannon,1967,1971,37,QB,21
194,Ron Cox,1990,1997,97,LB,21
195,Bobby Engram,1996,2000,62,WR,21
196,Vince Evans,1979,1983,46,QB,21
197,George Farmer,1970,1973,53,WR,21
198,Jimmy Gunn,1970,1975,63,LB,21
199,Sean Harris,1995,2000,82,LB,21
200,Dante Jones,1988,1994,85,LB,21
201,Henry Melton,2010,2012,45,DL,21
202,Ron Rydalch,1975,1980,74,DT,21
203,Willard Dewveall,1959,1960,23,E,20
204,Johnny Knox,2009,2011,45,WR,20
205,Ron Morris,1987,1991,62,WR,20
206,Ian Scott,2004,2006,43,DT,20
207,Mike Tomczak,1986,1990,71,QB,20
208,Ted Washington,2001,2002,18,NT,20
209,Ruben Brown,2004,2007,45,G,19
,,,,,,
Rk,,From,To,G,Pos,AV
210,Rich Coady,1970,1974,67,C,19
211,Charlie Ford,1971,1973,41,DB,19
212,Glen Holloway,1970,1973,56,G,19
213,Brad Maynard,2001,2010,159,P,19
214,Fred Miller,2005,2007,46,T,19
215,McNeil Moore,1954,1957,35,DB,19
216,Bob Parsons,1974,1982,129,TE,19
217,Marcus Robinson,1999,2002,48,WR,19
218,John Roper,1989,1992,62,LB,19
219,Ron Smith,1965,1972,42,DB,19
220,Keith Traylor,2001,2003,41,DT,19
221,Tom Waddle,1991,1994,52,WR,19
222,Lionel Antoine,1972,1978,68,T,18
223,Earl Bennett,2009,2012,53,WR,18
224,Blake Brockermeyer,1999,2001,46,T,18
225,Al Campana,1950,1952,23,DB,18
226,Raymont Harris,1994,1997,41,RB,18
227,John Helwig,1953,1956,42,LB,18
228,John Mangum,1990,1997,102,DB,18
229,Joe Marconi,1962,1965,54,FB,18
230,Muhsin Muhammad,2005,2007,47,WR,18
231,J'Marcus Webb,2010,2012,46,T,18
232,Chris Williams,2008,2011,47,T,18
233,Alfonso Boone,2001,2006,83,DT,17
234,Maurice Douglass,1987,1994,112,DB,17
235,Albert Fontenot,1993,1996,61,DE,17
236,Rex Grossman,2003,2008,36,QB,17
237,Greg Olsen,2007,2010,62,TE,17
238,Mike Reilly,1964,1968,64,LB,17
239,John Thierry,1994,1998,73,DE,17
,,,,,,
Rk,,From,To,G,Pos,AV
240,Rickey Watts,1979,1982,52,WR,17
241,Mark Anderson,2006,2010,66,DE,16
242,Bernard Berrian,2004,2007,58,WR,16
243,Frank Dempsey,1950,1953,39,LB,16
244,Paul Edinger,2000,2004,80,K,16
245,Dan Jiggetts,1976,1982,98,T,16
246,Jeremy Lincoln,1993,1995,47,DB,16
247,Ed Meadows,1954,1957,36,DE,16
248,Jim Miller,1999,2002,32,QB,16
249,Bob Newton,1971,1975,59,G,16
250,Bob Wallace,1968,1971,45,WR,16
251,Maury Youmans,1960,1962,28,DE,16
252,James Allen,1998,2001,50,RB,15
253,Bob Asher,1972,1975,52,T,15
254,Troy Auzenne,1992,1995,49,T,15
255,Ray Bray,1950,1951,24,G,15
256,Jack Johnson,1957,1959,29,DB,15
257,Patrick Mannelly,1998,2012,231,T,15
258,Tony McGee,1971,1973,42,DE,15
259,Jerry Meyers,1976,1979,47,DE,15
260,Frank Omiyale,2009,2011,48,T,15
261,Mac Percival,1967,1973,88,K,15
262,Jeff Sevy,1975,1978,54,T,15
263,Bill Staley,1970,1972,26,DT,15
264,Len Walterscheid,1977,1982,43,DB,15
265,Dez White,2000,2003,60,WR,15
266,Zeke Bratkowski,1954,1959,48,QB,14
267,John Dottley,1951,1953,27,FB,14
268,Curt Gentry,1966,1968,38,DB,14
269,Eddie Macon,1952,1953,23,DB,14
,,,,,,
Rk,,From,To,G,Pos,AV
270,Brandon Marshall,2012,2012,16,WR,14
271,Brian Piccolo,1967,1969,37,RB,14
272,Bob Pifferini,1972,1975,52,LB,14
273,Bo Rather,1974,1977,40,WR,14
274,Roger Stillwell,1975,1977,31,DT,14
275,Art Anderson,1961,1962,28,T,13
276,Jon Arnett,1964,1966,42,HB,13
277,Angelo Coia,1960,1963,44,SE,13
278,Bryan Cox,1996,1997,25,LB,13
279,Rashied Davis,2005,2010,92,DB,13
280,Abe Gibron,1958,1959,24,G,13
281,Robert Green,1993,1996,53,RB,13
282,Greg Latta,1975,1979,73,TE,13
283,Lance Louis,2010,2012,41,G,13
284,Red O'Quinn,1950,1951,14,DB,13
285,Dan Peiffer,1975,1977,29,C,13
286,Rashaan Salaam,1995,1997,31,RB,13
287,John St. Clair,2005,2008,61,T,13
288,Bobby Watkins,1955,1957,33,HB,13
289,S.J. Whitman,1953,1954,17,DB,13
290,Major Wright,2010,2012,39,DB,13
