,,,,,,
Rk,,From,To,G,Pos,AV
135,Chris L. Canty,2005,2008,64,DE,23
136,Robert Jones,1992,1995,56,LB,23
137,Steve Pelluer,1986,1988,44,QB,23
138,Gerald Sensabaugh,2009,2012,62,DB,23
139,Larry Stephens,1963,1967,63,DE,23
140,Fred Strickland,1996,1998,47,LB,23
141,Anthony Dickerson,1980,1984,73,LB,22
142,Mario Edwards,2000,2003,58,DB,22
143,John Gesek,1990,1993,61,G,22
144,Rocket Ismail,1999,2001,39,WR,22
145,Golden Richards,1973,1977,65,WR,22
146,George Teague,1996,2001,71,DB,22
147,Dextor Clinkscale,1980,1985,71,DB,21
148,Ron Fellows,1981,1986,61,DB,21
149,Ken Hamlin,2007,2009,44,DB,21
,,,,,,
Rk,,From,To,G,Pos,AV
150,Issiac Holt,1989,1992,55,DB,21
151,Mike Johnson,1966,1969,54,DB,21
152,Burton Lawless,1975,1979,73,G,21
153,Eddie LeBaron,1960,1963,52,QB,21
154,Brandon Noble,1999,2002,64,DT,21
155,Danny Noonan,1987,1992,67,DT,21
156,Mike Renfro,1984,1987,58,WR,21
157,Malcolm Walker,1966,1969,47,C,21
158,John Wilbur,1966,1969,50,G,21
159,Herb Adderley,1970,1972,39,DB,20
160,Guy Brown,1977,1982,85,LB,20
161,Jack Del Rio,1989,1991,46,LB,20
162,Ebenezer Ekuban,1999,2003,59,DE,20
163,Randy Hughes,1975,1979,72,DB,20
164,Brock Marion,1993,1997,71,DB,20
165,Pettis Norman,1963,1970,107,TE,20
166,Solomon Page,1999,2002,59,G,20
167,Kavika Pittman,1996,1999,61,DE,20
168,Phil Pozderac,1982,1987,70,T,20
169,Alshermond Singleton,2003,2006,53,LB,20
170,Leon Donohue,1965,1967,42,G,19
171,Jason Hatcher,2006,2012,104,DE,19
172,Aaron Kyle,1976,1979,60,DB,19
173,Mat McBriar,2004,2011,116,P,19
174,Mike Saxon,1985,1992,124,P,19
175,Duane Thomas,1970,1971,25,RB,19
176,Kevin Williams,1993,1996,57,WR,19
177,Robert Williams,1987,1992,81,DB,19
178,Harold Hays,1963,1967,70,LB,18
179,Michael Myers,1998,2002,67,DT,18
,,,,,,
Rk,,From,To,G,Pos,AV
180,Keith Brooking,2009,2011,48,LB,17
181,Kenyon Coleman,2003,2012,79,DE,17
182,Keith Davis,2002,2008,84,DB,17
183,Joey Galloway,2000,2003,48,WR,17
184,Al Johnson,2004,2006,48,C,17
185,Marco Rivera,2005,2006,30,G,17
186,Tyron Smith,2011,2012,31,T,17
187,Vinson Smith,1990,1997,59,LB,17
188,Vince Albritton,1984,1990,74,DB,16
189,Jim Boeke,1964,1967,52,T,16
190,Shante Carver,1994,1997,52,DE,16
191,Ray Donaldson,1995,1996,28,C,16
192,Darren Hambrick,1998,2001,51,LB,16
193,Scott Laidlaw,1975,1979,67,RB,16
194,Howard Richards,1981,1986,67,G,16
195,Willie Townes,1966,1968,32,DE,16
196,Danny Villanueva,1965,1967,42,K,16
197,Drew Bledsoe,2005,2006,22,QB,15
198,Quincy Carter,2001,2003,31,QB,15
199,Ron East,1967,1970,56,DT,15
200,Andy Frederick,1977,1981,77,T,15
201,Keyshawn Johnson,2004,2005,32,WR,15
202,Sam Baker,1962,1963,28,K,14
203,Kevin Brooks,1985,1988,48,DT,14
204,Thomas Everett,1992,1993,27,DB,14
205,Jimmie Jones,1990,1993,63,DT,14
206,Dale Memmelaar,1962,1963,28,G,14
207,Alonzo Spellman,1999,2000,32,DE,14
208,Akin Ayodele,2006,2007,32,LB,13
209,Mike Clark,1968,1971,54,K,13
,,,,,,
Rk,,From,To,G,Pos,AV
210,Pete Gent,1965,1968,41,FL,13
211,Manny Hendrix,1986,1991,89,DB,13
212,Bruce Huther,1977,1983,72,LB,13
213,Sean Lee,2010,2012,35,LB,13
214,DeMarco Murray,2011,2012,23,RB,13
215,Clay Shiver,1996,1998,44,C,13
216,Chris Warren,1998,2000,38,RB,13
217,Chris Boniol,1994,1996,48,K,12
218,Phil Clark,1967,1969,37,DB,12
219,Phil Costa,2010,2012,23,C,12
220,Andy Cvercko,1961,1962,25,G,12
221,Doug Dennison,1974,1978,52,RB,12
222,Mike Dowdle,1960,1962,30,LB,12
223,Lee Folkins,1962,1963,27,TE,12
224,Ron Francis,1987,1990,54,DB,12
225,Don Healy,1960,1961,26,DT,12
226,Efren Herrera,1974,1977,39,K,12
227,Igor Olshansky,2009,2010,32,DE,12
228,Guy Reese,1962,1963,28,DT,12
229,Dave Stalls,1977,1979,43,DE,12
230,Torrin Tucker,2003,2005,36,T,12
231,Roy E. Williams,2008,2010,40,WR,12
232,Peppi Zellner,1999,2002,57,DE,12
233,Eric Bjornson,1995,1999,74,TE,11
234,Tashard Choice,2008,2011,54,RB,11
235,Mike Ditka,1969,1972,54,TE,11
236,Jean Fugett,1972,1975,52,TE,11
237,Troy Hambrick,2001,2003,48,RB,11
238,Dean Hamel,1989,1990,28,DT,11
239,Duane Hawthorne,1999,2002,53,DB,11
,,,,,,
Rk,,From,To,G,Pos,AV
240,Dale Hellestrae,1990,2000,176,T,11
241,Godfrey Myles,1992,1996,73,LB,11
242,Izell Reese,1998,2001,56,DB,11
243,Orlando Scandrick,2008,2012,72,DB,11
244,Thomas Stincic,1969,1971,35,LB,11
245,Don Talbert,1962,1971,37,T,11
246,Rodney Wallace,1971,1973,37,T,11
247,Bruce Walton,1973,1975,33,T,11
248,Sherman Williams,1995,1998,59,RB,11
249,Charley Young,1974,1976,37,RB,11
250,Alan Ball,2008,2011,58,DB,10
251,Larry Bethea,1978,1983,81,DT,10
252,Nate Borden,1960,1961,26,DE,10
253,Antonio Bryant,2002,2004,37,WR,10
254,Dick Daniels,1966,1968,32,DB,10
255,Jason Ferguson,2005,2006,32,DT,10
256,Joe Bob Isbell,1962,1964,31,G,10
257,Derek Kennard,1994,1995,24,G,10
258,Obert Logan,1965,1966,28,DB,10
259,Everett McIver,1998,1999,20,G,10
260,Jimmy Ridlon,1963,1964,21,DB,10
261,Danny Stubbs,1990,1991,25,DE,10
262,Vinny Testaverde,2004,2004,16,QB,10
263,Steve Wilson,1979,1981,48,DB,10
264,Lance Alworth,1971,1972,26,FL,9
265,Dan Bailey,2011,2012,32,K,9
266,Craig Baynham,1968,1968,14,HB,9
267,Mackenzy Bernadeau,2012,2012,16,G,9
268,Stephen Bowen,2007,2010,62,DE,9
269,Ron Burton,1987,1989,34,LB,9
,,,,,,
Rk,,From,To,G,Pos,AV
270,Richie Cunningham,1997,1998,32,K,9
271,Tony Dixon,2001,2004,56,DB,9
272,Nick Folk,2007,2008,32,K,9
273,Kenneth Gant,1990,1994,72,DB,9
274,Bill Herchman,1960,1961,25,DT,9
275,Montrae Holland,2008,2011,31,G,9
276,Jake Kupp,1964,1965,28,G,9
277,Nate Livings,2012,2012,16,G,9
278,Hurvin McCormack,1995,1998,60,DT,9
279,James McKnight,2000,2000,16,WR,9
280,John Meyers,1962,1963,28,DT,9
281,Aaron Mitchell,1979,1980,31,DB,9
282,Jay Saldi,1977,1981,62,TE,9
283,Ron Widby,1968,1971,55,P,9
284,Charlie Williams,1995,2000,74,DB,9
285,Maury Youmans,1964,1965,28,DE,9
286,Richie Anderson,2003,2004,27,FB,8
287,John Babinecz,1972,1973,26,LB,8
288,Leonardo Carson,2003,2004,23,DT,8
289,Billy Cundiff,2002,2004,47,K,8
290,Buddy Dial,1964,1966,32,SE,8
291,Mike Falls,1960,1961,25,G,8
292,Toni Fritsch,1971,1975,43,K,8
293,Toby Gowin,1997,2003,64,P,8
294,Halvor Hagen,1969,1970,18,G,8
295,Kevin Hardy,2002,2002,16,LB,8
296,Gary Hogeboom,1984,1985,32,QB,8
297,John Houser,1960,1961,25,G,8
298,John Jett,1993,1996,64,P,8
299,Jon Kitna,2010,2010,10,QB,8
,,,,,,
Rk,,From,To,G,Pos,AV
300,L.P. Ladouceur,2005,2012,120,DE,8
301,Matt Lehr,2002,2004,35,C,8
302,Ernie Mills,1998,1999,22,WR,8
303,Rob Petitti,2005,2005,16,T,8
304,Cory Procter,2007,2009,44,G,8
305,Jacques Reeves,2004,2007,60,DB,8
306,Ron Sellers,1972,1972,14,WR,8
307,Les Shy,1966,1969,52,RB,8
308,Broderick Thomas,1996,1997,32,LB,8
309,Jim Arneson,1973,1974,26,G,7
310,Willie Blade,2003,2003,15,DT,7
311,Clyde Brock,1962,1963,18,T,7
312,Kevin Burnett,2005,2008,61,LB,7
313,Billy Davis,1998,1998,16,WR,7
314,Doug Donley,1983,1984,26,WR,7
315,Jim Doran,1960,1961,26,E,7
316,Abram Elam,2006,2011,31,DB,7
317,Tom Franckhauser,1960,1961,18,DB,7
318,Kelvin Garmon,2001,2002,21,G,7
319,Jason Garrett,1994,1999,15,QB,7
320,Lynn Hoyem,1962,1963,28,G,7
