,,,,,,
Rk,,From,To,G,Pos,AV
136,Marshawn Lynch,2007,2010,45,RB,22
137,Mark Maddox,1992,1997,67,LB,22
138,Mike Montler,1973,1976,52,C,22
139,Haven Moses,1968,1972,59,WR,22
140,Harold Olson,1960,1962,42,T,22
141,Antowain Smith,1997,2000,57,RB,22
142,LaVerne Torczon,1960,1962,32,DE,22
143,Mike D. Williams,2002,2005,51,T,22
144,Derrick Burroughs,1985,1989,58,DB,21
145,Marvcus Patton,1990,1994,80,LB,21
146,Walt Patulski,1972,1975,56,DE,21
147,Bryan Scott,2007,2012,87,DB,21
148,Marcus Stroud,2008,2010,46,DT,21
149,Eric Wood,2009,2012,47,C,21
,,,,,,
Rk,,From,To,G,Pos,AV
150,Dusty Zeigler,1997,1999,44,C,21
151,Greg Bell,1984,1987,40,RB,20
152,Angelo Crowell,2004,2007,59,LB,20
153,Keith Ellison,2006,2010,58,LB,20
154,Ronnie Harmon,1986,1989,57,RB,20
155,J.P. Losman,2005,2008,38,QB,20
156,Jeff Posey,2003,2005,48,LB,20
157,Jay Riemersma,1997,2002,90,TE,20
158,Dennis Shaw,1970,1973,45,QB,20
159,John Skorupan,1973,1977,50,LB,20
160,George Wilson,2007,2012,57,WR,20
161,Bill Brooks,1993,1995,47,WR,19
162,Jeff Burris,1995,1997,38,DB,19
163,Leodis McKelvin,2008,2012,64,DB,19
164,Chuck McMurtry,1960,1961,28,DT,19
165,Dudley Meredith,1964,1968,58,DT,19
166,Gabe Northern,1996,1999,64,LB,19
167,Scott Norwood,1985,1991,108,K,19
168,Carlton Bailey,1989,1992,64,LB,18
169,Marlin Briscoe,1969,1971,41,WR,18
170,Chris Burkett,1985,1988,53,WR,18
171,Reuben Gant,1975,1980,88,TE,18
172,Roland Hooks,1976,1981,92,RB,18
173,Paul Maguire,1964,1970,98,LB,18
174,Lawyer Milloy,2003,2005,43,DB,18
175,Ervin Parker,1980,1983,57,LB,18
176,Robb Riddick,1984,1988,52,RB,18
177,Chris Villarrial,2004,2006,39,G,18
178,Edgar Chandler,1968,1972,56,LB,17
179,Trent Edwards,2007,2010,34,QB,17
,,,,,,
Rk,,From,To,G,Pos,AV
180,Ken E. Johnson,1979,1984,74,DE,17
181,Rob Johnson,1998,2001,30,QB,17
182,Spencer Johnson,2008,2012,77,DT,17
183,Richie McCabe,1960,1961,23,DB,17
184,Keith McKeller,1987,1992,60,TE,17
185,Chris Mohr,1991,2000,159,P,17
186,Keith Newman,2000,2002,48,LB,17
187,Marty Schottenheimer,1965,1968,56,LB,17
188,Ernie Warlick,1962,1965,56,TE,17
189,Bo Cornell,1973,1977,68,LB,16
190,Earl Edwards,1973,1975,42,DT,16
191,Drayton Florence,2009,2011,46,DB,16
192,Melvin Fowler,2006,2008,47,C,16
193,John Leypoldt,1971,1975,64,K,16
194,Terry Miller,1978,1980,47,RB,16
195,Marcellus Wiley,1997,2000,64,DE,16
196,Bill Adams,1972,1978,46,G,15
197,Dan Jilek,1976,1979,58,LB,15
198,Sean McNanie,1984,1987,59,DE,15
199,Roscoe Parrish,2005,2010,63,WR,15
200,Wayne Patrick,1969,1972,50,RB,15
201,Ed Rutkowski,1963,1968,69,QB,15
202,Jim Sorey,1960,1962,42,DT,15
203,Chris Spielman,1996,1997,24,LB,15
204,Art Still,1988,1989,31,DE,15
205,Bob Tatarek,1968,1972,47,DT,15
206,Willie West,1962,1963,26,DB,15
207,Nick Barnett,2011,2012,32,LB,14
208,Conrad Dobler,1980,1981,30,G,14
209,Quinn Early,1996,1998,48,WR,14
,,,,,,
Rk,,From,To,G,Pos,AV
210,Mike Gandy,2005,2006,32,T,14
211,Corbin Lacina,1994,1997,55,G,14
212,Marv Matuszak,1962,1963,28,LB,14
213,Mike McBath,1968,1972,50,DE,14
214,Remi Prudhomme,1966,1972,32,C,14
215,Scott Radecic,1987,1989,44,LB,14
216,Pete Richardson,1969,1971,39,DB,14
217,Larry Tripplett,2006,2007,32,DT,14
218,Kraig Urbik,2010,2012,37,G,14
219,Brad Butler,2007,2009,31,T,13
220,Jim Cheyunski,1973,1974,27,LB,13
221,Russell Copeland,1993,1996,58,WR,13
222,Al Cowlings,1970,1972,41,DE,13
223,Dick Cunningham,1967,1972,56,T,13
224,Marcell Dareus,2011,2012,32,DT,13
225,Derrick Dockery,2007,2008,32,G,13
226,Jabari Greer,2004,2008,70,DB,13
227,Lonnie Johnson,1995,1998,64,TE,13
228,Doug Jones,1976,1978,40,DB,13
229,Daryle Lamonica,1963,1966,56,QB,13
230,Roosevelt Leaks,1980,1983,53,RB,13
231,Erik Pears,2010,2012,25,T,13
232,Mark Pike,1988,1998,170,DE,13
233,Jim Wagstaff,1960,1961,28,DB,13
234,Langston Walker,2007,2008,32,T,13
235,James E. Williams,1990,1993,54,DB,13
236,Coy Wire,2002,2007,80,DB,13
237,Martin Bayless,1984,1986,41,DB,12
238,Mark Brammer,1980,1983,53,TE,12
239,Bobby Burnett,1966,1967,22,RB,12
,,,,,,
Rk,,From,To,G,Pos,AV
240,Matt Darby,1992,1995,55,DB,12
241,Ron Edwards,2001,2005,48,DT,12
242,George Flint,1962,1968,65,G,12
243,Robert Hicks,1998,2000,37,T,12
244,Darick Holmes,1995,1997,45,RB,12
245,Jamie Nails,1998,2000,47,G,12
246,Jeff Nixon,1979,1982,43,DB,12
247,Marlo Perry,1995,1999,74,LB,12
248,Duke Preston,2005,2008,59,C,12
249,Shawn Price,1996,2001,78,DE,12
250,Pierson Prioleau,2001,2004,54,DB,12
251,Ken Rice,1961,1963,28,T,12
252,Paul Seymour,1973,1976,55,TE,12
253,Ko Simpson,2006,2008,32,DB,12
254,Marv Bateman,1974,1977,47,P,11
255,Carl Charon,1962,1963,26,DB,11
256,Bill Conaty,1998,2002,65,C,11
257,Dwan Edwards,2010,2011,27,DT,11
258,Geoff Hangartner,2009,2010,28,C,11
259,John Kidd,1984,1989,92,P,11
260,Mike Lodish,1990,1994,74,NT,11
261,Leroy Moore,1960,1963,9,DE,11
262,Chuck Muelhaupt,1960,1961,28,G,11
263,Lou Piccone,1977,1982,77,WR,11
264,Marques Sullivan,2001,2003,32,G,11
265,Eugene Sykes,1963,1965,23,DB,11
266,Dave Washington,1972,1974,35,LB,11
267,Mickey Washington,1993,1994,32,DB,11
268,Keion Carpenter,1999,2001,37,DB,10
269,Larry Centers,2001,2002,32,FB,10
,,,,,,
Rk,,From,To,G,Pos,AV
270,Dwight Drane,1986,1991,82,DB,10
271,Ralph Felton,1961,1962,18,LB,10
272,Byron Franklin,1983,1984,31,WR,10
273,Guy Frazier,1985,1986,23,LB,10
274,Pete Gogolak,1964,1965,28,K,10
275,Bruce Jarvis,1971,1974,24,C,10
276,Howard Kindig,1967,1971,55,DE,10
277,Rod Kush,1980,1984,50,DB,10
278,Kawika Mitchell,2008,2009,21,LB,10
279,Joe Panos,1998,2000,29,G,10
280,Jerry Patton,1972,1973,28,DT,10
281,Chad Rinehart,2010,2012,27,T,10
282,Tom Rychlec,1960,1962,34,E,10
283,Kelvin Sheppard,2011,2012,32,LB,10
284,Sid Youngelman,1962,1963,28,DT,10
285,Doug Allen,1974,1975,28,LB,9
286,Demetress Bell,2009,2010,24,T,9
287,Donald Chelf,1960,1961,28,T,9
288,Don Croft,1972,1975,33,DT,9
289,Jay Foreman,1999,2001,38,LB,9
290,Halvor Hagen,1973,1975,26,G,9
291,Waddey Harvey,1969,1970,28,DT,9
292,Joe Hergert,1960,1961,19,LB,9
293,Keith Lincoln,1967,1968,18,FB,9
294,Adam Lingner,1987,1995,140,C,9
295,Jonathan Linton,1998,2000,44,RB,9
296,Emanuel Martin,1996,1999,53,DB,9
297,Nick Mike-Mayer,1979,1981,45,K,9
298,Bill Miller,1963,1963,14,SE,9
299,David Nelson,2010,2011,31,WR,9
,,,,,,
Rk,,From,To,G,Pos,AV
300,Marcus Price,2002,2004,46,T,9
301,Frank Reich,1989,1994,71,QB,9
302,Troy Vincent,2004,2005,23,DB,9
303,Kevin Williams,1998,1999,32,WR,9
304,Tim Anderson,2005,2006,31,DT,8
305,Justin Bannan,2002,2005,55,DT,8
306,Dave Behrman,1963,1965,28,C,8
307,Rodney Bellinger,1984,1986,42,DB,8
308,Kirk Chambers,2007,2009,46,T,8
309,Scott Chandler,2011,2012,29,TE,8
310,Todd Collins,1996,1997,21,QB,8
311,Reggie Corner,2008,2011,55,DB,8
312,Justin Cross,1982,1986,37,T,8
313,Wayne Crow,1962,1963,19,HB,8
314,John DiGiorgio,2006,2007,28,LB,8
315,Charley Ferguson,1963,1966,38,WR,8
316,Chris Hairston,2011,2012,25,T,8
317,Scott Hutchinson,1978,1980,48,DE,8
318,Donald Jones,2010,2012,35,WR,8
319,Rich Lewis,1973,1974,12,LB,8
320,Corey Louchiey,1995,1997,44,T,8
321,Jamie Mueller,1987,1990,43,RB,8
322,Ross Tucker,2003,2004,28,G,8
323,Keith Williams,2012,2012,13,NT,8
324,Don Wilson,1984,1985,32,DB,8
325,Alvin Wyatt,1971,1972,28,DB,8
326,Bennie Anderson,2005,2005,16,G,7
327,Shawn Bryson,2000,2001,31,RB,7
328,Leonard Burton,1986,1989,58,C,7
329,Jerry Crafts,1992,1994,38,T,7
,,,,,,
Rk,,From,To,G,Pos,AV
330,Carwell Gardner,1991,1995,76,FB,7
331,Johnny Green,1960,1961,18,QB,7
332,Dee Hardison,1978,1980,48,DE,7
333,Marlon Kerner,1995,1997,42,DB,7
334,Sean Moran,1996,1999,57,LB,7
335,Terrell Owens,2009,2009,16,WR,7
336,Ahmad Rashad,1974,1974,14,WR,7
337,Izell Reese,2003,2004,22,DB,7
338,Robert Royal,2006,2008,47,TE,7
339,Tom Ruud,1975,1977,36,LB,7
340,Marcus Spriggs,1999,2000,27,T,7
341,Matt Stevens,1996,1996,13,DB,7
342,Steve Tasker,1990,1996,37,WR,7
343,Alex Van Pelt,1997,2001,18,QB,7
344,Larry Watkins,1973,1974,24,RB,7
345,Chris Watson,2000,2002,44,DB,7
346,Mario Williams,2012,2012,16,DE,7
347,Jeff Yeates,1974,1976,26,DE,7
348,Ray Abruzzese,1963,1963,14,B,6
349,Chidi Ahanotu,2002,2002,16,DE,6
350,Bruce Alford,1968,1969,25,K,6
351,Max Anderson,1968,1969,25,RB,6
352,Oliver Barnett,1993,1994,32,DE,6
353,Phil Blazer,1960,1960,14,G,6
354,Levert Carr,1970,1971,21,T,6
355,Greg Cater,1980,1983,57,P,6
356,Dave Costa,1966,1974,28,DT,6
357,Damien Covington,1995,1997,29,LB,6
358,Bobby Crockett,1966,1968,23,SE,6
359,Walt Cudzik,1964,1964,14,C,6
,,,,,,
Rk,,From,To,G,Pos,AV
360,Bill Enyart,1969,1970,28,RB,6
361,Mitch Frerotte,1987,1992,58,G,6
362,Cordy Glenn,2012,2012,14,,6
363,Keith Goganious,1992,1994,45,LB,6
364,John Hagy,1989,1990,25,DB,6
365,John Holland,1975,1977,28,WR,6
366,Billy Joe,1965,1965,14,RB,6
367,Jack Johnson,1960,1961,15,DB,6
368,Trumaine Johnson,1987,1988,28,WR,6
369,Spike Jones,1971,1974,49,P,6
370,Tom Keating,1964,1965,9,DT,6
371,Ernie Kellermann,1973,1973,10,DB,6
372,Billy Kinard,1960,1960,14,DB,6
373,Charlie King,1966,1967,28,DB,6
374,Billy Masters,1967,1969,42,TE,6
375,Jeremy McDaniel,2000,2001,23,WR,6
376,Dan McGrew,1960,1960,14,C,6
377,Booker Moore,1982,1984,35,RB,6
378,Sammy Morris,2000,2003,37,RB,6
379,Julian Nunamaker,1969,1970,18,DE,6
380,Bob Penchion,1972,1973,17,G,6
381,Warren Rabb,1961,1962,23,QB,6
382,Jim Reilly,1970,1971,27,G,6
383,Eddie Robinson,2002,2002,16,LB,6
384,Joe Schaffer,1960,1960,14,LB,6
385,Jack Scott,1960,1961,21,DT,6
386,Bobby Shaw,2003,2004,20,WR,6
387,Brad Smith,2011,2012,30,QB,6
388,Carl Taseff,1962,1962,11,DB,6
389,Vern Valdez,1961,1961,13,DB,6
,,,,,,
Rk,,From,To,G,Pos,AV
390,Charley Warner,1964,1966,32,DB,6
391,David White,1995,1996,31,LB,6
392,Jeff Winans,1973,1975,20,G,6
393,Ashton Youboty,2006,2010,43,DB,6
394,Ethan Albright,1996,2000,80,G,5
395,Jackie Allen,1970,1971,28,DB,5
