,,,,,,
Rk,,From,To,G,Pos,AV
136,Dan Owens,1990,1999,114,DE,30
137,Stan White,1980,1982,41,LB,30
138,Howard Cassady,1956,1961,72,HB,29
139,Sonny Gandee,1952,1956,51,LB,29
140,Jim Laslavic,1973,1977,68,LB,29
141,Herb Orvis,1972,1977,72,DT,29
142,Jimmy Allen,1978,1981,60,DB,28
143,Cliff Avril,2008,2012,73,DE,28
144,Chris Claiborne,1999,2002,63,LB,28
145,Curtis Green,1981,1989,123,DE,28
146,Kevin Jones,2004,2007,53,RB,28
147,Earl Morrall,1958,1964,80,QB,28
148,Ron Rice,1996,2001,79,DB,28
149,Harvey Salem,1986,1990,65,T,28
,,,,,,
Rk,,From,To,G,Pos,AV
150,Carl Brettschneider,1960,1963,43,LB,27
151,Ray Crockett,1989,1993,79,DB,27
152,Frank Gallagher,1967,1972,83,G,27
153,Ron Jessie,1971,1974,54,WR,27
154,Jon Kitna,2006,2008,36,QB,27
155,Ollie Spencer,1953,1961,61,T,27
156,Keith Ferguson,1985,1990,67,DE,26
157,John Gonzaga,1961,1965,65,T,26
158,Kelvin Pritchett,1991,2004,156,DT,26
159,Tony Semple,1995,2002,112,G,26
160,Roger Shoals,1965,1970,74,T,26
161,Allen Aldridge,1998,2001,64,LB,25
162,Jim Cain,1950,1955,48,DE,25
163,Alvin Hall,1982,1987,44,DB,25
164,Carl Karilivacz,1953,1957,58,DB,25
165,Marc Spindler,1990,1998,82,DE,25
166,Bryant Westbrook,1997,2001,64,DB,25
167,Robert Clark,1989,1991,46,WR,24
168,Germane Crowell,1998,2002,54,WR,24
169,Joey Harrington,2002,2005,58,QB,24
170,DeAndre Levy,2009,2012,57,LB,24
171,Dave Lutz,1993,1995,48,T,24
172,Joe Robb,1968,1971,43,DE,24
173,Rob Sims,2010,2012,47,G,24
174,James Stewart,2000,2002,41,RB,24
175,Charlie West,1974,1977,54,DB,24
176,Eric Andolsek,1988,1991,61,G,23
177,Bob W. Long,1955,1959,58,LB,23
178,Stockar McDougle,2000,2004,61,T,23
179,Mark Nichols,1981,1987,76,WR,23
,,,,,,
Rk,,From,To,G,Pos,AV
180,Gerry Perry,1954,1959,57,T,23
181,John Prchlik,1950,1953,47,DT,23
182,Bill Stits,1954,1956,36,DB,23
183,Bobby Thompson,1964,1968,65,DB,23
184,Boss Bailey,2003,2007,58,LB,22
185,Jared DeVries,2000,2008,118,DE,22
186,Terry Fair,1998,2001,52,DB,22
187,Bill Glass,1958,1961,50,DE,22
188,William Graham,1982,1986,67,DB,22
189,Ryan McNeil,1993,1996,62,DB,22
190,Bob Whitlow,1961,1965,55,C,22
191,Eric Beverly,1998,2003,92,C,21
192,Mark A. Carrier,1997,1999,44,DB,21
193,Don Greco,1982,1985,45,G,21
194,Ray Oldham,1980,1982,37,DB,21
195,Daryl Sanders,1963,1966,56,T,21
196,Bob Scholtz,1960,1964,60,C,21
197,Tom Watkins,1962,1967,64,HB,21
198,Gene Cronin,1956,1959,48,DE,20
199,Ken Dallafior,1989,1992,50,G,20
200,Nick Harris,2003,2012,136,P,20
201,Demetrious Johnson,1983,1986,62,DB,20
202,Tobin Rote,1957,1958,24,QB,20
203,Ernie Sims,2006,2009,59,LB,20
204,Kevin Smith,2008,2012,55,RB,20
205,Dan Wilkinson,2003,2005,48,DT,20
206,Jim Arnold,1986,1993,114,P,19
207,Gus Cifelli,1950,1952,36,T,19
208,Louis Delmas,2009,2012,49,DB,19
209,Gene Gedman,1953,1958,45,HB,19
,,,,,,
Rk,,From,To,G,Pos,AV
210,Brandon Pettigrew,2009,2012,57,TE,19
211,Corey Raymond,1995,1997,42,DB,19
212,Kyle Vanden Bosch,2010,2012,43,DE,19
213,Damien Woody,2004,2007,50,C,19
214,Lynn Boden,1975,1978,57,G,18
215,Shawn Bouwens,1991,1994,63,G,18
216,Stan Campbell,1952,1958,41,G,18
217,Willie Clay,1993,1995,48,DB,18
218,Kalimba Edwards,2002,2007,87,DE,18
219,Barrett Green,2000,2003,54,LB,18
220,Willie Green,1991,1993,47,WR,18
221,James Harrell,1979,1986,78,LB,18
222,Chris Houston,2010,2012,43,DB,18
223,Garry James,1986,1988,40,RB,18
224,Ray Jarvis,1974,1977,55,WR,18
225,Richard Johnson,1989,1990,32,WR,18
