"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2004,732,"Utah","Adam Madsen",1,1,4,4,4,0,0,0,0,0,0,0,"QB",0,0,0,"N/A",0,0,"N/A",0,0,0,0,"3","Utah",12,869,5997,6.9,75,499.75,12,0,0,0.45762712,106,NA
2003,519,"Ohio","Adam Porter",9,11,66,7.3,6,0,0,0,0,0,0,0,"QB",170.3,3,2,"66.7",37,4.1,"12.3",0,0,0,0,"89","Ohio",12,847,4052,4.78,35,337.67,2,10,0,0.42982456,109,NA
2003,528,"OR St","Adam Rothenfluh",4,3,3,0.8,1,0,0,0,0,0,0,0,"QB",150,20,12,"60",175,43.8,"8.8",1,0,1,-8,"10","Oregon St.",13,1060,6019,5.68,53,463,8,5,0,0.57352941,111,NA
2012,732,"Utah","Adam Schulz",1,0,0,0,0,0,0,0,0,0,0,0,"QB",318.4,2,2,"100",52,52,"26",0,0,0,0,"105","Utah",12,797,3893,4.88,42,324.42,5,7,0,0.48760331,112,NA
2011,312,"Iowa","AJ Derby",2,0,0,0,0,0,0,0,0,0,0,0,"QB",92,6,3,"50",30,15,"5",0,0,0,0,"76","Iowa",13,866,4842,5.59,45,372.46,7,6,0,0.51515152,154,NA
2004,754,"WA St","Alex Brink",7,49,-50,-7.1,-1,1,0,0,0,0,0,0,"QB",113.3,194,97,"50",1305,186.4,"6.7",7,5,21,-143,"64","Washington St.",11,799,4055,5.08,37,368.64,5,6,0,0.5,187,NA
2005,754,"WA St","Alex Brink",11,56,106,9.6,1.9,2,0,0,0,0,0,0,"QB",140,358,205,"57.3",2891,262.8,"8.1",24,13,18,-105,"8","Washington St.",11,821,5382,6.56,47,489.27,4,7,0,0.58252427,187,NA
2006,754,"WA St","Alex Brink",12,78,8,0.7,0.1,2,0,0,0,0,0,0,"QB",133.1,396,241,"60.9",2899,241.6,"7.3",19,10,28,-179,"25","Washington St.",12,822,4657,5.67,38,388.08,6,6,0,0.52631579,187,NA
2007,754,"WA St","Alex Brink",12,63,34,2.8,0.5,0,0,0,0,0,0,0,"QB",135.5,503,305,"60.6",3818,318.2,"7.6",26,15,21,-176,"28","Washington St.",12,898,5223,5.82,38,435.25,5,7,0,0.4962963,187,NA
2009,774,"WMU","Alex Carder",7,8,16,2.3,2,0,0,0,0,0,0,0,"QB",103.8,7,5,"71.4",27,3.9,"3.9",0,0,0,0,"56","Western Mich.",12,872,4654,5.34,38,387.83,5,7,0,0.32478632,188,NA
