"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2006,774,"WMU","Thomas Peregrin",4,9,-18,-4.5,-2,0,0,0,0,0,0,0,"QB",135.3,39,27,"69.2",189,47.3,"4.8",3,0,4,-28,"78","Western Mich.",13,879,4154,4.73,35,319.54,8,5,0,0.42361111,7543,NA
2007,774,"WMU","Thomas Peregrin",4,7,-8,-2,-1.1,0,0,0,0,0,0,0,"QB",92.6,33,18,"54.5",158,39.5,"4.8",1,2,4,-17,"57","Western Mich.",12,921,4776,5.19,41,398,5,7,0,0.48360656,7543,NA
2009,704,"UTEP","Tim Curry",1,0,0,0,0,0,0,0,0,0,0,0,"QB",0,1,0,"0",0,0,"0",0,0,0,0,"18","UTEP",12,823,5144,6.25,46,428.67,4,8,0,0.39230769,7565,NA
2008,721,"AFA","Tim Jefferson",10,101,387,38.7,3.8,3,0,0,0,0,0,0,"QB",136.9,80,44,"55",655,65.5,"8.2",5,3,4,-19,"69","Air Force",13,915,4538,4.96,39,349.08,8,5,0,0.54330709,7578,NA
2009,721,"AFA","Tim Jefferson",10,88,254,25.4,2.9,4,0,0,0,0,0,0,"QB",147,93,53,"57",848,84.8,"9.1",5,2,9,-75,"66","Air Force",13,968,4834,4.99,46,371.85,8,5,0,0.53030303,7578,NA
2010,721,"AFA","Tim Jefferson",13,154,720,55.4,4.7,15,0,0,0,0,0,0,"QB",141.9,159,82,"51.6",1459,112.2,"9.2",10,6,5,-25,"28","Air Force",13,916,5536,6.04,55,425.85,9,4,0,0.52941176,7578,NA
2011,721,"AFA","Tim Jefferson",13,153,553,42.5,3.6,11,0,0,0,0,0,0,"QB",153.4,183,111,"60.7",1637,125.9,"8.9",14,7,10,-64,"22","Air Force",13,927,5913,6.38,59,454.85,7,6,0,0.48305085,7578,NA
2006,328,"Kan","Todd Reesing",3,13,106,35.3,8.2,2,0,0,0,0,0,0,"QB",146,24,14,"58.3",204,68,"8.5",3,3,2,-4,"33","Kansas",12,801,4489,5.6,44,374.08,6,6,0,0.44444444,7618,NA
2007,328,"Kan","Todd Reesing",13,92,197,15.2,2.1,3,0,0,0,0,0,0,"QB",148.8,446,276,"61.9",3486,268.2,"7.8",33,7,24,-161,"8","Kansas",13,988,6237,6.31,72,479.77,12,1,0,0.49242424,7618,NA
2008,328,"Kan","Todd Reesing",13,126,224,17.2,1.8,4,0,0,0,0,0,0,"QB",148.5,495,329,"66.5",3888,299.1,"7.9",32,13,31,-230,"21","Kansas",13,945,5621,5.95,57,432.38,8,5,0,0.59848485,7618,NA
2009,328,"Kan","Todd Reesing",12,104,119,9.9,1.1,6,0,0,0,0,0,0,"QB",134.9,496,313,"63.1",3616,301.3,"7.3",22,10,31,-269,"25","Kansas",12,885,5069,5.73,45,422.42,5,7,0,0.53719008,7618,NA
2010,513,"ND","Tommy Rees",7,12,-22,-3.1,-1.8,0,0,0,0,0,0,0,"QB",132,164,100,"61",1106,158,"6.7",12,8,4,-19,"61","Notre Dame",13,895,4936,5.52,41,379.69,8,5,0,0.63380282,7639,NA
2011,513,"ND","Tommy Rees",13,31,-56,-4.3,-1.8,0,0,0,0,0,0,0,"QB",133.4,411,269,"65.5",2871,220.8,"7",20,14,13,-85,"35","Notre Dame",13,906,5369,5.93,50,413,8,5,0,0.55319149,7639,NA
2012,513,"ND","Tommy Rees",9,4,-13,-1.4,-3.3,1,0,0,0,0,0,0,"QB",124.1,59,34,"57.6",436,48.4,"7.4",2,2,2,-15,"54","Notre Dame",13,894,5358,5.99,38,412.15,12,1,0,0.6137931,7639,NA
2003,466,"Nev","Travis Moore",1,4,17,17,4.3,0,0,0,0,0,0,0,"QB",55.2,10,3,"30",30,30,"3",0,0,0,0,"52","Nevada",12,864,4641,5.37,36,386.75,6,6,0,0.49593496,7756,NA
2004,466,"Nev","Travis Moore",5,11,-10,-2,-0.9,0,0,0,0,0,0,0,"QB",127.2,71,44,"62",481,96.2,"6.8",3,2,7,-41,"27","Nevada",12,936,5025,5.37,46,418.75,5,7,0,0.38392857,7756,NA
2005,466,"Nev","Travis Moore",3,7,26,8.7,3.7,0,0,0,0,0,0,0,"QB",75.8,16,8,"50",73,24.3,"4.6",0,1,1,0,"14","Nevada",12,942,5392,5.72,54,449.33,9,3,0,0.4,7756,NA
2006,466,"Nev","Travis Moore",9,13,32,3.6,2.5,1,0,0,0,0,0,0,"QB",143.2,56,35,"62.5",437,48.6,"7.8",5,4,1,-5,"46","Nevada",13,853,4648,5.45,53,357.54,8,5,0,0.41304348,7756,NA
2003,674,"Stan","Trent Edwards",8,25,-23,-2.9,-0.9,1,0,0,0,0,0,0,"QB",79.5,170,77,"45.3",750,93.8,"4.4",4,9,13,-101,"113","Stanford",11,811,3113,3.84,24,283,4,7,0,0.52419355,7785,16
2004,674,"Stan","Trent Edwards",9,58,32,3.6,0.6,1,0,0,0,0,0,0,"QB",110.3,274,149,"54.4",1732,192.4,"6.3",9,11,19,-144,"92","Stanford",11,762,3613,4.74,28,328.45,4,7,0,0.52586207,7785,16
