"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2012,255,"GT","B.J. Bostic",11,34,223.43884796,20.3126225418182,6.57173082235294,0,7,146.49999937,13.3181817609091,20.9285713385714,41.10431637,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"35","Georgia Tech",14,1002,6508.18342525,6.49519303917166,66.39928029,464.870244660714,7.37769781,6.64163825381728,0,0.55395683,593,NA
2009,311,"IA St","Beau Blankenship",1,4,10.78682176,10.78682176,2.69670544,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"73","Iowa St.",13,896,4649.12017856,5.18875019928571,32.36046528,357.62462912,6.86434112,6.11857704414317,0,0.48062016,629,NA
2010,732,"Utah","Beau Burton",3,9,58.59027804,19.53009268,6.51003089333333,0.99305556,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"52","Utah",13,826,5021.88196692,6.07976025050847,55.61111136,386.29861284,9.9305556,3.02097900745856,0,0.49305556,631,NA
2010,700,"TX Tch","Ben McRoy",8,22,142.58148138,17.8226851725,6.48097642636364,2.08148148,2,7.28518518,0.9106481475,3.64259259,6.24444444,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"15","Texas Tech",13,1054,6226.75184742,5.90773420058824,59.32222218,478.98091134,8.32592592,4.80427046605286,0,0.54074074,655,NA
2011,700,"TX Tch","Ben McRoy",4,3,10.52,2.63,3.50666666666667,0,2,14.728,3.682,7.364,14.728,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"13","Texas Tech",12,991,5940.644,5.99459535822402,54.704,495.053666666667,5.26,6.65399239543726,0,0.552,655,NA
2005,231,"FIU","Ben West",6,98,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,"RB",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na","FIU",11,742,NA,NA,NA,NA,NA,NA,0,NA,662,NA
2003,306,"Ind","BenJarvus Green-Ellis",12,225,953.12903014,79.4274191783333,4.23612902284444,7.11290321,15,170.70967704,14.22580642,11.380645136,64.01612889,1.01612903,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"98","Indiana",12,885,3923.27418483,4.43307817494915,20.3225806,326.9395154025,2.03225806,9.84126986313933,0,0.51612903,666,30
2004,306,"Ind","BenJarvus Green-Ellis",11,231,741.30088608,67.3909896436364,3.20909474493506,4.6681416,14,74.6902656,6.79002414545455,5.33501897142857,18.6725664,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"99","Indiana",11,764,3291.039828,4.3076437539267,30.80973456,299.185438909091,2.80088496,8.5687203661517,0,0.43362832,666,30
2006,433,"Miss","BenJarvus Green-Ellis",12,234,1043.67073455,86.9725612125,4.46013134423077,7.31300815,8,44.92276435,3.74356369583333,5.61534554375,19.84959355,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"111","Mississippi",12,702,3277.27236665,4.66847915477208,21.93902445,273.106030554167,4.1788618,7.65758752778089,0,0.54471545,666,30
2007,433,"Miss","BenJarvus Green-Ellis",12,230,1261.7926857,105.149390475,5.48605515521739,6.6585366,2,27.7439025,2.311991875,13.87195125,27.7439025,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"91","Mississippi",12,770,4597.7195223,5.97106431467532,33.292683,383.143293525,3.3292683,8.10989009206618,0,0.6097561,666,30
2003,651,"S Fla","Billy Henderson",1,8,32.51456312,32.51456312,4.06432039,0.95631068,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"107","South Fla.",11,770,3241.8932052,4.21025091584416,32.51456312,294.717564109091,6.69417476,4.18274111505269,0,0.45631068,699,NA
2004,651,"S Fla","Billy Henderson",3,7,32.61538464,10.87179488,4.65934066285714,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"74","South Fla.",11,751,3960.73077222,5.27394243970706,35.67307695,360.066433838182,4.07692308,6.86792452311855,0,0.51923077,699,NA
2003,288,"Hous","Bobby Tillman",12,97,428.46938992,35.7057824933333,4.41721020536083,0.96938776,9,71.73469424,5.97789118666667,7.97052158222222,16.47959192,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"12","Houston",13,1018,5775.61227408,5.67348946373281,56.22449008,444.277867236923,6.78571432,6.1894736529374,0,0.46938776,773,NA
