"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2008,768,"W Va","Alric Arnett",12,2,-4,-0.3,-2,0,35,466,38.8,13.3,52,6,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"59","West Virginia",13,822,4685,5.7,38,360.38,9,4,0,0.52671756,259,NA
2009,768,"W Va","Alric Arnett",13,0,0,0,0,0,43,586,45.1,13.6,46,3,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"61","West Virginia",13,855,4907,5.74,43,377.46,9,4,0,0.55813953,259,NA
2009,648,"S Car","Alshon Jeffery",11,0,0,0,0,0,46,763,69.4,16.6,80,6,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"82","South Carolina",13,875,4516,5.16,31,347.38,7,6,0,0.58333333,260,3
2010,648,"S Car","Alshon Jeffery",14,0,0,0,0,0,88,1517,108.4,17.2,72,9,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"47","South Carolina",14,911,5499,6.04,55,392.79,9,5,0,0.61805556,260,3
2011,648,"S Car","Alshon Jeffery",13,0,0,0,0,0,49,762,58.6,15.6,78,8,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"74","South Carolina",13,870,4856,5.58,53,373.54,11,2,0,0.57251908,260,3
2011,670,"TX St","Alvaro Garcia",8,0,0,0,0,0,10,92,11.5,9.2,13,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"na","Texas St.",12,794,4143,5.29,38,345.25,6,6,0,NA,261,NA
2005,157,"Colo","Alvin Barnett",8,2,28,3.5,14,0,17,131,16.4,7.7,19,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"87","Colorado",13,881,4330,4.91,33,333.08,7,6,0,0.58518519,263,NA
2006,157,"Colo","Alvin Barnett",10,1,-2,-0.2,-2,0,21,232,23.2,11,38,1,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"102","Colorado",12,715,3497,4.89,20,291.42,2,10,0,0.48333333,263,NA
2012,8,"Ala","Amari Cooper",13,0,0,0,0,0,59,1000,76.9,16.9,54,11,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"31","Alabama",14,898,6237,6.95,71,445.5,13,1,0,0.58571429,268,NA
2005,651,"S Fla","Amarri Jackson",10,7,86,8.6,12.3,3,22,242,24.2,11,57,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"79","South Fla.",12,882,4171,4.73,35,347.58,6,6,0,0.58035714,269,NA
2006,651,"S Fla","Amarri Jackson",13,10,50,3.8,5,0,26,393,30.2,15.1,46,3,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"44","South Fla.",13,841,4701,5.59,40,361.62,9,4,0,0.49612403,269,NA
2007,651,"S Fla","Amarri Jackson",8,1,5,0.6,5,0,22,256,32,11.6,36,2,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"43","South Fla.",13,991,5383,5.43,56,414.08,9,4,0,0.59701493,269,NA
2003,726,"Navy","Amir Jenkins",8,0,0,0,0,0,14,252,31.5,18,43,1,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"27","Navy",13,918,5506,6,52,423.54,8,5,0,0.37606838,273,NA
2004,726,"Navy","Amir Jenkins",2,0,0,0,0,0,2,35,17.5,17.5,26,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"45","Navy",12,811,4666,5.75,46,388.83,10,2,0,0.34020619,273,NA
2003,235,"Fla","Andre Caldwell",9,1,3,0.4,3,0,19,174,21.8,9.2,31,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"46","Florida",13,860,5088,5.92,47,391.38,8,5,0,0.64963504,285,11
2004,235,"Fla","Andre Caldwell",11,2,66,6,33,1,43,689,62.6,16,62,3,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"22","Florida",12,822,5123,6.23,49,426.92,7,5,0,0.54918033,285,11
2005,235,"Fla","Andre Caldwell",3,5,64,21.3,12.8,1,10,148,49.3,14.8,63,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"61","Florida",12,840,4481,5.33,43,373.42,9,3,0,0.57723577,285,11
2006,235,"Fla","Andre Caldwell",14,21,102,7.3,4.9,1,57,577,41.2,10.1,66,6,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"19","Florida",14,875,5545,6.34,57,396.07,13,1,0,0.67114094,285,11
2007,235,"Fla","Andre Caldwell",10,12,58,5.8,4.8,1,56,761,76.1,13.6,48,7,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"14","Florida",13,848,5943,7.01,75,457.15,9,4,0,0.62142857,285,11
2003,559,"Purd","Andre Chattams",1,0,0,0,0,0,1,4,4,4,4,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"65","Purdue",13,971,4848,4.99,39,372.92,9,4,0,0.51351351,287,NA
