,,,,,,,Games,Games,Misc,Misc,Misc,Misc
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
78,Chris Henry,2005,2007,Mar-83,CIN,NFL,35,11,3,0,0,14
79,James Jones,2007,2009,Mar-78,GNB,NFL,42,14,3,0,0,14
80,Justin McCareins,2001,2003,4-124,OTI,NFL,36,12,3,0,0,14
81,Todd Pinkston,2001,2002,Feb-36,PHI,NFL,30,30,2,0,0,14
82,Reggie Williams,2004,2006,9-Jan,JAX,NFL,48,36,3,0,0,14
83,Andre' Davis,2002,2004,Feb-47,CLE,NFL,39,19,3,0,0,13
84,Harry Douglas,2008,2011,Mar-84,ATL,NFL,48,8,3,0,0,13
85,Jabar Gaffney,2002,2004,Feb-33,HTX,NFL,48,37,3,0,0,13
86,D.J. Hackett,2005,2007,5-157,SEA,NFL,33,14,3,0,0,13
87,Darrius Heyward-Bey,2009,2011,7-Jan,RAI,NFL,41,38,3,0,0,13
88,Josh Morgan,2008,2010,6-174,SFO,NFL,44,27,3,0,0,13
89,Golden Tate,2010,2012,Feb-60,SEA,NFL,42,20,3,0,0,13
90,Travis Taylor,2001,2002,10-Jan,RAV,NFL,32,28,2,0,0,13
91,Earl Bennett,2008,2010,Mar-70,CHI,NFL,40,18,3,0,0,12
92,Kelly Campbell,2002,2004,,MIN,NFL,37,11,3,0,0,12
93,Brandon Lloyd,2003,2005,4-124,SFO,NFL,45,29,3,0,0,12
94,Mohamed Massaquoi,2009,2011,Feb-50,CLE,NFL,45,38,3,0,0,12
95,Lance Moore,2006,2008,,NOR,NFL,36,10,3,0,0,12
96,Samie Parker,2004,2006,4-105,KAN,NFL,32,24,3,0,0,12
97,Josh Reed,2002,2004,Feb-36,BUF,NFL,44,19,3,0,0,12
98,Doug Baldwin,2011,2012,,SEA,NFL,30,6,2,0,0,11
99,Marty Booker,2001,2001,Mar-78,CHI,NFL,16,16,1,0,0,11
100,Jacoby Ford,2010,2012,4-108,RAI,NFL,24,12,3,0,0,11
101,Doug Gabriel,2003,2005,5-167,RAI,NFL,42,7,3,0,0,11
102,Michael Jenkins,2004,2006,29-Jan,ATL,NFL,46,28,3,0,0,11
103,Dexter McCluster,2010,2012,Feb-36,KAN,NFL,43,17,3,0,0,11
104,Louis Murphy,2009,2011,4-124,RAI,NFL,41,19,3,0,0,11
105,Jordy Nelson,2008,2010,Feb-36,GNB,NFL,45,6,3,0,0,11
106,Andre Roberts,2010,2012,Mar-88,CRD,NFL,46,33,3,0,0,11
107,Bernard Berrian,2004,2006,Mar-78,CHI,NFL,42,17,3,0,0,10
108,Keary Colbert,2004,2006,Feb-62,CAR,NFL,43,34,3,0,0,10
109,Patrick Crayton,2004,2006,7-216,DAL,NFL,35,6,3,0,0,10
110,Kevin Curtis,2003,2005,Mar-74,RAM,NFL,35,10,3,0,0,10
111,Domenik Hixon,2008,2009,4-130,NYG,NFL,30,9,2,0,0,10
112,Bryant Johnson,2003,2005,17-Jan,CRD,NFL,45,23,3,0,0,10
113,Jeremy Kerley,2011,2012,5-153,NYJ,NFL,30,8,2,0,0,10
114,Greg Little,2011,2012,Feb-59,CLE,NFL,32,28,2,0,0,10
115,Freddie Mitchell,2001,2003,25-Jan,PHI,NFL,47,8,3,0,0,10
116,Denarius Moore,2011,2012,5-148,RAI,NFL,28,25,2,0,0,10
117,Dennis Northcutt,2001,2002,Feb-32,CLE,NFL,24,7,2,0,0,10
118,Jerry Porter,2001,2002,Feb-47,RAI,NFL,31,14,2,0,0,10
119,Emmanuel Sanders,2010,2012,Mar-82,PIT,NFL,40,8,3,0,0,10
120,Peter Warrick,2001,2002,4-Jan,CIN,NFL,31,24,2,0,0,10
121,Nate Washington,2005,2007,,PIT,NFL,33,6,3,0,0,10
122,Danario Alexander,2010,2012,,TOT,NFL,28,14,3,0,0,9
123,Donnie Avery,2008,2011,Feb-33,TOT,NFL,39,28,3,0,0,9
124,Hank Baskett,2006,2008,,PHI,NFL,47,11,3,0,0,9
125,Desmond Bryant,2009,2011,,RAI,NFL,47,10,3,0,0,9
126,Robert Ferguson,2001,2003,Feb-41,GNB,NFL,32,13,3,0,0,9
127,Devery Henderson,2004,2006,Feb-50,NOR,NFL,28,10,3,0,0,9
128,Kevin Johnson,2001,2001,Feb-32,CLE,NFL,16,16,1,0,0,9
129,Steve Johnson,2008,2010,7-224,BUF,NFL,32,14,3,0,0,9
130,Jacoby Jones,2007,2009,Mar-73,HTX,NFL,44,4,3,0,0,9
131,Shaun McDonald,2003,2005,4-106,RAM,NFL,40,3,3,0,0,9
132,David Nelson,2010,2012,,BUF,NFL,32,17,3,0,0,9
133,Roscoe Parrish,2005,2007,Feb-55,BUF,NFL,42,5,3,0,0,9
134,Brandon Tate,2009,2011,Mar-83,TOT,NFL,34,11,3,0,0,9
135,Wes Welker,2005,2006,,MIA,NFL,32,3,2,0,0,9
136,Dez White,2001,2002,Mar-69,CHI,NFL,30,20,2,0,0,9
137,Damian Williams,2010,2012,Mar-77,OTI,NFL,44,16,3,0,0,9
138,Roydell Williams,2005,2007,4-136,OTI,NFL,40,16,3,0,0,9
139,Danny Amendola,2009,2011,,RAM,NFL,31,9,3,0,0,8
140,Scotty Anderson,2001,2003,5-148,DET,NFL,34,8,3,0,0,8
141,Marc Boerigter,2002,2005,,KAN,NFL,41,2,3,0,0,8
142,Antonio Bryant,2002,2003,Feb-63,DAL,NFL,32,20,2,0,0,8
143,Andre Caldwell,2008,2010,Mar-97,CIN,NFL,38,12,3,0,0,8
144,Reche Caldwell,2002,2004,Feb-48,SDG,NFL,31,12,3,0,0,8
145,Drew Carter,2005,2007,5-163,CAR,NFL,33,9,3,0,0,8
146,Antonio Chatman,2003,2005,,GNB,NFL,48,5,3,0,0,8
147,Andrew Hawkins,2011,2012,,CIN,NFL,27,2,2,0,0,8
148,Johnnie Lee Higgins,2007,2009,Mar-99,RAI,NFL,47,10,3,0,0,8
149,T.Y. Hilton,2012,2012,Mar-92,CLT,NFL,15,1,1,0,0,8
150,Brandon Jones,2005,2007,Mar-96,OTI,NFL,35,20,3,0,0,8
151,Donald Jones,2010,2012,,BUF,NFL,35,22,3,0,0,8
152,David Terrell,2001,2003,8-Jan,CHI,NFL,37,14,3,0,0,8
153,Demetrius Williams,2006,2008,4-111,RAV,NFL,32,4,3,0,0,8
154,Troy Williamson,2005,2007,7-Jan,MIN,NFL,39,22,3,0,0,8
155,Titus Young,2011,2012,Feb-44,DET,NFL,26,17,2,0,0,8
156,Arrelious Benn,2010,2012,Feb-39,TAM,NFL,37,24,3,0,0,7
157,Greg Camarillo,2006,2008,,TOT,NFL,30,11,3,0,0,7
158,Josh Cribbs,2005,2007,,CLE,NFL,46,3,3,1,0,7
159,Julian Edelman,2009,2011,7-232,NWE,NFL,39,10,3,0,0,7
160,Justin Gage,2003,2005,5-143,CHI,NFL,41,16,3,0,0,7
161,Brandon Gibson,2010,2011,6-194,RAM,NFL,29,21,2,0,0,7
162,Dante Hall,2001,2002,5-153,KAN,NFL,29,0,2,1,0,7
163,Leonard Hankerson,2011,2012,Mar-79,WAS,NFL,20,7,2,0,0,7
164,Bethel Johnson,2003,2005,Feb-45,NWE,NFL,39,7,3,0,0,7
165,Greg Lewis,2003,2005,,PHI,NFL,43,19,3,0,0,7
166,Michael Lewis,2001,2003,,NOR,NFL,37,1,3,1,1,7
167,Kassim Osgood,2003,2005,,SDG,NFL,44,12,3,0,0,7
168,Peerless Price,2001,2001,Feb-53,BUF,NFL,16,16,1,0,0,7
169,Cecil Shorts,2011,2012,4-114,JAX,NFL,24,9,2,0,0,7
170,Chansi Stuckey,2008,2010,7-235,TOT,NFL,31,7,2,0,0,7
171,Kelley Washington,2003,2005,Mar-65,CIN,NFL,39,5,3,0,0,7
172,Cedrick Wilson,2001,2003,6-169,SFO,NFL,38,3,3,0,0,7
173,Anthony Armstrong,2010,2011,,WAS,NFL,29,13,2,0,0,6
174,Derick Armstrong,2003,2005,,HTX,NFL,35,5,3,0,0,6
175,Jason Avant,2006,2008,4-109,PHI,NFL,38,14,3,0,0,6
176,Justin Blackmon,2012,2012,5-Jan,JAX,NFL,16,15,1,0,0,6
177,Riley Cooper,2010,2012,5-159,PHI,NFL,40,10,3,0,0,6
178,Ronald Curry,2002,2004,7-235,RAI,NFL,29,5,3,0,0,6
179,Rashied Davis,2005,2007,,CHI,NFL,44,3,3,0,0,6
180,Eddie Drummond,2002,2004,,DET,NFL,26,1,3,1,1,6
181,Trevor Gaylor,2001,2002,4-111,TOT,NFL,20,5,2,0,0,6
182,Josh Gordon,2012,2012,,CLE,NFL,16,13,1,0,0,6
