Name	Year Start	Year End	Draft	Team	Years	Approximate Value (Total)
Rex Grossman	2003	2005	1-22	CHI	3	3
Robert Griffin III	2012	2012	1-2	WAS	1	18
Chris Greisen	2011	2011	7-239	DAL	1	0
Quinn Gray	2005	2007		JAX	3	6
Bruce Gradkowski	2006	2008	6-194	TOT	3	3
David Garrard	2002	2004	4-108	JAX	3	3
Jeff Garcia	2001	2001		SFO	1	18
Blaine Gabbert	2011	2012	1-10	JAX	2	7
Charlie Frye	2005	2006	3-67	CLE	2	7
Josh Freeman	2009	2011	1-17	TAM	3	24
Nick Foles	2012	2012	3-88	PHI	1	4
Matt Flynn	2008	2010	7-209	GNB	3	1
Joe Flacco	2008	2010	1-18	RAV	3	36
Ryan Fitzpatrick	2005	2007	7-250	TOT	3	3
A.J. Feeley	2001	2004	5-155	TOT	3	4
Randy Fasani	2002	2002	5-137	CAR	1	1
Trent Edwards	2007	2009	3-92	BUF	3	16
Ken Dorsey	2004	2006	7-241	TOT	3	0
Dennis Dixon	2008	2010	5-156	PIT	3	2
Jake Delhomme	2002	2003		TOT	2	10
Dominique Davis	2012	2012		ATL	1	0
Rohan Davey	2002	2004	4-117	NWE	3	0
Chase Daniel	2010	2012		NOR	3	0
Andy Dalton	2011	2012	2-35	CIN	2	24
Jay Cutler	2006	2008	1-11	DEN	3	30
Daunte Culpepper	2001	2001	1-11	MIN	1	11
Brodie Croyle	2006	2008	3-85	KAN	3	1
Dameyune Craig	2001	2001		CAR	1	0
Scott Covington	2002	2002	7-245	RAM	1	0
Kirk Cousins	2012	2012	4-102	WAS	1	2
Tim Couch	2001	2001	1-1	CLE	1	9
Kellen Clemens	2006	2008	2-49	NYJ	3	3
Jimmy Clausen	2010	2012	2-48	CAR	3	0
Matt Cassel	2005	2007	7-230	NWE	3	1
Quincy Carter	2001	2003	2-53	DAL	3	15
David Carr	2002	2004	1-1	HTX	3	25
Rudy Carpenter	2011	2011		TAM	1	0
Jason Campbell	2006	2008	1-25	WAS	3	25
Henry Burris	2002	2002		CHI	1	1
Marc Bulger	2002	2004	6-168	RAM	3	31
Travis Brown	2001	2003		BUF	2	1
Levi Brown	2010	2010	7-209	BUF	1	0
Aaron Brooks	2001	2002	4-131	NOR	2	31
Brian Brohm	2009	2010	2-56	BUF	2	0
Drew Brees	2001	2003	2-32	SDG	3	17
Tom Brandstater	2011	2011	6-174	RAM	1	0
Tom Brady	2001	2002	6-199	NWE	2	25
Sam Bradford	2010	2012	1-1	RAM	3	21
Todd Bouman	2001	2003		TOT	3	3
Brooks Bollinger	2004	2006	6-200	TOT	3	5
Kyle Boller	2003	2005	1-19	RAV	3	13
Brock Berlin	2007	2008		RAM	2	0
John Beck	2007	2011	2-40	TOT	2	4
Brett Basanez	2006	2006		CAR	1	0
Richard Bartel	2010	2011		CRD	2	0
Derek Anderson	2006	2008	6-213	CLE	3	19
