Name,Team,G,Receiving,Rec,Yds,Y/G,Avg,Lng,TD,RUSHING,Rush,Yds,Y/G,Avg,TD,Year,Position
Richard Goodman,FL St,2,,4,30,15,7.5,12,0,,0,0,0,N/A,0,2005,WR
Cooter Arnold,NC,6,,4,29,4.8,7.3,15,0,,48,187,31.2,3.9,0,2005,WR
Matt Willis,UCLA,4,,3,29,7.3,9.7,16,1,,1,-11,-2.8,-11,0,2005,WR
Marcus Randle El,Wis,1,,1,29,29,29,29,1,,0,0,0,N/A,0,2005,WR
Dylan Linkner,Haw,2,,3,29,14.5,9.7,22,0,,0,0,0,N/A,0,2005,WR
Robert Dunn,Aub,4,,2,29,14.5,14.5,23,0,,0,0,0,N/A,0,2005,WR
Rob Woods,ND,1,,1,28,28,28,28,0,,0,0,0,N/A,0,2005,WR
Marcus Tate,Mia O,3,,4,28,9.3,7,13,0,,0,0,0,N/A,0,2005,WR
Albert Dukes,OH St,2,,2,28,14,14,16,0,,0,0,0,N/A,0,2005,WR
Chad Wilkes,FAU,2,,2,28,14,14,14,0,,0,0,0,N/A,0,2005,WR
Jerome Bedle,Syra,6,,3,28,4.7,9.3,14,0,,3,-11,-1.8,-3.7,0,2005,WR
Sanchez Anderson,FIU,6,,3,28,14,9.3,16,1,,0,0,0,N/A,0,2005,WR
Ed Hampton,AR St,3,,3,27,9,9,26,1,,0,0,0,N/A,0,2005,WR
Kevin Ogletree,UVa,3,,7,27,9,3.9,6,0,,0,0,0,N/A,0,2005,WR
Alex Rosenblum,Nev,3,,3,27,9,9,12,0,,0,0,0,N/A,0,2005,WR
Jerrill Humphrey,Mizz,2,,3,27,13.5,9,12,0,,0,0,0,N/A,0,2005,WR
Anthony Lonon,NM St,2,,3,27,13.5,9,15,0,,0,0,0,N/A,0,2005,WR
Quentin Chaney,Okla,2,,2,26,13,13,17,0,,0,0,0,N/A,0,2005,WR
Anthony Carter,N Mex,4,,4,26,6.5,6.5,9,0,,0,0,0,N/A,0,2005,WR
Desmond Belton,Ida,1,,2,26,26,13,20,0,,0,0,0,N/A,0,2005,WR
Ryan Wood,Duke,3,,4,26,8.7,6.5,9,0,,0,0,0,N/A,0,2005,WR
Todd Walker,TX Tch,2,,3,26,13,8.7,11,0,,0,0,0,N/A,0,2005,WR
Justin Marvel,UNLV,1,,2,26,26,13,18,0,,0,0,0,N/A,0,2005,WR
Jeremy Bruce,W Va,4,,3,26,6.5,8.7,22,0,,1,9,2.3,9,0,2005,WR
Ryan Skelton,Ind,3,,5,26,8.7,5.2,15,0,,0,0,0,N/A,0,2005,WR
Jeremy Broadway,OK St,2,,2,26,13,13,15,0,,0,0,0,N/A,0,2005,WR
Aubrey Bell,MS St,1,,2,25,25,12.5,13,0,,0,0,0,N/A,0,2005,WR
Ryan Heacock,Ida,3,,3,25,8.3,8.3,13,0,,0,0,0,N/A,0,2005,WR
Adam Hogan,ULM,3,,3,25,8.3,8.3,15,0,,0,0,0,N/A,0,2005,WR
Reggie Thompson,FIU,1,,2,25,25,12.5,24,0,,0,0,0,N/A,0,2005,WR
Mark Woodson,Kent,1,,2,25,25,12.5,14,0,,0,0,0,N/A,0,2005,WR
Evans Adonis,N Ill,1,,2,24,24,12,22,0,,0,0,0,N/A,0,2005,WR
Bryan Williamson,Ball,2,,3,24,12,8,11,0,,0,0,0,N/A,0,2005,WR
E.J. Wynn,Mrsh,1,,1,23,23,23,23,0,,0,0,0,N/A,0,2005,WR
George Walker,Tex,1,,1,22,22,22,22,0,,0,0,0,N/A,0,2005,WR
Jay'Mond Cleveland,SMU,1,,2,22,22,11,15,0,,0,0,0,N/A,0,2005,WR
Lance Leone,LT,1,,1,22,22,22,22,0,,0,0,0,N/A,0,2005,WR
Michael Jones,AZ St,2,,4,22,11,5.5,8,0,,0,0,0,N/A,0,2005,WR
Chris Dunlap,GT,2,,2,22,11,11,13,0,,0,0,0,N/A,0,2005,WR
DeSean Larmond,Buff,2,,3,21,10.5,7,8,0,,0,0,0,N/A,0,2005,WR
Clellan Cook,TX St,2,,2,21,10.5,10.5,14,0,,0,0,0,N/A,0,2005,WR
Reggie Joseph,Colo,2,,2,21,10.5,10.5,13,0,,0,0,0,N/A,0,2005,WR
Blake Broadhurst,Troy,1,,2,21,21,10.5,17,0,,0,0,0,N/A,0,2005,WR
Danny Oquendo,Md,3,,3,20,10,6.7,10,0,,0,0,0,N/A,0,2005,WR
Tanyon Bissell,Bois,1,,2,20,20,10,13,1,,0,0,0,N/A,0,2005,WR
Ameen Shaheen,Utah,2,,3,20,10,6.7,12,1,,0,0,0,N/A,0,2005,WR
Brandon Brooks,Ala,6,,2,20,6.7,10,11,0,,1,-3,-1,-3,0,2005,WR
David Grimes,ND,7,,2,19,6.3,9.5,11,0,,2,8,2.7,4,0,2005,WR
Austin Rogers,Tenn,3,,1,18,6,18,18,0,,1,26,8.7,26,0,2005,WR
Chris Brawley,N Mex,3,,3,18,6,6,8,0,,0,0,0,N/A,0,2005,WR
Bruce Brown,Army,1,,1,17,17,17,17,0,,0,0,0,N/A,0,2005,WR
Terrell Walden,Mia F,1,,2,17,17,8.5,13,0,,0,0,0,N/A,0,2005,WR
Kelly Martin,WMU,2,,3,16,8,5.3,7,0,,0,0,0,N/A,0,2005,WR
Ray Givens,ULL,1,,2,16,16,8,10,0,,0,0,0,N/A,0,2005,WR
Sergio Joachim,UCF,5,,5,16,3.2,3.2,8,0,,0,0,0,N/A,0,2005,WR
Shelvion Williams,UNLV,2,,2,16,8,8,14,0,,0,0,0,N/A,0,2005,WR
Adam Hurst,USM,2,,3,16,8,5.3,8,0,,0,0,0,N/A,0,2005,WR
Michael Batiste,Tula,1,,2,16,16,8,11,0,,0,0,0,N/A,0,2005,WR
Jarvis Minton,Wis,2,,1,16,8,16,16,0,,1,-5,-2.5,-5,0,2005,WR
Thomas Augusta,LT,1,,1,16,16,16,16,0,,0,0,0,N/A,0,2005,WR
Patrick Olchovy,Haw,2,,2,16,8,8,12,0,,0,0,0,N/A,0,2005,WR
Mike O'Hara,ND,1,,1,16,16,16,16,0,,0,0,0,N/A,0,2005,WR
Clarence Cunningham,SJSU,1,,2,16,16,8,12,0,,0,0,0,N/A,0,2005,WR
Jake Standeford,Purd,1,,2,15,15,7.5,8,0,,0,0,0,N/A,0,2005,WR
Dexton Fields,Kan,1,,1,15,15,15,15,1,,0,0,0,N/A,0,2005,WR
Josh Carethers,Hous,1,,1,15,15,15,15,1,,0,0,0,N/A,0,2005,WR
Jeff Gray,AZ St,1,,1,15,15,15,15,0,,0,0,0,N/A,0,2005,WR
Earl Griffin,LT,1,,2,15,15,7.5,9,0,,0,0,0,N/A,0,2005,WR
Brian Howard,ECU,1,,1,15,15,15,15,0,,0,0,0,N/A,0,2005,WR
Andrew Diomande,Clem,1,,1,15,15,15,15,0,,0,0,0,N/A,0,2005,WR
Greg Turner,N Ill,1,,1,15,15,15,15,0,,0,0,0,N/A,0,2005,WR
Ed Morgan,USM,1,,1,15,15,15,15,0,,0,0,0,N/A,0,2005,WR
Geron James,NC St,1,,2,14,14,7,9,1,,0,0,0,N/A,0,2005,WR
Greig Carlson,USC,1,,1,14,14,14,14,0,,0,0,0,N/A,0,2005,WR
Errick McCown,OK St,2,,3,14,7,4.7,7,0,,0,0,0,N/A,0,2005,WR
Bernie Lewis,SJSU,1,,1,14,14,14,14,0,,0,0,0,N/A,0,2005,WR
Justin Amaral,SDg St,6,,1,14,7,14,14,0,,1,22,11,22,0,2005,WR
Mick Yokitis,Navy,1,,1,14,14,14,14,0,,0,0,0,N/A,0,2005,WR
Stephen Bisnett,AZ St,1,,1,14,14,14,14,0,,0,0,0,N/A,0,2005,WR
D.J. Nichols,Tole,1,,2,13,13,6.5,8,0,,0,0,0,N/A,0,2005,WR
Jason Burns,Vand,1,,1,13,13,13,13,0,,0,0,0,N/A,0,2005,WR
Marcus McKnight,Ala,2,,2,13,6.5,6.5,8,0,,0,0,0,N/A,0,2005,WR
Drew Larson,Ore,1,,1,13,13,13,13,0,,0,0,0,N/A,0,2005,WR
Carl Grimes,MI St,2,,2,13,6.5,6.5,12,0,,0,0,0,N/A,0,2005,WR
Nick Harris,Bois,1,,1,13,13,13,13,0,,0,0,0,N/A,0,2005,WR
Brian Robiskie,OH St,1,,1,13,13,13,13,0,,0,0,0,N/A,0,2005,WR
Raphael Chestnut,Duke,2,,2,12,6,6,7,0,,0,0,0,N/A,0,2005,WR
David Sutton,UTEP,1,,2,12,12,6,10,1,,0,0,0,N/A,0,2005,WR
Brett Cooper,BYU,3,,1,12,6,12,12,0,,0,0,0,N/A,0,2005,WR
Jovan Hutchinson,Bois,2,,2,12,6,6,8,0,,0,0,0,N/A,0,2005,WR
Blake Garrett,UT St,1,,1,12,12,12,12,0,,0,0,0,N/A,0,2005,WR
Courtney Denson,S Fla,8,,1,11,1.4,11,11,0,,22,124,15.5,5.6,0,2005,WR
James Swinton,Aub,1,,1,11,11,11,11,0,,0,0,0,N/A,0,2005,WR
Chris Walker,FL St,1,,1,11,11,11,11,0,,0,0,0,N/A,0,2005,WR
Ray Williams,Purd,2,,1,11,5.5,11,11,0,,3,12,6,4,1,2005,WR
DeMoreo Ford,UK,2,,2,10,5,5,6,0,,0,0,0,N/A,0,2005,WR
Dwayne Thompson,W Va,2,,2,10,5,5,14,0,,0,0,0,N/A,0,2005,WR
Brett Jarvis,IA St,1,,1,10,10,10,10,0,,0,0,0,N/A,0,2005,WR
Ro Grigsby,KS St,1,,1,10,10,10,10,0,,0,0,0,N/A,0,2005,WR
Jordan Jackson,ULL,1,,1,9,9,9,9,0,,0,0,0,N/A,0,2005,WR
Mikhail Kafentzis,Haw,3,,2,9,3,4.5,6,0,,4,11,3.7,2.8,0,2005,WR
Kennon Christian,Iowa,1,,1,9,9,9,9,0,,0,0,0,N/A,0,2005,WR
Brandon Powers,OR St,1,,2,9,9,4.5,6,1,,0,0,0,N/A,0,2005,WR
Linnie Yarbrough,MTSU,5,,2,9,1.8,4.5,6,0,,3,43,8.6,14.3,0,2005,WR
Tim Frisby,S Car,1,,1,9,9,9,9,0,,0,0,0,N/A,0,2005,WR
Casey Fitzgerald,N TX,1,,1,9,9,9,9,0,,0,0,0,N/A,0,2005,WR
Caleb Rubin,ULL,5,,1,9,1.8,9,9,0,,21,84,16.8,4,0,2005,WR
Jeremy Gilchrist,VT,2,,1,9,4.5,9,9,0,,1,14,7,14,0,2005,WR
Jacob Gonzales,UTEP,2,,1,8,4,8,8,0,,1,8,4,8,0,2005,WR
Kyle Kimbro,Navy,1,,1,8,8,8,8,0,,0,0,0,N/A,0,2005,WR
Nick Coon,UAB,1,,1,8,8,8,8,0,,0,0,0,N/A,0,2005,WR
Jeff Johnson,AR St,1,,2,8,8,4,6,0,,0,0,0,N/A,0,2005,WR
Dwayne Reid,Buff,1,,1,8,8,8,8,0,,0,0,0,N/A,0,2005,WR
Jeff Yarbrough,N.W.,1,,1,7,7,7,7,0,,0,0,0,N/A,0,2005,WR
Edgar Rodriguez,N Ill,1,,1,7,7,7,7,0,,0,0,0,N/A,0,2005,WR
Shane Womack,LT,1,,1,7,7,7,7,0,,0,0,0,N/A,0,2005,WR
Jason Ray,Mizz,1,,1,7,7,7,7,0,,0,0,0,N/A,0,2005,WR
Casey Hausman,KS St,2,,2,7,3.5,3.5,5,0,,0,0,0,N/A,0,2005,WR
Javid James,UCF,1,,1,6,6,6,6,0,,0,0,0,N/A,0,2005,WR
Charles Smith,Wash,1,,1,6,6,6,6,0,,0,0,0,N/A,0,2005,WR
Kevin Ciccone,Fres,1,,1,6,6,6,6,0,,0,0,0,N/A,0,2005,WR
Joe Hunter,W Va,1,,1,6,6,6,6,0,,0,0,0,N/A,0,2005,WR
Michael Jean,CMU,5,,2,6,1.2,3,4,0,,6,88,17.6,14.7,0,2005,WR
Chris Baker,Rutg,1,,2,6,6,3,3,0,,0,0,0,N/A,0,2005,WR
Michael Hooper,SJSU,1,,1,6,6,6,6,0,,0,0,0,N/A,0,2005,WR
Xavier McGuire,GT,2,,2,6,6,3,3,0,,0,0,0,N/A,0,2005,WR
Jason Ferguson,Haw,1,,1,6,6,6,6,0,,0,0,0,N/A,0,2005,WR
Pierre Ingram,MTSU,1,,1,6,6,6,6,0,,0,0,0,N/A,0,2005,WR
Derek Harden,OH St,1,,1,6,6,6,6,0,,0,0,0,N/A,0,2005,WR
Sean McVay,Mia O,4,,1,6,3,6,6,0,,1,2,1,2,0,2005,WR
Preston Robinson,UT St,1,,1,6,6,6,6,0,,0,0,0,N/A,0,2005,WR
Ellis Gaulden,Conn,1,,1,6,6,6,6,0,,0,0,0,N/A,0,2005,WR
Todd Tate,UAB,1,,1,5,5,5,5,0,,0,0,0,N/A,0,2005,WR
Reggie Fish,Ark,3,,1,5,1.7,5,5,0,,1,7,2.3,7,0,2005,WR
Jo Jo Brown,UK,1,,1,5,5,5,5,0,,0,0,0,N/A,0,2005,WR
Bobby McCoy,Ariz,1,,1,5,5,5,5,0,,0,0,0,N/A,0,2005,WR
Ramal Porter,SDg St,3,,1,5,1.7,5,5,0,,3,5,1.7,1.7,0,2005,WR
David Schaefer,TX Tch,1,,1,5,5,5,5,0,,0,0,0,N/A,0,2005,WR
Marcel Pestano,Pitt,4,,1,5,1.3,5,5,0,,2,34,8.5,17,0,2005,WR
Isaiah Williams,Md,1,,1,4,4,4,4,0,,0,0,0,N/A,0,2005,WR
Paul Hubbard,Wis,1,,1,4,4,4,4,0,,0,0,0,N/A,0,2005,WR
Milton Collins,Miss,1,,1,3,3,3,3,0,,0,0,0,N/A,0,2005,WR
Ja'Mel Branch,N TX,3,,1,3,1,3,3,0,,2,3,1,1.5,0,2005,WR
Greg McClendon,Ill,1,,1,3,3,3,3,0,,0,0,0,N/A,0,2005,WR
Doug McDaniel,NM St,1,,1,3,3,3,3,0,,0,0,0,N/A,0,2005,WR
Michael Cannon,MTSU,1,,1,3,3,3,3,0,,0,0,0,N/A,0,2005,WR
Brandon Jones,BGSU,3,,1,3,3,3,3,0,,0,0,0,N/A,0,2005,WR
Walt Bell,MTSU,2,,1,3,1.5,3,3,0,,1,-5,-2.5,-5,0,2005,WR
J.J. McCoy,ULM,7,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Lucas Taylor,Tenn,8,,0,0,0,N/A,N/A,0,,6,19,3.2,3.2,0,2005,WR
Darrell McNeal,ULM,1,,0,0,0,N/A,N/A,0,,1,3,3,3,0,2005,WR
LaGregory Sapp,ULM,1,,1,0,0,0,1,0,,0,0,0,N/A,0,2005,WR
Joel Armstrong,Rice,11,,0,0,0,N/A,N/A,0,,149,555,50.5,3.7,6,2005,WR
Carlos Suggs,Miss,1,,1,0,0,0,0,0,,0,0,0,N/A,0,2005,WR
Kenton Thornton,NC,1,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Cory Holt,VT,4,,0,0,0,N/A,N/A,0,,3,1,0.3,0.3,0,2005,WR
Terrell Allen,Pitt,7,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Robert Johnson,Ark,8,,1,0,0,0,0,0,,37,20,2.5,0.5,0,2005,WR
Blake Ladson,WKU,3,,0,0,0,N/A,N/A,0,,4,19,6.3,4.8,0,2005,WR
Bryce Mahuika,BYU,2,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Gary Green,Kan,1,,0,0,0,N/A,N/A,0,,1,1,1,1,0,2005,WR
Chris Patullo,FIU,1,,0,0,0,N/A,N/A,0,,1,-3,-3,-3,0,2005,WR
Lance Bennett,Ind,11,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Bernard Jackson,Colo,3,,0,0,0,N/A,N/A,0,,8,10,3.3,1.3,0,2005,WR
Marlo East,Troy,1,,0,0,0,N/A,N/A,0,,5,11,11,2.2,0,2005,WR
William Buchanon,USC,1,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Greg Heaggans,Kan,5,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Dave Dawson,Buff,8,,0,0,0,N/A,N/A,0,,3,12,6,4,0,2005,WR
Kevin Brown,SJSU,1,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Ryan Eidson,Ariz,1,,0,0,0,N/A,N/A,0,,1,-7,-7,-7,0,2005,WR
Nick Holz,Colo,1,,0,0,0,N/A,N/A,0,,1,21,21,21,0,2005,WR
Terrance Parks,Bayl,7,,0,0,0,N/A,N/A,0,,28,-10,-1.4,-0.4,0,2005,WR
David Marrero,Stan,3,,0,0,0,N/A,N/A,0,,1,-3,-1,-3,0,2005,WR
Justin Walker,Utah,1,,0,0,0,N/A,N/A,0,,1,-1,-1,-1,0,2005,WR
Derek DuBois,NM St,1,,0,0,0,N/A,N/A,0,,1,4,4,4,1,2005,WR
Brandon Feagans,Memp,1,,0,0,0,N/A,N/A,0,,1,1,1,1,0,2005,WR
DeAngelo Ramsey,Ida,6,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Darren Mougey,SDg St,6,,0,0,0,N/A,N/A,0,,17,96,16,5.6,0,2005,WR
E.J. Daniel,Lou,2,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Billy Barefield,Memp,4,,0,0,0,N/A,N/A,0,,23,99,24.8,4.3,0,2005,WR
Anthony Turner,BGSU,6,,0,0,0,N/A,N/A,0,,53,170,28.3,3.2,3,2005,WR
Brandon Tate,NC,11,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Terence Hall,FAU,8,,0,0,0,N/A,N/A,0,,13,19,2.7,1.5,0,2005,WR
Chase McBride,Colo,1,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Robin Bailey,Tole,1,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Tyler Jones,EMU,8,,0,0,0,N/A,N/A,0,,67,267,33.4,4,1,2005,WR
Ryan Patrick,Ball,1,,0,0,0,N/A,N/A,0,,1,2,2,2,0,2005,WR
Hoost Marsh,Wyo,10,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Carlos Simpson,Cinc,2,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Seth Newton,OK St,1,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
Jessie Henderson,SMU,9,,0,0,0,N/A,N/A,0,,1,-5,-1.3,-5,0,2005,WR
Kevin Jurovich,SJSU,1,,0,0,0,N/A,N/A,0,,1,1,1,1,0,2005,WR
Brian Barmann,Mizz,1,,0,0,0,N/A,N/A,0,,0,0,0,N/A,0,2005,WR
D.J. Hernandez,Conn,6,,0,0,0,N/A,N/A,0,,64,286,47.7,4.5,1,2005,WR
Earl Goldsmith,Mizz,6,,0,0,0,N/A,N/A,0,,4,25,8.3,6.3,0,2005,WR
Andrew Smith,GT,1,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
Mardy Gilyard,Cinc,4,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
Gary Rice,Buff,3,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
Gerald Guerrier,NM St,2,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
Adrian Arrington,Mich,1,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
James McDonald,PSU,1,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
D.J. Hord,ND,4,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
Ryan Baum,IA St,5,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
Breyon Jones,BYU,9,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
Robert Nembhard,Ida,3,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
David Sanchez,Conn,1,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
Greg Bracey,Mizz,2,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
Brandon Harris,ND,2,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
Burnell Wallace,Miss,1,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
Brock Stickler,N TX,1,,0,0,0,0,0,0,,0,0,0,0,0,2005,WR
Chris Williams,NM St,12,,92,1425,118.8,15.5,96,12,,5,53,4.4,10.6,0,2006,WR
Johnnie Lee Higgins,UTEP,12,,82,1319,109.9,16.1,79,13,,1,-2,-0.2,-2,0,2006,WR
Joel Filani,TX Tch,13,,91,1300,100,14.3,76,13,,4,34,2.6,8.5,0,2006,WR
Robert Meachem,Tenn,13,,71,1298,99.8,18.3,84,11,,4,3,0.2,0.8,0,2006,WR
Sammie Stroughter,OR St,14,,74,1293,92.4,17.5,80,5,,3,8,0.6,2.7,0,2006,WR
Harry Douglas,Lou,13,,70,1265,97.3,18.1,75,6,,7,49,3.8,7,0,2006,WR
Jarett Dillard,Rice,13,,91,1247,95.9,13.7,65,21,,2,5,0.4,2.5,0,2006,WR
Davone Bess,Haw,14,,96,1220,87.1,12.7,49,15,,0,0,0,N/A,0,2006,WR
Calvin Johnson,GT,14,,76,1202,85.9,15.8,66,15,,7,30,2.1,4.3,0,2006,WR
Adarius Bowman,OK St,13,,60,1181,90.8,19.7,75,12,,1,1,0.1,1,0,2006,WR
Ryne Robinson,Mia O,12,,91,1178,98.2,12.9,56,8,,3,11,0.9,3.7,0,2006,WR
Mike Walker,UCF,12,,90,1178,98.2,13.1,54,7,,0,0,0,N/A,0,2006,WR
Jason Rivers,Haw,14,,72,1178,84.1,16.4,79,10,,0,0,0,N/A,0,2006,WR
Earl Bennett,Vand,12,,82,1146,95.5,14,77,6,,5,11,0.9,2.2,0,2006,WR
Sidney Rice,S Car,13,,72,1090,83.8,15.1,46,10,,1,6,0.5,6,0,2006,WR
Steve Smith,USC,13,,71,1083,83.3,15.3,53,9,,0,0,0,N/A,0,2006,WR
Dorien Bryant,Purd,14,,87,1068,76.3,12.3,53,6,,19,150,10.7,7.9,2,2006,WR
DeSean Jackson,Cal,13,,59,1060,81.5,18,62,9,,5,19,1.5,3.8,0,2006,WR
DJ Hall,Ala,12,,62,1056,88,17,78,5,,6,48,4,8,0,2006,WR
Keenan Burton,UK,13,,77,1036,79.7,13.5,73,12,,1,-7,-0.5,-7,0,2006,WR
Jeff Samardzija,ND,13,,78,1017,78.2,13,51,12,,4,6,0.5,1.5,1,2006,WR
Dwayne Jarrett,USC,12,,70,1015,84.6,14.5,62,12,,1,-3,-0.3,-3,0,2006,WR
Malcolm Kelly,Okla,13,,62,993,76.4,16,73,10,,0,0,0,N/A,0,2006,WR
Dwayne Bowe,LSU,13,,65,990,76.2,15.2,58,12,,0,0,0,N/A,0,2006,WR
Jaison Williams,Ore,11,,68,984,89.5,14.5,67,6,,2,5,0.5,2.5,0,2006,WR
Vincent Marshall,Hous,14,,80,979,69.9,12.2,77,8,,8,59,4.2,7.4,1,2006,WR
Mario Urrutia,Lou,13,,58,973,74.8,16.8,68,6,,0,0,0,N/A,0,2006,WR
Marcus Monk,Ark,14,,50,962,68.7,19.2,56,11,,0,0,0,N/A,0,2006,WR
Dallas Baker,Fla,14,,60,920,65.7,15.3,33,10,,0,0,0,N/A,0,2006,WR
David Harvey,Akrn,12,,43,914,76.2,21.3,77,10,,2,7,0.6,3.5,0,2006,WR
Ryan Wolfe,UNLV,12,,55,911,75.9,16.6,75,5,,1,0,0,0,0,2006,WR
Rhema McKnight,ND,13,,67,907,69.8,13.5,44,15,,1,5,0.4,5,0,2006,WR
Eric Deslauriers,EMU,12,,74,898,74.8,12.1,79,5,,0,0,0,N/A,0,2006,WR
James Jones,SJSU,12,,70,893,74.4,12.8,50,10,,11,76,6.3,6.9,1,2006,WR
Kenny McKinley,S Car,13,,51,880,67.7,17.3,44,5,,1,0,0,0,0,2006,WR
Robert Johnson,TX Tch,12,,89,871,72.6,9.8,37,11,,0,0,0,N/A,0,2006,WR
Travis Brown,N Mex,13,,64,867,66.7,13.5,52,4,,7,29,2.2,4.1,0,2006,WR
Bryan Anderson,CMU,14,,73,867,61.9,11.9,50,5,,9,14,1,1.6,0,2006,WR
Marcus Smith,N Mex,13,,53,859,66.1,16.2,61,9,,7,22,1.7,3.1,0,2006,WR
Donnie Avery,Hous,14,,57,852,60.9,14.9,56,5,,0,0,0,N/A,0,2006,WR
Tony Burks,MS St,10,,35,850,85,24.3,78,5,,0,0,0,N/A,0,2006,WR
Derek Kinder,Pitt,12,,57,847,70.6,14.9,80,6,,0,0,0,N/A,0,2006,WR
John Broussard,SJSU,12,,52,844,70.3,16.2,85,7,,3,16,1.3,5.3,0,2006,WR
Curtis Hamilton,WKU,9,,52,841,93.4,16.2,59,10,,2,5,0.6,2.5,0,2006,WR
Nate Ilaoa,Haw,13,,67,837,64.4,12.5,60,5,,131,990,76.2,7.6,13,2006,WR
Craig Davis,LSU,12,,56,836,69.7,14.9,47,4,,4,15,1.3,3.8,0,2006,WR
William Franklin,Mizz,11,,48,829,75.4,17.3,68,6,,0,0,0,N/A,0,2006,WR
Dicky Lyons,UK,12,,50,822,68.5,16.4,80,9,,0,0,0,N/A,0,2006,WR
Casey Flair,UNLV,12,,67,816,68,12.2,40,4,,0,0,0,N/A,0,2006,WR
Damien Linson,CMU,14,,55,812,58,14.8,71,5,,8,3,0.2,0.4,0,2006,WR
Najah Pruden,Kent,12,,39,808,67.3,20.7,68,6,,0,0,0,N/A,0,2006,WR
Logan Payne,Minn,13,,59,804,61.8,13.6,67,9,,11,70,5.4,6.4,0,2006,WR
Idris Moss,Tuls,13,,58,803,61.8,13.8,58,1,,14,63,4.8,4.5,0,2006,WR
Trent Shelton,Bayl,12,,53,802,66.8,15.1,75,8,,1,-11,-0.9,-11,0,2006,WR
Limas Sweed,Tex,13,,46,801,61.6,17.4,60,12,,0,5,0.4,N/A,0,2006,WR
Derek Dubois,NM St,12,,54,800,66.7,14.8,65,7,,0,0,0,N/A,0,2006,WR
LaGregory Sapp,ULM,12,,43,796,66.3,18.5,64,3,,1,0,0,0,0,2006,WR
Quentily Harmon,TCU,12,,52,791,65.9,15.2,45,3,,1,1,0.1,1,0,2006,WR
Greg Orton,Purd,12,,58,790,65.8,13.6,43,5,,0,0,0,N/A,0,2006,WR
A.J. Harris,NM St,12,,70,789,65.8,11.3,67,7,,3,23,1.9,7.7,0,2006,WR
Brandon London,Mass,14,,50,781,55.8,15.6,43,9,,1,1,0.1,1,0,2006,WR
Ted Ginn Jr.,OH St,13,,59,781,65.1,13.2,58,9,,3,17,1.4,5.7,0,2006,WR
Kerry Reed,MI St,12,,64,775,64.6,12.1,44,5,,2,11,0.9,5.5,0,2006,WR
Early Doucet,LSU,13,,59,772,59.4,13.1,58,8,,8,59,4.5,7.4,2,2006,WR
Ryan Grice-Mullen,Haw,10,,46,770,77,16.7,60,11,,2,24,2.4,12,0,2006,WR
Dominique Zeigler,Bayl,11,,54,741,67.4,13.7,79,3,,3,-16,-1.5,-5.3,0,2006,WR
Dante Love,Ball,12,,52,735,61.3,14.1,70,4,,19,83,6.9,4.4,1,2006,WR
Anthony Gonzalez,OH St,13,,51,734,56.5,14.4,33,8,,2,28,2.2,14,0,2006,WR
Britt Davis,N Ill,12,,57,731,60.9,12.8,41,3,,7,17,1.4,2.4,0,2006,WR
Brandon Gibson,WA St,12,,49,731,60.9,14.9,91,4,,0,0,0,N/A,0,2006,WR
Jabari Arthur,Akrn,12,,45,730,60.8,16.2,57,4,,0,0,0,N/A,0,2006,WR
Ross Dickerson,Haw,13,,54,726,55.8,13.4,50,7,,4,13,1,3.3,0,2006,WR
Andy Brodell,Iowa,12,,39,724,60.3,18.6,63,5,,0,0,0,N/A,0,2006,WR
Damon Morton,CO St,12,,48,722,60.2,15,83,4,,8,17,1.4,2.1,0,2006,WR
