Name,Team,G,Receiving,Rec,Yds,Y/G,Avg,Lng,TD,RUSHING,Rush,Yds,Y/G,Avg,TD,Year,Position
Devin Freeman,TX St,10,,15,134,13.4,8.9,25,0,,11,56,5.6,5.1,0,2003,WR
Bret Smith,Tenn,4,,5,133,33.3,26.6,57,1,,0,0,0,N/A,0,2003,WR
Bam Childress,OH St,5,,11,133,26.6,12.1,36,0,,1,6,1.2,6,0,2003,WR
Demarcus Fox,ECU,8,,6,131,26.2,21.8,65,1,,2,-11,-2.2,-5.5,0,2003,WR
Lionel Wesley,Navy,8,,13,131,16.4,10.1,43,0,,0,0,0,N/A,0,2003,WR
Quentily Harmon,TCU,9,,11,129,14.3,11.7,30,3,,0,0,0,N/A,0,2003,WR
Brad Ekwerekwu,Mizz,6,,11,128,21.3,11.6,40,0,,0,0,0,N/A,0,2003,WR
Pedro Holiday,MTSU,8,,12,126,15.8,10.5,35,2,,2,1,0.1,0.5,0,2003,WR
Gerren Crochet,Stan,6,,10,126,21,12.6,36,0,,0,0,0,N/A,0,2003,WR
Deyon Williams,UVa,7,,8,122,17.4,15.3,35,1,,2,23,3.3,11.5,0,2003,WR
Ryan Scott,Memp,8,,15,119,14.9,7.9,12,1,,0,0,0,N/A,0,2003,WR
Adam Jennings,Fres,12,,11,118,9.8,10.7,24,0,,18,162,13.5,9,1,2003,WR
Jonathan Orr,Wis,7,,7,117,16.7,16.7,30,0,,0,0,0,N/A,0,2003,WR
Devin Hester,Mia F,8,,4,116,29,29,51,0,,4,26,6.5,6.5,0,2003,WR
Smokey Hampton,Troy,4,,9,116,29,12.9,26,0,,0,0,0,N/A,0,2003,WR
Lance Taylor,Ala,8,,12,115,14.4,9.6,20,2,,0,0,0,N/A,0,2003,WR
David Christensen,BYU,5,,11,115,23,10.5,26,0,,0,0,0,N/A,0,2003,WR
Robert Haskins,Lou,11,,8,115,12.8,14.4,32,0,,7,93,10.3,13.3,1,2003,WR
Chris Charlton,Tole,6,,11,114,19,10.4,29,0,,0,0,0,N/A,0,2003,WR
Marcus Maxwell,Ore,4,,11,114,28.5,10.4,28,0,,0,0,0,N/A,0,2003,WR
H.J. Adams,ULM,7,,12,114,16.3,9.5,53,0,,2,5,0.7,2.5,0,2003,WR
