","Name","Team","Yds","Y.G","TD","RUSHING","Rush","Yds.1","Y.G.1","Avg","TD.1","Year","Position","Rec","Avg.1","Lng","PASSING","QBRAT","Att","Comp","Pct","Y.A","Int","SACKED","Sack","YdsL","RECEIVING","Receiving"
1","A.J. Doyle","Mass",415,51.9,3,NA,27,32,4,"1.2",0,2012,"QB",NA,NA,NA,NA,86.4,97,55,"56.7","4.3",8,NA,7,-55,NA,NA
2","A.J. Graham","Mrsh",95,47.5,0,NA,6,6,3,"1",1,2010,"QB",NA,NA,NA,NA,149.8,12,10,"83.3","7.9",0,NA,1,-3,NA,NA
3","A.J. Graham","Mrsh",714,142.8,7,NA,40,237,47.4,"5.9",3,2011,"QB",NA,NA,NA,NA,135,103,64,"62.1","6.9",4,NA,5,-21,NA,NA
4","A.J. Schurr","Army",130,32.5,2,NA,12,47,11.8,"3.9",0,2012,"QB",NA,NA,NA,NA,141.8,18,8,"44.4","7.2",0,NA,1,-1,NA,NA
5","A.J. Suggs","GT",180,90,2,NA,3,5,2.5,"1.7",0,2003,"QB",NA,NA,NA,NA,136.3,24,15,"62.5","7.5",2,NA,1,-8,NA,NA
6","Aaron Corp","USC",14,7,0,NA,0,0,0,"N/A",0,2008,"QB",NA,NA,NA,NA,79.4,4,2,"50","3.5",0,NA,0,0,NA,NA
7","Aaron Corp","USC",155,51.7,1,NA,4,7,2.3,"1.8",0,2009,"QB",NA,NA,NA,NA,120.5,26,17,"65.4","6",1,NA,1,-3,NA,NA
8","Aaron Karas","Bayl",1481,148.1,10,NA,59,-185,-18.5,"-3.1",0,2003,"QB",NA,NA,NA,NA,113.1,239,135,"56.5","6.2",11,NA,41,-251,NA,NA
9","Aaron Leak","Troy",756,94.5,6,NA,38,17,2.1,"0.4",1,2004,"QB",NA,NA,NA,NA,104.5,118,54,"45.8","6.4",7,NA,12,-72,NA,NA
10","Aaron Leak","Troy",1427,118.9,7,NA,126,208,17.3,"1.7",3,2003,"QB",NA,NA,NA,NA,88.4,259,110,"42.5","5.5",12,NA,25,-195,NA,NA
11","Aaron Munoz","ULM",56,18.7,0,NA,2,-8,-2.7,"-4",0,2010,"QB",NA,NA,NA,NA,190.1,3,1,"33.3","18.7",0,NA,0,0,NA,NA
12","Aaron Murray","Ga",3049,234.5,24,NA,87,-24,-1.8,"-0.3",4,2010,"QB",NA,NA,NA,NA,154.5,342,209,"61.1","8.9",8,NA,24,-193,NA,NA
13","Aaron Murray","Ga",3149,224.9,35,NA,87,111,7.9,"1.3",2,2011,"QB",NA,NA,NA,NA,146.4,403,238,"59.1","7.8",14,NA,32,-183,NA,NA
14","Aaron Murray","Ga",3893,278.1,36,NA,59,-68,-4.9,"-1.2",3,2012,"QB",NA,NA,NA,NA,174.8,386,249,"64.5","10.1",10,NA,26,-162,NA,NA
15","Aaron Opelt","Tole",875,97.2,6,NA,80,261,29,"3.3",4,2006,"QB",NA,NA,NA,NA,98.6,188,102,"54.3","4.7",5,NA,11,-47,NA,NA
16","Aaron Opelt","Tole",1756,195.1,12,NA,46,156,17.3,"3.4",4,2007,"QB",NA,NA,NA,NA,127.4,249,144,"57.8","7.1",7,NA,5,-51,NA,NA
17","Aaron Opelt","Tole",1997,221.9,16,NA,30,164,18.2,"5.5",3,2009,"QB",NA,NA,NA,NA,135.8,261,154,"59","7.7",10,NA,5,-30,NA,NA
18","Aaron Opelt","Tole",2176,181.3,12,NA,42,-44,-3.7,"-1",5,2008,"QB",NA,NA,NA,NA,115.3,376,225,"59.8","5.8",7,NA,15,-123,NA,NA
19","Aaron Pankratz","BGSU",52,52,0,NA,0,0,0,"N/A",0,2009,"QB",NA,NA,NA,NA,72.1,13,5,"38.5","4",0,NA,0,0,NA,NA
20","Aaron Pankratz","BGSU",520,104,4,NA,10,-35,-7,"-3.5",0,2010,"QB",NA,NA,NA,NA,106.3,77,35,"45.5","6.8",5,NA,5,-38,NA,NA
21","Aaron Polanco","Navy",98,14,0,NA,31,173,24.7,"5.6",1,2003,"QB",NA,NA,NA,NA,71.2,20,8,"40","4.9",1,NA,2,-7,NA,NA
22","Aaron Polanco","Navy",1131,94.3,8,NA,246,980,81.7,"4",16,2004,"QB",NA,NA,NA,NA,153,114,61,"53.5","9.9",4,NA,17,-99,NA,NA
23","Aaron Rodgers","Cal",2566,213.8,24,NA,74,126,10.5,"1.7",3,2004,"QB",NA,NA,NA,NA,154.3,316,209,"66.1","8.1",8,NA,25,-116,NA,NA
24","Aaron Rodgers","Cal",2903,223.3,19,NA,86,210,16.2,"2.4",5,2003,"QB",NA,NA,NA,NA,146.6,349,215,"61.6","8.3",5,NA,20,-92,NA,NA
25","Adam Austin","Ariz",32,32,0,NA,2,-15,-15,"-7.5",0,2005,"QB",NA,NA,NA,NA,113.8,5,3,"60","6.4",0,NA,2,0,NA,NA
26","Adam Austin","Ariz",517,73.9,2,NA,13,-63,-9,"-4.8",1,2006,"QB",NA,NA,NA,NA,81.1,111,52,"46.8","4.7",6,NA,6,-63,NA,NA
27","Adam Barmann","Kan",564,188,4,NA,28,53,17.7,"1.9",1,2003,"QB",NA,NA,NA,NA,126.6,85,57,"67.1","6.6",5,NA,6,-41,NA,NA
28","Adam Barmann","Kan",118,29.5,0,NA,12,-2,-0.5,"-0.2",1,2005,"QB",NA,NA,NA,NA,79.7,30,16,"53.3","3.9",1,NA,3,-12,NA,NA
29","Adam Barmann","Kan",911,151.8,3,NA,14,-37,-6.2,"-2.6",0,2006,"QB",NA,NA,NA,NA,104.3,150,82,"54.7","6.1",6,NA,6,-46,NA,NA
30","Adam Barmann","Kan",1427,178.4,12,NA,50,69,8.6,"1.4",1,2004,"QB",NA,NA,NA,NA,107.8,262,141,"53.8","5.4",9,NA,10,-64,NA,NA
31","Adam Bednarik","W Va",0,0,0,NA,2,6,3,"3",0,2004,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,0,0,NA,NA
32","Adam Bednarik","W Va",2,1,0,NA,3,13,6.5,"4.3",0,2007,"QB",NA,NA,NA,NA,116.8,1,1,"100","2",0,NA,0,0,NA,NA
33","Adam Bednarik","W Va",532,66.5,4,NA,56,170,21.3,"3",1,2005,"QB",NA,NA,NA,NA,145.2,75,55,"73.3","7.1",2,NA,13,-62,NA,NA
34","Adam DiMichele","Temp",1595,199.4,12,NA,75,110,13.8,"1.5",2,2007,"QB",NA,NA,NA,NA,130.8,223,138,"61.9","7.2",10,NA,22,-158,NA,NA
35","Adam DiMichele","Temp",1911,212.3,18,NA,61,91,10.1,"1.5",3,2008,"QB",NA,NA,NA,NA,148,231,134,"58","8.3",6,NA,17,-137,NA,NA
36","Adam DiMichele","Temp",1518,138,10,NA,73,-184,-16.7,"-2.5",0,2006,"QB",NA,NA,NA,NA,123.4,220,135,"61.4","6.9",12,NA,34,-254,NA,NA
37","Adam Dingwell","SDg St",0,0,0,NA,0,0,0,"N/A",0,2011,"QB",NA,NA,NA,NA,0,1,0,"0","0",0,NA,0,0,NA,NA
38","Adam Dingwell","SDg St",939,93.9,8,NA,43,104,10.4,"2.4",1,2012,"QB",NA,NA,NA,NA,121,144,83,"57.6","6.5",7,NA,12,-72,NA,NA
39","Adam Ernst","Minn",10,10,1,NA,0,0,0,"N/A",0,2004,"QB",NA,NA,NA,NA,514,1,1,"100","10",0,NA,0,0,NA,NA
40","Adam Follett","Ind",13,6.5,0,NA,0,0,0,"N/A",0,2009,"QB",NA,NA,NA,NA,69.7,3,1,"33.3","4.3",0,NA,0,0,NA,NA
41","Adam Froman","Lou",1354,193.4,6,NA,61,78,11.1,"1.3",0,2009,"QB",NA,NA,NA,NA,126.8,185,111,"60","7.3",5,NA,20,-104,NA,NA
42","Adam Froman","Lou",1633,204.1,11,NA,36,3,0.4,"0.1",2,2010,"QB",NA,NA,NA,NA,136.5,218,132,"60.6","7.5",4,NA,10,-70,NA,NA
43","Adam Hall","SDg St",1320,188.6,5,NA,31,-56,-8,"-1.8",1,2003,"QB",NA,NA,NA,NA,104.1,206,105,"51","6.4",9,NA,12,-70,NA,NA
44","Adam Kennedy","UT St",0,0,0,NA,1,5,5,"5",0,2012,"QB",NA,NA,NA,NA,100,1,1,"100","0",0,NA,0,0,NA,NA
45","Adam Kennedy","UT St",972,121.5,11,NA,55,239,29.9,"4.3",0,2011,"QB",NA,NA,NA,NA,169,110,76,"69.1","8.8",4,NA,7,-21,NA,NA
46","Adam Madsen","Utah",0,0,0,NA,1,4,4,"4",0,2004,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,0,0,NA,NA
47","Adam Porter","Ohio",37,4.1,0,NA,11,66,7.3,"6",0,2003,"QB",NA,NA,NA,NA,170.3,3,2,"66.7","12.3",0,NA,0,0,NA,NA
48","Adam Rothenfluh","OR St",175,43.8,1,NA,3,3,0.8,"1",0,2003,"QB",NA,NA,NA,NA,150,20,12,"60","8.8",0,NA,1,-8,NA,NA
49","Adam Schulz","Utah",52,52,0,NA,0,0,0,"N/A",0,2012,"QB",NA,NA,NA,NA,318.4,2,2,"100","26",0,NA,0,0,NA,NA
50","Adam Smith","Duke",488,69.7,2,NA,21,-18,-2.6,"-0.9",2,2003,"QB",NA,NA,NA,NA,102.8,94,49,"52.1","5.2",0,NA,8,-62,NA,NA
51","Adam Tafralis","SJSU",432,48,2,NA,34,58,6.4,"1.7",2,2004,"QB",NA,NA,NA,NA,107.5,65,29,"44.6","6.6",1,NA,5,-47,NA,NA
52","Adam Tafralis","SJSU",1810,164.5,11,NA,47,100,9.1,"2.1",3,2005,"QB",NA,NA,NA,NA,108.5,286,142,"49.7","6.3",10,NA,10,-67,NA,NA
53","Adam Tafralis","SJSU",3022,251.8,18,NA,76,181,15.1,"2.4",2,2007,"QB",NA,NA,NA,NA,135.6,400,251,"62.8","7.6",11,NA,18,-104,NA,NA
54","Adam Tafralis","SJSU",2284,175.7,21,NA,90,224,17.2,"2.5",2,2006,"QB",NA,NA,NA,NA,155.1,276,181,"65.6","8.3",7,NA,19,-108,NA,NA
55","Adam Weber","Minn",2679,223.3,20,NA,52,24,2,"0.5",0,2010,"QB",NA,NA,NA,NA,129.9,368,205,"55.7","7.3",9,NA,17,-124,NA,NA
56","Adam Weber","Minn",2895,241.3,24,NA,146,617,51.4,"4.2",5,2007,"QB",NA,NA,NA,NA,120.8,449,258,"57.5","6.4",19,NA,14,-89,NA,NA
57","Adam Weber","Minn",2582,198.6,13,NA,73,-133,-10.2,"-1.8",1,2009,"QB",NA,NA,NA,NA,114.7,367,191,"52","7",15,NA,37,-238,NA,NA
58","Adam Weber","Minn",2761,212.4,15,NA,127,233,17.9,"1.8",4,2008,"QB",NA,NA,NA,NA,126.9,410,255,"62.2","6.7",8,NA,31,-204,NA,NA
59","AJ Derby","Iowa",30,15,0,NA,0,0,0,"N/A",0,2011,"QB",NA,NA,NA,NA,92,6,3,"50","5",0,NA,0,0,NA,NA
60","AJ McCarron","Ala",389,43.2,3,NA,6,-20,-2.2,"-3.3",0,2010,"QB",NA,NA,NA,NA,151.2,48,30,"62.5","8.1",0,NA,2,-18,NA,NA
61","AJ McCarron","Ala",2634,202.6,16,NA,30,-22,-1.7,"-0.7",2,2011,"QB",NA,NA,NA,NA,147.3,328,219,"66.8","8",5,NA,13,-72,NA,NA
62","AJ McCarron","Ala",2933,209.5,30,NA,49,4,0.3,"0.1",1,2012,"QB",NA,NA,NA,NA,175.3,314,211,"67.2","9.3",3,NA,22,-162,NA,NA
63","Al Pena","OK St",94,18.8,1,NA,2,-17,-3.4,"-8.5",0,2004,"QB",NA,NA,NA,NA,165.4,11,7,"63.6","8.5",0,NA,2,-17,NA,NA
64","Al Pena","OK St",1102,157.4,8,NA,35,-9,-1.3,"-0.3",2,2005,"QB",NA,NA,NA,NA,101.7,179,89,"49.7","6.2",13,NA,10,-94,NA,NA
65","Alex Brink","WA St",1305,186.4,7,NA,49,-50,-7.1,"-1",1,2004,"QB",NA,NA,NA,NA,113.3,194,97,"50","6.7",5,NA,21,-143,NA,NA
66","Alex Brink","WA St",2891,262.8,24,NA,56,106,9.6,"1.9",2,2005,"QB",NA,NA,NA,NA,140,358,205,"57.3","8.1",13,NA,18,-105,NA,NA
67","Alex Brink","WA St",2899,241.6,19,NA,78,8,0.7,"0.1",2,2006,"QB",NA,NA,NA,NA,133.1,396,241,"60.9","7.3",10,NA,28,-179,NA,NA
68","Alex Brink","WA St",3818,318.2,26,NA,63,34,2.8,"0.5",0,2007,"QB",NA,NA,NA,NA,135.5,503,305,"60.6","7.6",15,NA,21,-176,NA,NA
69","Alex Carder","WMU",1652,275.3,13,NA,40,88,14.7,"2.2",0,2012,"QB",NA,NA,NA,NA,123.7,248,145,"58.5","6.7",10,NA,10,-59,NA,NA
70","Alex Carder","WMU",27,3.9,0,NA,8,16,2.3,"2",0,2009,"QB",NA,NA,NA,NA,103.8,7,5,"71.4","3.9",0,NA,0,0,NA,NA
71","Alex Carder","WMU",3334,277.8,30,NA,109,35,2.9,"0.3",6,2010,"QB",NA,NA,NA,NA,140.6,458,289,"63.1","7.3",12,NA,30,-188,NA,NA
72","Alex Carder","WMU",3873,322.8,31,NA,128,270,22.5,"2.1",4,2011,"QB",NA,NA,NA,NA,145.3,502,330,"65.7","7.7",14,NA,23,-173,NA,NA
73","Alex Cate","OK St",0,0,0,NA,3,7,3.5,"2.3",0,2009,"QB",NA,NA,NA,NA,-22.2,9,0,"0","0",1,NA,0,0,NA,NA
74","Alex Cate","OK St",56,18.7,0,NA,6,21,7,"3.5",1,2008,"QB",NA,NA,NA,NA,174.1,5,4,"80","11.2",0,NA,0,0,NA,NA
75","Alex Dukes","WKU",0,0,0,NA,1,7,7,"7",0,2003,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,0,0,NA,NA
76","Alex Gibson","NM St",176,35.2,0,NA,12,26,5.2,"2.2",1,2006,"QB",NA,NA,NA,NA,83.6,38,23,"60.5","4.6",3,NA,2,-8,NA,NA
77","Alex Gillett","EMU",763,84.8,3,NA,95,484,53.8,"5.1",2,2009,"QB",NA,NA,NA,NA,93.4,137,68,"49.6","5.6",7,NA,11,-63,NA,NA
78","Alex Gillett","EMU",548,49.8,5,NA,63,407,37,"6.5",4,2012,"QB",NA,NA,NA,NA,97.4,96,45,"46.9","5.7",7,NA,4,-24,NA,NA
79","Alex Gillett","EMU",1504,125.3,14,NA,169,736,61.3,"4.4",3,2011,"QB",NA,NA,NA,NA,135.1,198,109,"55.1","7.6",7,NA,19,-143,NA,NA
80","Alex Gillett","EMU",1633,136.1,13,NA,179,577,48.1,"3.2",5,2010,"QB",NA,NA,NA,NA,122.7,229,127,"55.5","7.1",13,NA,22,-149,NA,NA
81","Alex Mortensen","Ark",63,15.8,1,NA,2,-17,-4.3,"-8.5",0,2005,"QB",NA,NA,NA,NA,62.3,17,6,"35.3","3.7",2,NA,2,-17,NA,NA
82","Alex Pettee","Tole",11,11,0,NA,2,-4,-4,"-2",0,2008,"QB",NA,NA,NA,NA,-3.8,2,1,"50","5.5",1,NA,1,-2,NA,NA
83","Alex Pettee","Tole",8,4,0,NA,3,-2,-1,"-0.7",1,2010,"QB",NA,NA,NA,NA,33.4,5,1,"20","1.6",0,NA,1,-3,NA,NA
84","Alex Pettee","Tole",380,95,1,NA,6,-12,-3,"-2",0,2009,"QB",NA,NA,NA,NA,117.6,58,37,"63.8","6.6",2,NA,3,-17,NA,NA
85","Alex Smith","Utah",2247,204.3,15,NA,149,452,41.1,"3",5,2003,"QB",NA,NA,NA,NA,152.3,266,173,"65","8.4",3,NA,16,-118,NA,NA
86","Alex Smith","Utah",2952,246,32,NA,135,631,52.6,"4.7",10,2004,"QB",NA,NA,NA,NA,176.5,317,214,"67.5","9.3",4,NA,18,-88,NA,NA
87","Alex Zordich","Buff",41,10.3,0,NA,3,3,0.8,"1",0,2011,"QB",NA,NA,NA,NA,70.4,12,5,"41.7","3.4",0,NA,1,-7,NA,NA
88","Alex Zordich","Buff",428,85.6,1,NA,62,31,6.2,"0.5",2,2010,"QB",NA,NA,NA,NA,70.5,94,39,"41.5","4.6",6,NA,14,-119,NA,NA
89","Alex Zordich","Buff",1254,156.8,9,NA,100,501,62.6,"5",1,2012,"QB",NA,NA,NA,NA,109.2,208,106,"51","6",7,NA,11,-42,NA,NA
90","Alexander Webb","N.W.",205,41,0,NA,12,17,3.4,"1.4",0,2003,"QB",NA,NA,NA,NA,94.6,33,16,"48.5","6.2",1,NA,1,-14,NA,NA
91","Allan Bridgford","Cal",184,61.3,0,NA,3,1,0.3,"0.3",0,2011,"QB",NA,NA,NA,NA,88.9,32,13,"40.6","5.8",0,NA,0,0,NA,NA
92","Allan Bridgford","Cal",277,69.3,1,NA,6,-2,-0.5,"-0.3",1,2012,"QB",NA,NA,NA,NA,75.8,68,31,"45.6","4.1",3,NA,2,-14,NA,NA
93","Allan Evridge","KS St",1365,151.7,6,NA,102,203,22.6,"2",4,2005,"QB",NA,NA,NA,NA,104.4,213,102,"47.9","6.4",7,NA,16,-135,NA,NA
94","Allan Evridge","Wis",949,158.2,5,NA,23,4,0.7,"0.2",1,2008,"QB",NA,NA,NA,NA,119.1,132,71,"53.8","7.2",5,NA,7,-37,NA,NA
95","Allan Evridge","Wis",66,9.4,0,NA,2,-3,-0.4,"-1.5",0,2007,"QB",NA,NA,NA,NA,87.9,12,5,"41.7","5.5",0,NA,0,0,NA,NA
96","Allan Holland","Wake",0,0,0,NA,1,6,6,"6",0,2005,"QB",NA,NA,NA,NA,0,1,0,"0","0",0,NA,0,0,NA,NA
97","Allen Webb","KS St",850,106.3,9,NA,71,172,21.5,"2.4",0,2005,"QB",NA,NA,NA,NA,145.8,105,62,"59","8.1",5,NA,10,-69,NA,NA
98","Allen Webb","KS St",521,52.1,3,NA,127,418,41.8,"3.3",8,2004,"QB",NA,NA,NA,NA,100.7,94,49,"52.1","5.5",4,NA,11,-69,NA,NA
99","Andre Smith","AR St",0,0,0,NA,0,0,0,"N/A",0,2012,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,0,0,NA,NA
100","Andre Smith","AR St",0,0,0,NA,0,0,0,"N/A",0,2010,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,0,0,NA,NA
101","Andre Smith","AR St",18,3,0,NA,12,46,7.7,"3.8",0,2009,"QB",NA,NA,NA,NA,251.2,1,1,"100","18",0,NA,0,0,NA,NA
102","Andre Smith","AR St",204,34,1,NA,28,93,15.5,"3.3",1,2011,"QB",NA,NA,NA,NA,183.8,22,20,"90.9","9.3",0,NA,0,0,NA,NA
103","Andre' Woodson","UK",492,70.3,2,NA,36,-27,-3.9,"-0.8",0,2004,"QB",NA,NA,NA,NA,113.6,88,54,"61.4","5.6",1,NA,14,-80,NA,NA
104","Andre' Woodson","UK",1644,149.5,6,NA,57,-133,-12.1,"-2.3",1,2005,"QB",NA,NA,NA,NA,115.4,253,146,"57.7","6.5",6,NA,30,-198,NA,NA
105","Andre' Woodson","UK",3515,270.4,31,NA,70,-137,-10.5,"-2",1,2006,"QB",NA,NA,NA,NA,154.5,419,264,"63","8.4",7,NA,36,-264,NA,NA
106","Andre' Woodson","UK",3709,285.3,40,NA,69,-193,-14.8,"-2.8",3,2007,"QB",NA,NA,NA,NA,144.5,518,327,"63.1","7.2",11,NA,38,-282,NA,NA
107","Andrew Banks","MTSU",0,0,0,NA,0,0,0,"N/A",0,2010,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,0,0,NA,NA
108","Andrew Banks","MTSU",3,0.8,0,NA,4,9,2.3,"2.3",0,2009,"QB",NA,NA,NA,NA,62.6,2,1,"50","1.5",0,NA,0,0,NA,NA
109","Andrew Banks","MTSU",27,4.5,0,NA,1,0,0,"0",0,2011,"QB",NA,NA,NA,NA,326.8,1,1,"100","27",0,NA,0,0,NA,NA
110","Andrew Beam","BGSU",22,4.4,1,NA,22,108,21.6,"4.9",3,2008,"QB",NA,NA,NA,NA,614.8,1,1,"100","22",0,NA,0,0,NA,NA
111","Andrew Blaylock","Fla",0,0,0,NA,4,6,3,"1.5",0,2009,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,0,0,NA,NA
112","Andrew Clifford","S Car",0,0,0,NA,1,11,11,"11",0,2012,"QB",NA,NA,NA,NA,0,1,0,"0","0",0,NA,0,0,NA,NA
113","Andrew Clifford","S Car",23,23,1,NA,1,6,6,"6",0,2011,"QB",NA,NA,NA,NA,361.6,2,2,"100","11.5",0,NA,0,0,NA,NA
114","Andrew Clifford","S Car",10,5,0,NA,0,0,0,"N/A",0,2010,"QB",NA,NA,NA,NA,-8,2,1,"50","5",1,NA,0,0,NA,NA
115","Andrew Hatch","LSU",9,9,0,NA,4,27,27,"6.8",0,2007,"QB",NA,NA,NA,NA,87.8,2,1,"50","4.5",0,NA,0,0,NA,NA
116","Andrew Hatch","LSU",282,47,2,NA,35,129,21.5,"3.7",2,2008,"QB",NA,NA,NA,NA,118.4,45,25,"55.6","6.3",1,NA,5,-44,NA,NA
117","Andrew Hendrix","ND",55,18.3,0,NA,8,41,13.7,"5.1",0,2012,"QB",NA,NA,NA,NA,137.4,7,5,"71.4","7.9",0,NA,1,-1,NA,NA
118","Andrew Hendrix","ND",249,49.8,1,NA,25,162,32.4,"6.5",1,2011,"QB",NA,NA,NA,NA,103.3,37,18,"48.6","6.7",2,NA,3,-28,NA,NA
119","Andrew Janocko","Pitt",0,0,0,NA,0,0,0,"N/A",0,2008,"QB",NA,NA,NA,NA,0,1,0,"0","0",0,NA,0,0,NA,NA
120","Andrew Janocko","Pitt",0,0,0,NA,1,-4,-4,"-4",0,2010,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,0,0,NA,NA
121","Andrew Luck","Stan",2575,214.6,13,NA,61,354,29.5,"5.8",2,2009,"QB",NA,NA,NA,NA,143.5,288,162,"56.3","8.9",4,NA,6,-32,NA,NA
122","Andrew Luck","Stan",3338,256.8,32,NA,55,393,30.2,"7.1",3,2010,"QB",NA,NA,NA,NA,170.2,372,263,"70.7","9",8,NA,6,-48,NA,NA
123","Andrew Luck","Stan",3517,270.5,37,NA,47,150,11.5,"3.2",2,2011,"QB",NA,NA,NA,NA,169.7,404,288,"71.3","8.7",10,NA,11,-76,NA,NA
124","Andrew Manley","NM St",892,297.3,6,NA,21,-44,-14.7,"-2.1",0,2011,"QB",NA,NA,NA,NA,138.3,109,62,"56.9","8.2",3,NA,11,-69,NA,NA
125","Andrew Manley","NM St",604,120.8,1,NA,34,-85,-17,"-2.5",0,2010,"QB",NA,NA,NA,NA,86.8,121,63,"52.1","5",6,NA,12,-79,NA,NA
126","Andrew Manley","NM St",2764,230.3,18,NA,64,-194,-16.2,"-3",2,2012,"QB",NA,NA,NA,NA,124.1,384,207,"53.9","7.2",11,NA,39,-258,NA,NA
127","Andrew Maxwell","MI St",171,42.8,1,NA,5,-2,-0.5,"-0.4",0,2011,"QB",NA,NA,NA,NA,137.2,26,18,"69.2","6.6",0,NA,1,-5,NA,NA
128","Andrew Maxwell","MI St",123,24.6,0,NA,5,-37,-7.4,"-7.4",0,2010,"QB",NA,NA,NA,NA,85.3,25,11,"44","4.9",0,NA,4,-34,NA,NA
129","Andrew Maxwell","MI St",2606,200.5,13,NA,37,-106,-8.2,"-2.9",0,2012,"QB",NA,NA,NA,NA,107.1,446,234,"52.5","5.8",9,NA,21,-156,NA,NA
130","Andrew McDonald","NM St",3,3,0,NA,3,1,1,"0.3",0,2012,"QB",NA,NA,NA,NA,41.7,3,1,"33.3","1",0,NA,2,-6,NA,NA
131","Andrew McNulty","N TX",352,58.7,1,NA,23,57,9.5,"2.5",1,2011,"QB",NA,NA,NA,NA,107.6,51,28,"54.9","6.9",3,NA,6,-45,NA,NA
132","Andrew Robinson","Lou",16,16,0,NA,0,0,0,"16",0,2009,"WR",1,"N/A","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133","Andrew Robinson","Lou",71,17.8,0,NA,0,0,0,"10.1",0,2008,"WR",7,"N/A","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134","Andrew Robinson","Syra",20,5,1,NA,9,28,7,"3.1",0,2006,"QB",NA,NA,NA,NA,74.8,8,3,"37.5","2.5",1,NA,3,-15,NA,NA
135","Andrew Robinson","Syra",132,33,0,NA,12,7,1.8,"0.6",0,2008,"QB",NA,NA,NA,NA,51.3,45,18,"40","2.9",3,NA,5,-15,NA,NA
136","Andrew Robinson","Syra",2192,199.3,13,NA,95,-39,-3.5,"-0.4",0,2007,"QB",NA,NA,NA,NA,125.7,292,154,"52.7","7.5",7,NA,48,-291,NA,NA
137","Andrew Smith","GT",0,0,0,NA,0,0,0,"0",0,2005,"WR",0,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138","Andrew Smith","GT",0,0,0,NA,0,0,0,"N/A",0,2007,"WR",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139","Andrew Smith","GT",0,0,0,NA,0,0,0,"0",0,2008,"WR",0,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140","Andrew Smith","GT",6,2,0,NA,0,0,0,"6",0,2006,"WR",1,"N/A","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141","Andrew Smith","N TX",187,31.2,1,NA,18,-23,-3.8,"-1.3",0,2003,"QB",NA,NA,NA,NA,68.6,35,13,"37.1","5.3",4,NA,7,-45,NA,NA
142","Andrew Walter","AZ St",3150,286.4,30,NA,58,-112,-10.2,"-1.9",0,2004,"QB",NA,NA,NA,NA,138.4,426,244,"57.3","7.4",9,NA,33,-211,NA,NA
143","Andrew Walter","AZ St",3044,253.7,24,NA,33,-125,-10.4,"-3.8",0,2003,"QB",NA,NA,NA,NA,127.3,421,221,"52.5","7.2",10,NA,18,-142,NA,NA
144","Andrico Hines","MTSU",1742,158.4,7,NA,107,315,28.6,"2.9",6,2003,"QB",NA,NA,NA,NA,125.1,253,153,"60.5","6.9",3,NA,16,-78,NA,NA
145","Andy Dalton","TCU",2242,203.8,11,NA,113,432,39.3,"3.8",8,2008,"QB",NA,NA,NA,NA,129.2,307,182,"59.3","7.3",5,NA,14,-107,NA,NA
146","Andy Dalton","TCU",2459,189.2,10,NA,98,232,17.8,"2.4",5,2007,"QB",NA,NA,NA,NA,118.5,371,222,"59.8","6.6",11,NA,16,-139,NA,NA
147","Andy Dalton","TCU",2756,212,23,NA,116,512,39.4,"4.4",3,2009,"QB",NA,NA,NA,NA,151.8,323,199,"61.6","8.5",8,NA,12,-76,NA,NA
148","Andy Dalton","TCU",2857,219.8,27,NA,86,358,27.5,"4.2",6,2010,"QB",NA,NA,NA,NA,166.5,316,209,"66.1","9",6,NA,8,-57,NA,NA
149","Andy Gray","AFA",0,0,0,NA,2,11,5.5,"5.5",0,2003,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,0,0,NA,NA
150","Andy Gray","AFA",0,0,0,NA,6,1,0.5,"0.2",0,2004,"QB",NA,NA,NA,NA,0,2,0,"0","0",0,NA,0,0,NA,NA
151","Andy Heiser","Nev",62,15.5,0,NA,0,0,0,"N/A",0,2004,"QB",NA,NA,NA,NA,131.5,7,4,"57.1","8.9",0,NA,0,0,NA,NA
152","Andy Heiser","Nev",2294,191.2,13,NA,61,173,14.4,"2.8",1,2003,"QB",NA,NA,NA,NA,115.2,326,164,"50.3","7",12,NA,12,-66,NA,NA
153","Andy Roesch","Ball",992,141.7,8,NA,22,-45,-6.4,"-2",0,2003,"QB",NA,NA,NA,NA,113.2,165,89,"53.9","6",6,NA,10,-74,NA,NA
