","Name","Team","Yds","Y.G","TD","RUSHING","Rush","Yds.1","Y.G.1","Avg","TD.1","Year","Position","Rec","Avg.1","Lng","PASSING","QBRAT","Att","Comp","Pct","Y.A","Int","SACKED","Sack","YdsL","RECEIVING","Receiving"
5469","Eugene Jarvis","Kent",798,72.5,3,NA,185,126,11.5,"4.3",0,2006,"RB",16,"7.9","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5470","Eugene Jarvis","Kent",1669,139.1,10,NA,279,306,25.5,"6",3,2007,"RB",23,"13.3","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5471","Evan Robertson","N TX",381,34.6,2,NA,78,18,1.6,"4.9",0,2006,"RB",2,"9","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5472","Evan Royster","PSU",513,51.3,5,NA,82,18,1.8,"6.3",0,2007,"RB",3,"6","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5473","Evan Royster","PSU",986,75.8,6,NA,208,208,16,"4.7",1,2010,"RB",25,"8.3","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5474","Evan Royster","PSU",1169,89.9,6,NA,205,187,14.4,"5.7",2,2009,"RB",16,"11.7","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5475","Evan Royster","PSU",1236,95.1,12,NA,191,155,11.9,"6.5",0,2008,"RB",17,"9.1","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5476","Evans Okotcha","UTSA",326,36.2,4,NA,50,148,16.4,"6.5",1,2011,"RB",10,"14.8","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5477","Evans Okotcha","UTSA",450,37.5,8,NA,106,349,29.1,"4.2",3,2012,"RB",24,"14.5","69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5478","Everett Lee","BC",0,0,0,NA,0,65,13,"N/A",0,2004,"RB",10,"6.5","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5479","Fale Poumele","SDg St",1,0.5,0,NA,1,3,1.5,"1",0,2004,"RB",1,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5480","Fale Poumele","SDg St",25,5,2,NA,7,6,1.2,"3.6",0,2003,"RB",1,"6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5481","Farod Jackson","Ark",6,6,0,NA,1,0,0,"6",0,2004,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5482","Farod Jackson","Ark",11,3.7,0,NA,6,37,12.3,"1.8",1,2007,"RB",2,"18.5","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5483","Farod Jackson","Ark",24,6,0,NA,4,24,6,"6",0,2006,"RB",3,"8","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5484","Felix Jones","Ark",626,56.9,3,NA,99,100,9.1,"6.3",0,2005,"RB",8,"12.5","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5485","Felix Jones","Ark",1162,89.4,11,NA,133,176,13.5,"8.7",0,2007,"RB",16,"11","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5486","Felix Jones","Ark",1168,83.4,6,NA,154,107,7.6,"7.6",3,2006,"RB",15,"7.1","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5487","Fernandus Edwards","Troy",79,79,1,NA,12,19,19,"6.6",0,2008,"RB",3,"6.3","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5488","Fitzgerald Toussaint","Mich",87,29,1,NA,8,5,1.7,"10.9",0,2010,"RB",1,"5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5489","Fitzgerald Toussaint","Mich",514,51.4,5,NA,130,62,6.2,"4",1,2012,"RB",6,"10.3","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5490","Fitzgerald Toussaint","Mich",1041,86.8,9,NA,187,29,2.4,"5.6",1,2011,"RB",6,"4.8","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5491","Foswhitt Whittaker","Tex",284,40.6,0,NA,64,51,7.3,"4.4",0,2008,"RB",10,"5.1","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5492","Foswhitt Whittaker","Tex",386,42.9,6,NA,66,149,16.6,"5.8",1,2011,"RB",16,"9.3","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5493","Foswhitt Whittaker","Tex",212,19.3,4,NA,53,51,4.6,"4",0,2009,"RB",13,"3.9","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5494","Foswhitt Whittaker","Tex",342,31.1,2,NA,80,217,19.7,"4.3",0,2010,"RB",34,"6.4","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5495","Foy Munlin","SMU",335,37.2,2,NA,95,37,4.1,"3.5",0,2004,"RB",3,"12.3","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5496","Frank Berchie","Akrn",4,4,0,NA,3,0,0,"1.3",0,2004,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5497","Frank Berchie","Akrn",18,9,0,NA,4,0,0,"4.5",0,2005,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5498","Frank Divis","Navy",82,9.1,1,NA,17,0,0,"4.8",0,2003,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5499","Frank Divis","Navy",387,32.3,5,NA,47,69,5.8,"8.2",0,2004,"RB",5,"13.8","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5500","Frank Goodin","ULM",783,71.2,5,NA,182,277,25.2,"4.3",2,2008,"RB",25,"11.1","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5501","Frank Goodin","ULM",405,33.8,3,NA,131,138,11.5,"3.1",1,2010,"RB",17,"8.1","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5502","Frank Goodin","ULM",596,49.7,4,NA,116,117,9.8,"5.1",1,2007,"RB",11,"10.6","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5503","Frank Goodin","ULM",1126,93.8,13,NA,219,138,11.5,"5.1",0,2009,"RB",18,"7.7","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5504","Frank Gore","Mia F",468,93.6,4,NA,89,105,21,"5.3",0,2003,"RB",12,"8.8","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5505","Frank Gore","Mia F",945,78.8,8,NA,197,106,8.8,"4.8",0,2004,"RB",10,"10.6","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5506","Frank McDonald","Mass",0,0,0,NA,0,6,6,"N/A",0,2005,"RB",1,"6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5507","Frank Reddic","TX St",60,6.7,1,NA,31,9,1,"1.9",0,2010,"RB",2,"4.5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5508","Frank Reddic","TX St",206,22.9,6,NA,53,0,0,"3.9",0,2009,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5509","Frank Summers","UNLV",740,61.7,8,NA,183,150,12.5,"4",2,2008,"RB",13,"11.5","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5510","Frank Summers","UNLV",928,77.3,6,NA,202,252,21,"4.6",4,2007,"RB",23,"11","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5511","Fred Reid","MS St",157,14.3,1,NA,32,64,5.8,"4.9",0,2003,"RB",4,"16","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5512","Fred Reid","MS St",393,35.7,2,NA,82,86,7.8,"4.8",0,2004,"RB",13,"6.6","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5513","Fred Russell","Iowa",1355,104.2,7,NA,282,6,0.5,"4.8",0,2003,"RB",6,"1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5514","Fred Turner","SMU",109,54.5,0,NA,10,0,0,"10.9",0,2006,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5515","Fred Turner","SMU",1,0.2,0,NA,7,0,0,"0.1",0,2004,"RB",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516","Fred Turner","SMU",51,8.5,0,NA,13,13,2.2,"3.9",0,2005,"RB",1,"13","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5517","Fred Turner","Troy",35,8.8,0,NA,0,0,0,"8.8",0,2007,"WR",4,"N/A","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5518","Fred Turner","Troy",56,14,0,NA,1,8,2,"11.2",0,2006,"WR",5,"8","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5519","Fred Turner","Troy",77,12.8,1,NA,0,0,0,"8.6",0,2008,"WR",9,"N/A","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5520","Freddie Franklin","LT",156,31.2,2,NA,37,26,5.2,"4.2",0,2006,"RB",6,"4.3","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5521","Freddie Franklin","LT",204,25.5,0,NA,45,56,7,"4.5",0,2004,"RB",5,"11.2","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
