Institution ID,Institution,Game Date,Uniform Number,Last Name,First Name,Rushing,,,,,Passing,,,,,,Total Off.,,Receiving,,,Pass Int,,,Fumble Ret,,,Punting,,Punt Ret,,,KO Ret,,,Total TD,Off xpts,,,,Def xpts,,,,FG,,Saf,Points
,,,,,,Rushes,Gain,Loss,Net,TD,Att,Cmp,Int,Yards,TD,Conv,Plays,Yards,No.,Yards,TD,No.,Yards,TD,No.,Yards,TD,No.,Yards,No.,Yards,TD,No.,Yards,TD,,Kicks Att,Kicks Made,R/P Att,R/P Made,Kicks Att,Kicks Made,Int/Fum Att,Int/Fum Made,Att,Made,,
721,Air Force,10/14/2000,44,BECKER,SCOTT,12,46,0,46,0,,,,,,,12,46,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,
721,Air Force,10/21/2000,44,BECKER,SCOTT,1,1,0,1,0,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/28/2000,44,BECKER,SCOTT,9,35,0,35,0,,,,,,,9,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/4/2000,44,BECKER,SCOTT,5,24,0,24,0,,,,,,,5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/11/2000,44,BECKER,SCOTT,14,72,0,72,1,,,,,,,14,72,1,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,6
721,Air Force,11/18/2000,44,BECKER,SCOTT,11,46,0,46,1,,,,,,,11,46,1,9,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,6
721,Air Force,9/2/2000,2,BLEW,BRYAN,3,56,0,56,1,1,1,0,13,0,0,4,69,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,6
721,Air Force,9/9/2000,2,BLEW,BRYAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/30/2000,2,BLEW,BRYAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/7/2000,2,BLEW,BRYAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
