Name,Team,G,,Rush,Yds,Y/G,Avg,TD,,Rec,Yds,Y/G,Avg,Lng,TD
 Alonzo Chisolm,Wake,1,,1,8,8,8,0,,0,0,0,N/A,N/A,0
 Montey Brunk,Wyo,2,,3,8,4,2.7,0,,0,0,0,N/A,N/A,0
 Jimmy Stephens,UCLA,2,,1,8,4,8,0,,1,3,1.5,3,3,0
 Price Wilks,AZ St,1,,3,7,7,2.3,0,,0,0,0,N/A,N/A,0
 Pierre Walker,EMU,1,,3,7,7,2.3,0,,0,0,0,N/A,N/A,0
 Marcellus Cage,KS St,1,,2,7,7,3.5,0,,0,0,0,N/A,N/A,0
 Paul Wilson,Iowa,1,,3,7,7,2.3,0,,0,0,0,N/A,N/A,0
 Brandon Jacobs,Miss,2,,8,7,3.5,0.9,0,,0,0,0,N/A,N/A,0
 James Coleman,FL St,8,,11,7,0.9,0.6,3,,3,10,1.3,3.3,6,0
 Roshon Vercher,Fres,4,,4,7,1.8,1.8,2,,2,19,4.8,9.5,13,0
 Ashanti Hicks,Ida,1,,3,6,6,2,0,,0,0,0,N/A,N/A,0
 Lucas Sullivan,Ohio,6,,6,6,1,1,0,,3,22,3.7,7.3,12,0
 Ivan Harrison,Wyo,1,,4,6,6,1.5,0,,0,0,0,N/A,N/A,0
 Spencer Lewis,CMU,1,,7,6,6,0.9,0,,1,8,8,8,8,0
 Joe Semanoff,BYU,1,,1,6,6,6,0,,2,25,25,12.5,20,1
 Chris Barnett,Memp,1,,1,6,6,6,0,,0,0,0,N/A,N/A,0
 Ishmael Medley,Rutg,1,,2,6,6,3,0,,0,0,0,N/A,N/A,0
 Russ Weil,Ill,3,,1,6,2,6,0,,2,22,7.3,11,17,0
 Jerell Ringer,Akrn,4,,8,5,1.3,0.6,0,,1,11,2.8,11,11,0
 Martelius Epps,N Mex,1,,3,5,5,1.7,0,,1,1,1,1,1,0
 Kenny Hicks,LT,1,,3,5,5,1.7,0,,0,0,0,N/A,N/A,0
 Malcolm Ruff,Duke,4,,4,5,1.3,1.3,0,,2,15,3.8,7.5,8,0
 Marcus Myers,Tex,3,,4,5,1.7,1.3,0,,0,0,0,N/A,N/A,0
 Byron McCoy,Navy,3,,3,5,1.7,1.7,0,,0,0,0,N/A,N/A,0
 Billy Latsko,Fla,3,,1,5,1.7,5,0,,5,43,14.3,8.6,20,1
 Brandon Asuega-Stark,WA St,1,,2,5,5,2.5,0,,0,0,0,N/A,N/A,0
 David Peeples,UNLV,1,,1,4,4,4,0,,0,0,0,N/A,N/A,0
 Brendan Schaub,Colo,4,,1,4,1,4,0,,3,8,2,2.7,7,0
 Joe Don Wood,Rice,2,,2,4,2,2,0,,1,29,14.5,29,29,1
 Aston Wilson,FIU,2,,1,4,2,4,0,,1,8,4,8,8,0
 Kevin Steltz,LSU,2,,2,4,2,2,0,,0,0,0,N/A,N/A,0
 Ryan Franzinger,OH St,1,,1,4,4,4,0,,0,0,0,N/A,N/A,0
 Mark Palaita,Wash,3,,3,4,1.3,1.3,1,,0,0,0,N/A,N/A,0
 Ade Tuyo,Tula,1,,2,4,4,2,0,,0,0,0,N/A,N/A,0
 Zach Logan,Vand,1,,1,3,3,3,0,,0,0,0,N/A,N/A,0
 B.J. Dean,FL St,4,,3,3,0.8,1,1,,1,4,1,4,4,0
 Johan Givens,UTEP,2,,3,3,1.5,1,0,,0,0,0,N/A,N/A,0
 Roy Otis,Hous,3,,1,3,1,3,0,,2,3,1,1.5,2,0
 Brad Lau,Bois,4,,2,3,0.8,1.5,0,,3,29,7.3,9.7,12,1
 J.D. Runnels,Okla,9,,1,3,0.3,3,0,,20,205,22.8,10.3,35,1
 Zerbin Singleton,Navy,1,,1,3,3,3,0,,0,0,0,N/A,N/A,0
 Kris Bonifas,Stan,1,,1,3,3,3,0,,0,0,0,N/A,N/A,0
 Dawson Wilber,NM St,2,,1,3,1.5,3,0,,1,3,1.5,3,3,0
 Kevin McCall,WA St,1,,3,3,3,1,0,,0,0,0,N/A,N/A,0
 Ashley McConnell,ND,1,,1,3,3,3,0,,0,0,0,N/A,N/A,0
 Jermaine Sims,S Car,3,,3,3,1,1,0,,0,0,0,N/A,N/A,0
