Name,Team,G,,Rush,Yds,Y/G,Avg,TD,,Rec,Yds,Y/G,Avg,Lng,TD
 Aaron Brown,TCU,10,,128,758,75.8,5.9,6,,11,146,14.6,13.3,35,3
 Cedric Humes,VT,12,,162,752,62.7,4.6,11,,10,71,5.9,7.1,13,0
 Chris Taylor,Ind,11,,156,740,67.3,4.7,4,,15,49,4.5,3.3,12,0
 Thomas Brown,Ga,12,,147,736,61.3,5,4,,6,67,5.6,11.2,26,0
 Eugene Gross,MTSU,11,,182,724,65.8,4,13,,33,277,25.2,8.4,37,1
 Courtney Lewis,TAMU,9,,109,723,80.3,6.6,7,,9,106,11.8,11.8,32,1
 Robert Hubbard,Nev,12,,122,719,59.9,5.9,11,,12,112,9.3,9.3,25,2
 Reggie Merriweather,Clem,12,,149,715,59.6,4.8,7,,8,49,4.1,6.1,15,0
 Andre Callender,BC,12,,142,708,59,5,3,,22,141,11.8,6.4,13,0
 Umar Ferguson,Temp,9,,191,701,77.9,3.7,5,,18,198,22,11,45,1
 Tyrone Moss,Mia F,8,,137,701,87.6,5.1,12,,1,17,2.1,17,17,0
 Shermar Bracey,AR St,10,,107,699,69.9,6.5,5,,12,124,12.4,10.3,25,1
 Jerod Void,Purd,10,,130,696,69.6,5.4,10,,5,30,3,6,8,0
 Douglas Sherman,TX St,10,,135,691,69.1,5.1,5,,8,68,6.8,8.5,28,0
 Chris Johnson,ECU,11,,176,684,62.2,3.9,6,,35,356,32.4,10.2,81,2
 Terrence Whitehead,Ore,11,,156,679,61.7,4.4,4,,52,490,44.5,9.4,42,4
 B.J. Lane,BGSU,11,,139,677,61.5,4.9,10,,24,151,13.7,6.3,24,1
 Erick Jackson,UNLV,11,,174,673,61.2,3.9,6,,36,370,33.6,10.3,62,1
 Andre Brown,NC St,9,,129,667,74.1,5.2,6,,7,76,8.4,10.9,23,0
 Calvin Dawson,ULM,11,,135,666,60.5,4.9,7,,21,130,11.8,6.2,23,0
 Mike Davis,S Car,12,,146,666,55.5,4.6,5,,15,136,11.3,9.1,64,0
 Clark Green,Kan,12,,153,664,55.3,4.3,2,,25,219,18.3,8.8,37,0
 Pierre Thomas Jr.,Ill,11,,127,664,60.4,5.2,5,,28,225,20.5,8,52,1
 Ian Johnson,Bois,13,,119,663,51,5.6,4,,5,46,3.5,9.2,25,0
 Mike Hart,Mich,8,,150,662,82.8,4.4,4,,16,154,19.3,9.6,34,1
 Terry Caulley,Conn,11,,141,659,59.9,4.7,6,,27,176,16,6.5,25,0
 Paul Mosley,Bayl,11,,180,657,59.7,3.7,7,,12,90,8.2,7.5,21,2
 Matt Forte,Tula,11,,169,655,59.5,3.9,4,,23,163,14.8,7.1,24,1
 Larry Thomas,USM,11,,167,647,58.8,3.9,4,,17,118,10.7,6.9,27,0
 Branden Ore,VT,12,,109,647,53.9,5.9,6,,5,36,3,7.2,13,0
 Yonus Davis,SJSU,10,,95,638,63.8,6.7,4,,7,48,4.8,6.9,25,0
 Thomas Clayton,KS St,9,,137,637,70.8,4.6,4,,12,73,8.1,6.1,26,1
 Corey White,UAB,11,,130,632,57.5,4.9,7,,10,79,7.2,7.9,17,0
 Felix Jones,Ark,11,,99,626,56.9,6.3,3,,8,100,9.1,12.5,23,0
 DeShawn Wynn,Fla,11,,130,621,56.5,4.8,7,,12,161,14.6,13.4,27,2
 Micah Andrews,Wake,10,,110,621,62.1,5.6,1,,7,71,7.1,10.1,33,0
 George Stripling,Lou,10,,79,621,62.1,7.9,7,,1,14,1.4,14,14,0
 Bradley Glatthaar,Cinc,11,,139,620,56.4,4.5,7,,11,77,7,7,16,0
 Jason Peters,UCF,10,,105,585,58.5,5.6,5,,4,24,2.4,6,11,0
 Wali Lundy,UVa,11,,144,574,52.2,4,10,,15,62,5.6,4.1,16,1
 Tarrion Adams,Tuls,13,,89,574,44.2,6.4,8,,24,273,21,11.4,39,2
 Kory Sheets,Purd,11,,104,571,51.9,5.5,10,,13,132,12,10.2,23,0
 Chris Markey,UCLA,12,,110,561,46.8,5.1,3,,17,231,19.3,13.6,56,2
 Lorenzo Booker,FL St,13,,119,552,42.5,4.6,4,,38,329,25.3,8.7,71,2
 Toney Baker,NC St,11,,124,546,49.6,4.4,5,,13,106,9.6,8.2,36,1
 Stevie Hicks,IA St,9,,149,545,60.6,3.7,4,,8,39,4.3,4.9,14,0
 Cody Hull,USM,12,,130,542,45.2,4.2,3,,10,66,5.5,6.6,26,0
 Cassen Jackson-Garrison,Vand,11,,97,539,49,5.6,8,,14,139,12.6,9.9,35,0
 John Wall,Rice,11,,109,538,48.9,4.9,7,,0,0,0,N/A,N/A,0
 Ben West,FIU,6,,98,537,89.5,5.5,4,,8,31,5.2,3.9,10,0
 Bryson Sumlin,Fres,11,,120,536,48.7,4.5,5,,10,77,7,7.7,21,1
 Tyler Ebell,UTEP,7,,118,536,76.6,4.5,5,,20,250,35.7,12.5,36,2
 Marco Nelson,Navy,12,,60,533,44.4,8.9,6,,11,261,21.8,23.7,62,2
 Charles Wynn,Ball,8,,127,533,66.6,4.2,3,,26,227,28.4,8.7,29,1
 Jacobe Kendrick,AFA,10,,116,532,53.2,4.6,6,,3,44,4.4,14.7,24,0
 Steven King,Buff,11,,136,532,48.4,3.9,3,,20,137,12.5,6.9,22,0
 Joel Whinghter,Troy,9,,95,531,59,5.6,1,,9,105,11.7,11.7,26,0
 Gerald Riggs Jr.,Tenn,6,,127,530,88.3,4.2,3,,10,74,12.3,7.4,15,0
 Ronnie McGill,NC,7,,130,530,75.7,4.1,5,,15,99,14.1,6.6,12,0
 Scott Wesley,Army,11,,104,528,48,5.1,10,,5,46,4.2,9.2,19,1
 Kolby Smith,Lou,10,,107,523,52.3,4.9,6,,18,196,19.6,10.9,57,1
 Reggie Campbell,Navy,12,,57,514,42.8,9,7,,12,314,26.2,26.2,55,2
 Tashard Choice,GT,12,,117,513,42.8,4.4,6,,14,76,6.3,5.4,17,0
 Daniel Jolly,TX St,14,,110,513,36.6,4.7,8,,4,50,3.6,12.5,22,1
 Charles Pierre,FAU,11,,144,513,46.6,3.6,3,,7,37,3.4,5.3,10,0
 Ramonce Taylor,Tex,13,,76,513,39.5,6.8,12,,27,265,20.4,9.8,42,3
 Charlie Jones,Mia F,10,,123,507,50.7,4.1,5,,5,14,1.4,2.8,9,0
 Naufahu Tahi,BYU,11,,97,497,45.2,5.1,6,,41,375,34.1,9.1,27,2
 James Sims Jr.,Wash,10,,112,495,49.5,4.4,6,,11,73,7.3,6.6,20,0
 Stephen Willis,WKU,9,,116,495,55,4.3,1,,7,90,10,12.9,33,0
 Matt Hall,Navy,9,,99,493,54.8,5,6,,0,0,0,N/A,N/A,0
 Danny Ware,Ga,13,,101,492,37.8,4.9,1,,7,118,9.1,16.9,28,2
 Justin Vincent,LSU,13,,121,488,37.5,4,5,,9,61,4.7,6.8,26,0
 Louis Rankin,Wash,7,,104,485,69.3,4.7,1,,6,54,7.7,9,29,0
 Kevin Grady,Mich,11,,121,483,43.9,4,5,,14,113,10.3,8.1,19,0
 Brandon Whitaker,Bayl,11,,101,481,43.7,4.8,1,,30,160,14.5,5.3,24,0
 Jehuu Caulcrick,MI St,9,,89,478,53.1,5.4,7,,5,53,5.9,10.6,14,0
 Rolly Lumbala,Ida,11,,128,472,42.9,3.7,1,,22,217,19.7,9.9,32,2
 Amir Pinnix,Minn,6,,78,467,77.8,6,1,,0,0,0,N/A,N/A,0
 Quinton Broussard,Tole,11,,64,462,42,7.2,5,,9,48,4.4,5.3,21,0
 Selvin Young,Tex,11,,96,461,41.9,4.8,8,,5,21,1.9,4.2,14,0
 Justin Boyle,Duke,10,,134,458,45.8,3.4,9,,3,6,0.6,2,3,0
 Mark Bonds,WMU,9,,101,456,50.7,4.5,3,,5,18,2,3.6,9,0
